ROI,component,median_LOSO_sharedness,n_positive
ventral,FULL_IMG,0.7254775075670599,8
ventral,VISUAL_SPAN_IMG,0.4867759106565076,8
ventral,OUTSIDE_VISUAL_IMG,0.7532616637094249,8
ventral,SRM_IMG,0.16956476359461434,5
lateral,FULL_IMG,0.715415927356226,8
lateral,VISUAL_SPAN_IMG,0.4491597954284522,8
lateral,OUTSIDE_VISUAL_IMG,0.7310927878092057,8
lateral,SRM_IMG,0.16566120446717464,7
parietal,FULL_IMG,0.738628535643461,8
parietal,VISUAL_SPAN_IMG,0.4951466444003757,8
parietal,OUTSIDE_VISUAL_IMG,0.697776850015656,8
parietal,SRM_IMG,0.03504853355599624,5
V1,FULL_IMG,0.614967122429809,8
V1,VISUAL_SPAN_IMG,0.6423964095605887,6
V1,OUTSIDE_VISUAL_IMG,0.48850850641895416,8
V1,SRM_IMG,0.28337334307483564,8
V3,FULL_IMG,0.42588456319799606,8
V3,VISUAL_SPAN_IMG,0.3108235048533556,7
V3,OUTSIDE_VISUAL_IMG,0.36810353825279196,7
V3,SRM_IMG,-0.024277215321991445,4
