ROI,target_subject,K_selected,selected_recon_r
ventral,subj01,16,0.6174143327595834
ventral,subj02,16,0.612465359845554
ventral,subj03,16,0.623297292477376
ventral,subj04,16,0.62061243237033
ventral,subj05,16,0.611190983885386
ventral,subj06,16,0.6220047592371454
ventral,subj07,16,0.6279623365456388
ventral,subj08,16,0.6338822507990597
lateral,subj01,8,0.3735290015701271
lateral,subj02,8,0.3683840404915273
lateral,subj03,8,0.3743553534956109
lateral,subj04,8,0.3892785571832317
lateral,subj05,8,0.3788592499158713
lateral,subj06,8,0.3868521113442732
lateral,subj07,8,0.382484038764513
lateral,subj08,8,0.3992457340063137
parietal,subj01,16,0.3890165871457028
parietal,subj02,16,0.3933717475004619
parietal,subj03,16,0.4066208213596924
parietal,subj04,16,0.3968499642751656
parietal,subj05,16,0.3974733470358942
parietal,subj06,16,0.388623656596768
parietal,subj07,16,0.4048129670199107
parietal,subj08,16,0.4145055705006004
V1,subj01,16,0.409451491031969
V1,subj02,16,0.4217768753134527
V1,subj03,16,0.4059954072673311
V1,subj04,16,0.3821189329469776
V1,subj05,16,0.3960304065005181
V1,subj06,16,0.3979434476392732
V1,subj07,16,0.3950690036829996
V1,subj08,16,0.3889315790961791
V3,subj01,8,0.3904111157040633
V3,subj02,8,0.4146038902141221
V3,subj03,8,0.4000814541896361
V3,subj04,8,0.4070752660029112
V3,subj05,8,0.417299675823056
V3,subj06,8,0.4107631972281251
V3,subj07,8,0.4108928874257539
V3,subj08,8,0.4108333498678366
