nsd_73k_id,shared1000,included,exclusion_reason,overlaps_nsd_imagery,anchor_policy
2950,True,False,subj03_rep_beyond_collected;subj04_rep_beyond_collected;subj06_rep_beyond_collected;subj08_rep_beyond_collected,False,shared1000 & all-8-subj complete 3-rep coverage within collected sessions & not NSD-Imagery overlap
2990,True,False,subj03_rep_beyond_collected;subj04_rep_beyond_collected;subj06_rep_beyond_collected;subj08_rep_beyond_collected,False,shared1000 & all-8-subj complete 3-rep coverage within collected sessions & not NSD-Imagery overlap
3049,True,True,,False,shared1000 & all-8-subj complete 3-rep coverage within collected sessions & not NSD-Imagery overlap
3077,True,True,,False,shared1000 & all-8-subj complete 3-rep coverage within collected sessions & not NSD-Imagery overlap
3146,True,False,subj03_rep_beyond_collected;subj04_rep_beyond_collected;subj06_rep_beyond_collected;subj08_rep_beyond_collected,False,shared1000 & all-8-subj complete 3-rep coverage within collected sessions & not NSD-Imagery overlap
3157,True,True,,False,shared1000 & all-8-subj complete 3-rep coverage within collected sessions & not NSD-Imagery overlap
3164,True,True,,False,shared1000 & all-8-subj complete 3-rep coverage within collected sessions & not NSD-Imagery overlap
3171,True,True,,False,shared1000 & all-8-subj complete 3-rep coverage within collected sessions & not NSD-Imagery overlap
3181,True,False,subj03_rep_beyond_collected;subj04_rep_beyond_collected;subj06_rep_beyond_collected;subj08_rep_beyond_collected,False,shared1000 & all-8-subj complete 3-rep coverage within collected sessions & not NSD-Imagery overlap
3386,True,False,subj04_rep_beyond_collected;subj08_rep_beyond_collected,False,shared1000 & all-8-subj complete 3-rep coverage within collected sessions & not NSD-Imagery overlap
3434,True,True,,False,shared1000 & all-8-subj complete 3-rep coverage within collected sessions & not NSD-Imagery overlap
3449,True,True,,False,shared1000 & all-8-subj complete 3-rep coverage within collected sessions & not NSD-Imagery overlap
3489,True,True,,False,shared1000 & all-8-subj complete 3-rep coverage within collected sessions & not NSD-Imagery overlap
3626,True,True,,False,shared1000 & all-8-subj complete 3-rep coverage within collected sessions & not NSD-Imagery overlap
3682,True,True,,False,shared1000 & all-8-subj complete 3-rep coverage within collected sessions & not NSD-Imagery overlap
3687,True,True,,False,shared1000 & all-8-subj complete 3-rep coverage within collected sessions & not NSD-Imagery overlap
3729,True,False,subj03_rep_beyond_collected;subj04_rep_beyond_collected;subj06_rep_beyond_collected;subj08_rep_beyond_collected,False,shared1000 & all-8-subj complete 3-rep coverage within collected sessions & not NSD-Imagery overlap
3809,True,True,,False,shared1000 & all-8-subj complete 3-rep coverage within collected sessions & not NSD-Imagery overlap
3842,True,True,,False,shared1000 & all-8-subj complete 3-rep coverage within collected sessions & not NSD-Imagery overlap
