ROI,target_subject,identity_fold,R_Y_CORE_VISFULL
ventral,subj01,0,0.9999998807907104
ventral,subj01,1,1.0
ventral,subj01,2,0.9999999403953552
ventral,subj01,3,1.0
ventral,subj01,4,1.0
ventral,subj01,5,0.9999998807907104
ventral,subj02,0,1.0
ventral,subj02,1,1.0
ventral,subj02,2,0.9999999403953552
ventral,subj02,3,1.0
ventral,subj02,4,1.0
ventral,subj02,5,1.0
ventral,subj03,0,1.0000001192092896
ventral,subj03,1,1.0
ventral,subj03,2,1.0
ventral,subj03,3,1.0
ventral,subj03,4,1.0
ventral,subj03,5,1.0000001192092896
ventral,subj04,0,1.0
ventral,subj04,1,1.0000001192092896
ventral,subj04,2,1.0
ventral,subj04,3,1.0
ventral,subj04,4,1.0
ventral,subj04,5,1.0
ventral,subj05,0,1.0000001192092896
ventral,subj05,1,1.0000001192092896
ventral,subj05,2,1.0
ventral,subj05,3,1.0
ventral,subj05,4,1.0
ventral,subj05,5,1.0000001192092896
ventral,subj06,0,1.0000001192092896
ventral,subj06,1,1.0
ventral,subj06,2,1.0
ventral,subj06,3,1.0000001192092896
ventral,subj06,4,0.9999999403953552
ventral,subj06,5,1.0000001192092896
ventral,subj07,0,0.9999999403953552
ventral,subj07,1,1.0
ventral,subj07,2,1.0
ventral,subj07,3,1.0
ventral,subj07,4,0.9999999403953552
ventral,subj07,5,1.000000238418579
ventral,subj08,0,1.0
ventral,subj08,1,1.0
ventral,subj08,2,1.0
ventral,subj08,3,1.0000001192092896
ventral,subj08,4,1.0
ventral,subj08,5,0.9999999403953552
lateral,subj01,0,1.0
lateral,subj01,1,1.0
lateral,subj01,2,1.0
lateral,subj01,3,1.0
lateral,subj01,4,1.0
lateral,subj01,5,1.0
lateral,subj02,0,0.9999999403953552
lateral,subj02,1,0.9999998807907104
lateral,subj02,2,1.0
lateral,subj02,3,1.0
lateral,subj02,4,1.0
lateral,subj02,5,1.0
lateral,subj03,0,1.0000001192092896
lateral,subj03,1,1.0
lateral,subj03,2,1.0
lateral,subj03,3,1.0000001192092896
lateral,subj03,4,1.0
lateral,subj03,5,1.0
lateral,subj04,0,1.0000001192092896
lateral,subj04,1,1.0
lateral,subj04,2,1.0
lateral,subj04,3,1.0
lateral,subj04,4,1.0000001192092896
lateral,subj04,5,1.0000001192092896
lateral,subj05,0,1.0
lateral,subj05,1,1.0
lateral,subj05,2,0.9999998807907104
lateral,subj05,3,0.9999998807907104
lateral,subj05,4,1.0
lateral,subj05,5,1.0
lateral,subj06,0,1.0
lateral,subj06,1,1.0
lateral,subj06,2,0.9999999403953552
lateral,subj06,3,0.9999998807907104
lateral,subj06,4,1.0
lateral,subj06,5,1.0
lateral,subj07,0,1.0
lateral,subj07,1,0.9999998807907104
lateral,subj07,2,1.0000001192092896
lateral,subj07,3,1.0
lateral,subj07,4,0.9999999403953552
lateral,subj07,5,1.0
lateral,subj08,0,1.0000001192092896
lateral,subj08,1,1.0
lateral,subj08,2,1.0000001192092896
lateral,subj08,3,1.0000001192092896
lateral,subj08,4,1.0
lateral,subj08,5,1.0
parietal,subj01,0,1.0000001192092896
parietal,subj01,1,0.9999998807907104
parietal,subj01,2,1.0
parietal,subj01,3,1.0
parietal,subj01,4,1.0000001192092896
parietal,subj01,5,1.0000001192092896
parietal,subj02,0,1.0
parietal,subj02,1,1.0
parietal,subj02,2,1.0000001192092896
parietal,subj02,3,1.0000001192092896
parietal,subj02,4,1.0
parietal,subj02,5,1.0000001192092896
parietal,subj03,0,0.9999998211860656
parietal,subj03,1,1.0
parietal,subj03,2,0.9999998807907104
parietal,subj03,3,1.0
parietal,subj03,4,0.9999998807907104
parietal,subj03,5,1.0
parietal,subj04,0,1.0
parietal,subj04,1,1.0
parietal,subj04,2,1.0
parietal,subj04,3,1.0
parietal,subj04,4,1.0
parietal,subj04,5,1.0
parietal,subj05,0,1.0
parietal,subj05,1,0.9999999403953552
parietal,subj05,2,1.0
parietal,subj05,3,0.9999999403953552
parietal,subj05,4,0.9999999403953552
parietal,subj05,5,1.0
parietal,subj06,0,1.0
parietal,subj06,1,0.9999999403953552
parietal,subj06,2,0.9999998807907104
parietal,subj06,3,1.0
parietal,subj06,4,0.9999999403953552
parietal,subj06,5,1.0
parietal,subj07,0,1.0
parietal,subj07,1,1.0
parietal,subj07,2,1.0
parietal,subj07,3,1.0
parietal,subj07,4,1.0
parietal,subj07,5,1.0
parietal,subj08,0,0.9999999403953552
parietal,subj08,1,1.0
parietal,subj08,2,0.9999999403953552
parietal,subj08,3,0.9999998211860656
parietal,subj08,4,1.0
parietal,subj08,5,1.0
V1,subj01,0,1.0
V1,subj01,1,1.0
V1,subj01,2,0.9999999403953552
V1,subj01,3,1.0
V1,subj01,4,1.0
V1,subj01,5,1.0
V1,subj02,0,0.9999999403953552
V1,subj02,1,0.9999999403953552
V1,subj02,2,1.0
V1,subj02,3,1.0
