ROI,target_subject,identity_fold,R_Y_CORE
ventral,subj01,0,0.4045433402061462
ventral,subj01,1,0.3048997521400451
ventral,subj01,2,0.2729228734970093
ventral,subj01,3,0.4403485357761383
ventral,subj01,4,0.4353797435760498
ventral,subj01,5,0.4698919057846069
ventral,subj02,0,0.4027261137962341
ventral,subj02,1,0.4708833992481231
ventral,subj02,2,0.4149941205978393
ventral,subj02,3,0.3571610152721405
ventral,subj02,4,0.4572787582874298
ventral,subj02,5,0.4379221796989441
ventral,subj03,0,0.3832451403141022
ventral,subj03,1,0.4548872709274292
ventral,subj03,2,0.2676025331020355
ventral,subj03,3,0.2898062467575073
ventral,subj03,4,0.2761422991752624
ventral,subj03,5,0.1604986786842346
ventral,subj04,0,0.3041216731071472
ventral,subj04,1,0.2450320720672607
ventral,subj04,2,0.3242091238498688
ventral,subj04,3,0.1955573111772537
ventral,subj04,4,0.5651293396949768
ventral,subj04,5,0.4094215631484985
ventral,subj05,0,0.287053495645523
ventral,subj05,1,0.6213271021842957
ventral,subj05,2,0.4369668960571289
ventral,subj05,3,0.2782159149646759
ventral,subj05,4,0.2961960732936859
ventral,subj05,5,0.2402910739183426
ventral,subj06,0,0.590340793132782
ventral,subj06,1,0.3417923152446747
ventral,subj06,2,0.6414298415184021
ventral,subj06,3,0.3016891777515411
ventral,subj06,4,0.5185748934745789
ventral,subj06,5,0.4736715257167816
ventral,subj07,0,0.2253015786409378
ventral,subj07,1,0.5126649141311646
ventral,subj07,2,0.3521305024623871
ventral,subj07,3,0.3824444115161896
ventral,subj07,4,0.4121492207050323
ventral,subj07,5,0.2796976566314697
ventral,subj08,0,0.4594399034976959
ventral,subj08,1,0.2548364996910095
ventral,subj08,2,0.4628779590129852
ventral,subj08,3,0.5282096266746521
ventral,subj08,4,0.2155230045318603
ventral,subj08,5,0.4215485751628876
lateral,subj01,0,0.1955883502960205
lateral,subj01,1,0.3509077727794647
lateral,subj01,2,0.3710881173610687
lateral,subj01,3,0.5774010419845581
lateral,subj01,4,0.4734470546245575
lateral,subj01,5,0.404185801744461
lateral,subj02,0,0.5885096192359924
lateral,subj02,1,0.7723143100738525
lateral,subj02,2,0.4265413284301758
lateral,subj02,3,0.7207104563713074
lateral,subj02,4,0.3719478845596313
lateral,subj02,5,0.3163213431835174
lateral,subj03,0,0.5594953894615173
lateral,subj03,1,0.3386477530002594
lateral,subj03,2,0.4761022627353668
lateral,subj03,3,0.4773095250129699
lateral,subj03,4,0.5940639972686768
lateral,subj03,5,0.334845632314682
lateral,subj04,0,0.1500201523303985
lateral,subj04,1,0.2347239106893539
lateral,subj04,2,0.1701758503913879
lateral,subj04,3,0.3285256028175354
lateral,subj04,4,0.7702933549880981
lateral,subj04,5,0.2411985993385315
lateral,subj05,0,0.3544797599315643
lateral,subj05,1,0.4659452438354492
lateral,subj05,2,0.1336653381586074
lateral,subj05,3,0.0629612654447555
lateral,subj05,4,0.2222068309783935
lateral,subj05,5,0.1082966178655624
lateral,subj06,0,0.7276945114135742
lateral,subj06,1,0.5032823085784912
lateral,subj06,2,0.7319782376289368
lateral,subj06,3,0.3633246123790741
lateral,subj06,4,0.3720320761203766
lateral,subj06,5,0.5603445172309875
lateral,subj07,0,0.2197147905826568
lateral,subj07,1,0.2614710628986358
lateral,subj07,2,0.2119288444519043
lateral,subj07,3,0.3601923882961273
lateral,subj07,4,0.164293959736824
lateral,subj07,5,0.3564627468585968
lateral,subj08,0,0.3319266438484192
lateral,subj08,1,0.1618293970823288
lateral,subj08,2,0.4006630182266235
lateral,subj08,3,0.2672224342823028
lateral,subj08,4,0.2204251736402511
lateral,subj08,5,0.4366142749786377
parietal,subj01,0,0.7679039835929871
parietal,subj01,1,0.7249101996421814
parietal,subj01,2,0.5999061465263367
parietal,subj01,3,0.5686990022659302
parietal,subj01,4,0.5101892948150635
parietal,subj01,5,0.4633915424346924
parietal,subj02,0,0.79124516248703
parietal,subj02,1,0.6253824234008789
parietal,subj02,2,0.6193981766700745
parietal,subj02,3,0.7924761772155762
parietal,subj02,4,0.6961091160774231
parietal,subj02,5,0.5719332695007324
parietal,subj03,0,0.9054120182991028
parietal,subj03,1,0.4801458120346069
parietal,subj03,2,0.7410093545913696
parietal,subj03,3,0.8501055836677551
parietal,subj03,4,0.8125511407852173
parietal,subj03,5,0.8716011643409729
parietal,subj04,0,0.4509446024894714
parietal,subj04,1,0.5665527582168579
parietal,subj04,2,0.7980443239212036
parietal,subj04,3,0.5520943999290466
parietal,subj04,4,0.7119261622428894
parietal,subj04,5,0.3110115528106689
parietal,subj05,0,0.4222710728645324
parietal,subj05,1,0.7567070126533508
parietal,subj05,2,0.618147075176239
parietal,subj05,3,0.4650228321552276
parietal,subj05,4,0.6533656716346741
parietal,subj05,5,0.4405223131179809
parietal,subj06,0,0.8457618951797485
parietal,subj06,1,0.4248959720134735
parietal,subj06,2,0.8111653327941895
parietal,subj06,3,0.744280993938446
parietal,subj06,4,0.568267285823822
parietal,subj06,5,0.7675106525421143
parietal,subj07,0,0.5990108251571655
parietal,subj07,1,0.605443000793457
parietal,subj07,2,0.7771502137184143
parietal,subj07,3,0.6942121386528015
parietal,subj07,4,0.8308102488517761
parietal,subj07,5,0.7546491026878357
parietal,subj08,0,0.4639129042625427
parietal,subj08,1,0.5962086915969849
parietal,subj08,2,0.571717381477356
parietal,subj08,3,0.7049815058708191
parietal,subj08,4,0.5770735144615173
parietal,subj08,5,0.6501104831695557
V1,subj01,0,0.8549376726150513
V1,subj01,1,0.922889769077301
V1,subj01,2,0.8859670162200928
V1,subj01,3,0.8288559913635254
