ROI,target_subject,target_imagery_used_for_core_anchor,target_imagery_used_for_K,target_imagery_used_for_residual_template,target_imagery_used_for_rank_selection,O1_test_identity_used_in_residual_template,NSD_core_anchor_overlap_with_NSDimagery_identity
ventral,subj01,0,0,0,0,0,0
ventral,subj02,0,0,0,0,0,0
ventral,subj03,0,0,0,0,0,0
ventral,subj04,0,0,0,0,0,0
ventral,subj05,0,0,0,0,0,0
ventral,subj06,0,0,0,0,0,0
ventral,subj07,0,0,0,0,0,0
ventral,subj08,0,0,0,0,0,0
lateral,subj01,0,0,0,0,0,0
lateral,subj02,0,0,0,0,0,0
lateral,subj03,0,0,0,0,0,0
lateral,subj04,0,0,0,0,0,0
lateral,subj05,0,0,0,0,0,0
lateral,subj06,0,0,0,0,0,0
lateral,subj07,0,0,0,0,0,0
lateral,subj08,0,0,0,0,0,0
parietal,subj01,0,0,0,0,0,0
parietal,subj02,0,0,0,0,0,0
parietal,subj03,0,0,0,0,0,0
parietal,subj04,0,0,0,0,0,0
parietal,subj05,0,0,0,0,0,0
parietal,subj06,0,0,0,0,0,0
parietal,subj07,0,0,0,0,0,0
parietal,subj08,0,0,0,0,0,0
V1,subj01,0,0,0,0,0,0
V1,subj02,0,0,0,0,0,0
V1,subj03,0,0,0,0,0,0
V1,subj04,0,0,0,0,0,0
V1,subj05,0,0,0,0,0,0
V1,subj06,0,0,0,0,0,0
V1,subj07,0,0,0,0,0,0
V1,subj08,0,0,0,0,0,0
V3,subj01,0,0,0,0,0,0
V3,subj02,0,0,0,0,0,0
V3,subj03,0,0,0,0,0,0
V3,subj04,0,0,0,0,0,0
V3,subj05,0,0,0,0,0,0
V3,subj06,0,0,0,0,0,0
V3,subj07,0,0,0,0,0,0
V3,subj08,0,0,0,0,0,0
