ROI,target_subject,identity_fold,core_capture_of_residual
ventral,subj01,0,0.2308295785526799
ventral,subj01,1,0.1670909761806823
ventral,subj01,2,0.2344710660174115
ventral,subj01,3,0.1938680572674834
ventral,subj01,4,0.294712134471966
ventral,subj01,5,0.0916450883522243
ventral,subj02,0,0.2350243990810855
ventral,subj02,1,0.1108078122795707
ventral,subj02,2,0.307324878540907
ventral,subj02,3,0.1591117097626326
ventral,subj02,4,0.3141661373044848
ventral,subj02,5,0.233601876107812
ventral,subj03,0,0.1906251702187394
ventral,subj03,1,0.1008191562899522
ventral,subj03,2,0.1699368718847956
ventral,subj03,3,0.1569850421680992
ventral,subj03,4,0.0933602226729042
ventral,subj03,5,0.0704184877212113
ventral,subj04,0,0.1669970086096484
ventral,subj04,1,0.2706735862642183
ventral,subj04,2,0.2785128499436669
ventral,subj04,3,0.1818731635668656
ventral,subj04,4,0.3350469282371859
ventral,subj04,5,0.3389162176985306
ventral,subj05,0,0.2157985063679207
ventral,subj05,1,0.2203375642491838
ventral,subj05,2,0.2869771860114632
ventral,subj05,3,0.2307887553735225
ventral,subj05,4,0.2775971152706498
ventral,subj05,5,0.2080829615519943
ventral,subj06,0,0.2336052948519297
ventral,subj06,1,0.1704873075897143
ventral,subj06,2,0.2449742158544557
ventral,subj06,3,0.1518036849135834
ventral,subj06,4,0.2211373988399561
ventral,subj06,5,0.2232958455170757
ventral,subj07,0,0.1091908513025285
ventral,subj07,1,0.2182223437012244
ventral,subj07,2,0.193312689216267
ventral,subj07,3,0.199197067455218
ventral,subj07,4,0.2594206995155613
ventral,subj07,5,0.214088676322747
ventral,subj08,0,0.2023012834827009
ventral,subj08,1,0.1408681752109577
ventral,subj08,2,0.1101719916920769
ventral,subj08,3,0.2051604653347897
ventral,subj08,4,0.1167786785651185
ventral,subj08,5,0.2035525466874268
lateral,subj01,0,0.1402694831228637
lateral,subj01,1,0.2228268468562905
lateral,subj01,2,0.2123300527876051
lateral,subj01,3,0.1923564919473585
lateral,subj01,4,0.1318271211254535
lateral,subj01,5,0.0722680387436831
lateral,subj02,0,0.3075588738489627
lateral,subj02,1,0.1714209698113625
lateral,subj02,2,0.1493408430021051
lateral,subj02,3,0.3306706274039541
lateral,subj02,4,0.168025796636348
lateral,subj02,5,0.2409168566053318
lateral,subj03,0,0.2131013500802751
lateral,subj03,1,0.1458918135548135
lateral,subj03,2,0.2640996073484888
lateral,subj03,3,0.1611341138009023
lateral,subj03,4,0.1967105686633616
lateral,subj03,5,0.1464878221825102
lateral,subj04,0,0.0651868008545867
lateral,subj04,1,0.0771813885544579
lateral,subj04,2,0.0405139987989839
lateral,subj04,3,0.1017051764818239
lateral,subj04,4,0.2709241761901584
lateral,subj04,5,0.0508974606440649
lateral,subj05,0,0.2091765366854581
lateral,subj05,1,0.2038286482500976
lateral,subj05,2,0.1483025516807076
lateral,subj05,3,0.050032723562957
lateral,subj05,4,0.2166706094299924
lateral,subj05,5,0.0703961992790256
lateral,subj06,0,0.2234750681445986
lateral,subj06,1,0.0812606959404393
lateral,subj06,2,0.081398607350507
lateral,subj06,3,0.1881672227656995
lateral,subj06,4,0.099779134410501
lateral,subj06,5,0.0448984561554382
lateral,subj07,0,0.1427478687477835
lateral,subj07,1,0.1220275799181803
