ROI,target_subject,identity_fold,r_sel
ventral,subj01,0,6
ventral,subj01,1,6
ventral,subj01,2,6
ventral,subj01,3,6
ventral,subj01,4,6
ventral,subj01,5,6
ventral,subj02,0,6
ventral,subj02,1,6
ventral,subj02,2,6
ventral,subj02,3,6
ventral,subj02,4,6
ventral,subj02,5,6
ventral,subj03,0,6
ventral,subj03,1,6
ventral,subj03,2,6
ventral,subj03,3,6
ventral,subj03,4,6
ventral,subj03,5,6
ventral,subj04,0,6
ventral,subj04,1,6
ventral,subj04,2,6
ventral,subj04,3,6
ventral,subj04,4,6
ventral,subj04,5,6
ventral,subj05,0,6
ventral,subj05,1,6
ventral,subj05,2,6
ventral,subj05,3,6
ventral,subj05,4,6
ventral,subj05,5,6
ventral,subj06,0,6
ventral,subj06,1,6
ventral,subj06,2,6
ventral,subj06,3,6
ventral,subj06,4,6
ventral,subj06,5,6
ventral,subj07,0,6
ventral,subj07,1,6
ventral,subj07,2,6
ventral,subj07,3,6
ventral,subj07,4,6
ventral,subj07,5,6
ventral,subj08,0,6
ventral,subj08,1,6
ventral,subj08,2,6
ventral,subj08,3,6
ventral,subj08,4,6
ventral,subj08,5,6
lateral,subj01,0,6
lateral,subj01,1,6
lateral,subj01,2,6
lateral,subj01,3,6
lateral,subj01,4,6
lateral,subj01,5,6
lateral,subj02,0,6
lateral,subj02,1,6
lateral,subj02,2,6
lateral,subj02,3,6
lateral,subj02,4,6
lateral,subj02,5,6
lateral,subj03,0,6
lateral,subj03,1,6
lateral,subj03,2,6
lateral,subj03,3,6
lateral,subj03,4,6
lateral,subj03,5,6
lateral,subj04,0,6
lateral,subj04,1,6
lateral,subj04,2,6
lateral,subj04,3,6
lateral,subj04,4,6
lateral,subj04,5,6
lateral,subj05,0,6
lateral,subj05,1,6
lateral,subj05,2,6
lateral,subj05,3,6
lateral,subj05,4,6
lateral,subj05,5,6
lateral,subj06,0,6
lateral,subj06,1,6
lateral,subj06,2,6
lateral,subj06,3,6
lateral,subj06,4,6
lateral,subj06,5,6
lateral,subj07,0,6
lateral,subj07,1,6
lateral,subj07,2,6
lateral,subj07,3,6
lateral,subj07,4,6
lateral,subj07,5,6
lateral,subj08,0,6
lateral,subj08,1,6
lateral,subj08,2,6
lateral,subj08,3,6
lateral,subj08,4,6
lateral,subj08,5,6
parietal,subj01,0,6
parietal,subj01,1,6
parietal,subj01,2,6
parietal,subj01,3,6
parietal,subj01,4,6
parietal,subj01,5,6
parietal,subj02,0,6
parietal,subj02,1,6
parietal,subj02,2,6
parietal,subj02,3,6
parietal,subj02,4,6
parietal,subj02,5,6
parietal,subj03,0,6
parietal,subj03,1,6
parietal,subj03,2,6
parietal,subj03,3,6
parietal,subj03,4,6
parietal,subj03,5,6
parietal,subj04,0,6
parietal,subj04,1,6
parietal,subj04,2,6
parietal,subj04,3,6
parietal,subj04,4,6
parietal,subj04,5,6
parietal,subj05,0,6
parietal,subj05,1,6
parietal,subj05,2,6
parietal,subj05,3,6
parietal,subj05,4,6
parietal,subj05,5,6
parietal,subj06,0,6
parietal,subj06,1,6
parietal,subj06,2,6
parietal,subj06,3,6
parietal,subj06,4,6
parietal,subj06,5,6
parietal,subj07,0,6
parietal,subj07,1,6
parietal,subj07,2,6
parietal,subj07,3,6
parietal,subj07,4,6
parietal,subj07,5,6
parietal,subj08,0,6
parietal,subj08,1,6
parietal,subj08,2,6
parietal,subj08,3,6
parietal,subj08,4,6
parietal,subj08,5,6
V1,subj01,0,6
V1,subj01,1,6
V1,subj01,2,6
V1,subj01,3,6
V1,subj01,4,6
V1,subj01,5,6
V1,subj02,0,6
V1,subj02,1,6
V1,subj02,2,6
V1,subj02,3,6
V1,subj02,4,6
V1,subj02,5,6
V1,subj03,0,6
V1,subj03,1,6
V1,subj03,2,6
V1,subj03,3,6
V1,subj03,4,6
V1,subj03,5,6
V1,subj04,0,6
V1,subj04,1,6
V1,subj04,2,6
V1,subj04,3,6
V1,subj04,4,6
V1,subj04,5,6
V1,subj05,0,6
V1,subj05,1,6
V1,subj05,2,6
V1,subj05,3,6
V1,subj05,4,6
V1,subj05,5,6
V1,subj06,0,6
V1,subj06,1,6
V1,subj06,2,6
V1,subj06,3,6
V1,subj06,4,6
V1,subj06,5,6
V1,subj07,0,6
V1,subj07,1,6
V1,subj07,2,6
V1,subj07,3,6
V1,subj07,4,6
V1,subj07,5,6
V1,subj08,0,6
V1,subj08,1,6
V1,subj08,2,6
V1,subj08,3,6
V1,subj08,4,6
V1,subj08,5,6
V3,subj01,0,6
V3,subj01,1,6
V3,subj01,2,6
V3,subj01,3,6
V3,subj01,4,6
V3,subj01,5,6
V3,subj02,0,6
V3,subj02,1,6
V3,subj02,2,6
V3,subj02,3,6
V3,subj02,4,6
V3,subj02,5,6
V3,subj03,0,6
V3,subj03,1,6
V3,subj03,2,6
V3,subj03,3,6
V3,subj03,4,6
V3,subj03,5,6
V3,subj04,0,6
V3,subj04,1,6
V3,subj04,2,6
V3,subj04,3,6
V3,subj04,4,6
V3,subj04,5,6
V3,subj05,0,6
V3,subj05,1,6
V3,subj05,2,6
V3,subj05,3,6
V3,subj05,4,6
V3,subj05,5,6
V3,subj06,0,6
V3,subj06,1,6
V3,subj06,2,6
V3,subj06,3,6
V3,subj06,4,6
V3,subj06,5,6
V3,subj07,0,6
V3,subj07,1,6
V3,subj07,2,6
V3,subj07,3,6
V3,subj07,4,6
V3,subj07,5,6
V3,subj08,0,6
V3,subj08,1,6
V3,subj08,2,6
V3,subj08,3,6
V3,subj08,4,6
V3,subj08,5,6
