ROI,target_subject,identity_fold,K,r_sel,predicted_residual_retention,oracle_retention,null_median,null_p95,oracle_recovery
ventral,subj01,0,16,6,0.1444999174837383,0.2308295784225333,0.0867817451838359,0.1674002864073303,0.6260026053473587
ventral,subj01,1,16,6,0.0574571597032714,0.167090975861959,0.0538710791691458,0.10673062757304,0.3438675213120981
ventral,subj01,2,16,6,0.0900015520837337,0.234471064433492,0.0811044274013796,0.146542006580094,0.383849292027515
ventral,subj01,3,16,6,0.0536608459297701,0.1938680575899991,0.0737784361078521,0.1224269097937564,0.2767905481533969
ventral,subj01,4,16,6,0.1301421048882568,0.2947121309538443,0.1095154272044338,0.1660986701450256,0.4415905937331054
ventral,subj01,5,16,6,0.0233249047418521,0.0916450894463991,0.0343416297895679,0.0651415332701955,0.2545134156423542
ventral,subj02,0,16,6,0.1155124865214669,0.2350243968669905,0.0726396803551706,0.1510339198480937,0.4914914709337172
ventral,subj02,1,16,6,0.0271546309647126,0.1108078105883449,0.0432373603815417,0.0754697745482395,0.2450606218147661
ventral,subj02,2,16,6,0.1710637713087683,0.3073248780687081,0.1105179558152683,0.1865811101207499,0.5566219447763804
ventral,subj02,3,16,6,0.0457059381615841,0.1591117059221218,0.0608587873035384,0.0968651382222739,0.2872569173757412
ventral,subj02,4,16,6,0.2266523408279547,0.3141661431995165,0.0979585388723285,0.1993906672267994,0.7214410137250702
ventral,subj02,5,16,6,0.1512103263016395,0.2336018764231378,0.0810020741652559,0.1651813729598507,0.6472992795132462
ventral,subj03,0,16,6,0.0254979874713481,0.1906251704556198,0.0685014550211388,0.1139439769011993,0.1337598146687792
ventral,subj03,1,16,6,0.0133178540334326,0.100819157334026,0.0369133554436488,0.0758855829628808,0.132096462473982
ventral,subj03,2,16,6,0.0491640915331293,0.1699368722471416,0.0606825846945763,0.0989865180867437,0.289307969971516
ventral,subj03,3,16,6,0.0431981442656424,0.156985041908576,0.0564134120859383,0.0897443749357252,0.2751736327261032
ventral,subj03,4,16,6,0.0228808383272714,0.0933602216815138,0.0316426043049178,0.0639005823192116,0.2450812339041616
ventral,subj03,5,16,6,0.0084550484804367,0.0704184870794605,0.0262313695756088,0.0365934036512742,0.1200685903816149
ventral,subj04,0,16,6,0.057861289363754,0.1669970100433981,0.0468469574951146,0.1080865575190553,0.346480989981302
ventral,subj04,1,16,6,0.1101529856610403,0.2706735863732972,0.1181332362159728,0.2090942132782273,0.4069587547752951
ventral,subj04,2,16,6,0.1510083665193123,0.2785128451986063,0.1018531850342125,0.1672534687223906,0.5421953390035885
ventral,subj04,3,16,6,0.0587947384869448,0.1818731619989248,0.0734888796912111,0.1085611897284973,0.3232733067416095
ventral,subj04,4,16,6,0.1308123274615786,0.3350469331784603,0.1296318856628471,0.2103224691156774,0.3904298607380549
ventral,subj04,5,16,6,0.1923745827835714,0.3389162165812271,0.0779547556752059,0.2572400419438215,0.5676169311817677
ventral,subj05,0,16,6,0.1074210867593668,0.2157985078182197,0.0778081950887193,0.1215542336289146,0.4977841962181414
ventral,subj05,1,16,6,0.1355482508913381,0.2203375671303477,0.0784696844428666,0.1507795155587493,0.6151844765134863
ventral,subj05,2,16,6,0.1130978137871182,0.286977185324043,0.1044680787954074,0.1646712256337816,0.3941003660601549
ventral,subj05,3,16,6,0.0919624741012084,0.230788757848388,0.0743615378346627,0.1598573830385306,0.398470336937388
ventral,subj05,4,16,6,0.1813147145802766,0.2775971202889801,0.0995330848072934,0.1845120742686269,0.6531577647186219
ventral,subj05,5,16,6,0.1261035241011497,0.2080829603541517,0.0750030519242658,0.1074534193526084,0.6060252309296483
ventral,subj06,0,16,6,0.0835328072572082,0.2336052957419835,0.0856769442168968,0.1184364476675824,0.357580965756316
ventral,subj06,1,16,6,0.0822247883202359,0.1704873076317158,0.0667779182161436,0.1057380734140374,0.4822927258482886
ventral,subj06,2,16,6,0.1153046413290429,0.2449742140955202,0.0874324019917612,0.1412169127683922,0.4706807275809178
ventral,subj06,3,16,6,0.0353583133155711,0.1518036831346549,0.0561618268141131,0.0945870628057748,0.2329213138011094
ventral,subj06,4,16,6,0.0304273099994883,0.2211373975330919,0.0721328178104874,0.1353633496182066,0.1375945920451335
ventral,subj06,5,16,6,0.1078764409352641,0.2232958438265327,0.0855529811397279,0.1437300683243667,0.4831099365157367
ventral,subj07,0,16,6,0.0449231767940504,0.1091908512743752,0.0395325317762426,0.0718490720317342,0.4114188713591697
ventral,subj07,1,16,6,0.0260169652853836,0.2182223427429527,0.0811946029093883,0.1374697043291548,0.1192222801678441
ventral,subj07,2,16,6,0.075033345215505,0.1933126901540655,0.059852309128855,0.1265185966177887,0.3881449539381261
ventral,subj07,3,16,6,0.1337042517122265,0.1991970673544742,0.0726304862461063,0.1230773831304428,0.671215964612058
ventral,subj07,4,16,6,0.1714405388178845,0.2594207052527602,0.1011010087381535,0.1579885578254927,0.6608591193630656
ventral,subj07,5,16,6,0.079363867257904,0.214088678722439,0.0783780573689537,0.1522606535250709,0.3707055773873848
ventral,subj08,0,16,6,0.0643015478796701,0.202301282754274,0.0868857755508871,0.1626965264724192,0.3178504209376382
ventral,subj08,1,16,6,0.0521547129653623,0.1408681759591468,0.0527651705415593,0.0886768821832199,0.3702377248108029
ventral,subj08,2,16,6,0.0305125279512724,0.1101719921857617,0.0413541624194644,0.0681048893619657,0.2769535827202352
ventral,subj08,3,16,6,0.0499655149242743,0.2051604626920651,0.0565857651559647,0.137574915593041,0.2435435866571907
ventral,subj08,4,16,6,0.070507129689457,0.1167786774208803,0.036057293238625,0.0804469740521111,0.6037671537873587
ventral,subj08,5,16,6,0.1017372873674615,0.2035525474575683,0.0767331766504355,0.1350402198466756,0.4998084702853902
lateral,subj01,0,8,6,0.0775323804204254,0.1402694840544083,0.0988710137829841,0.1346933674063528,0.5527387581346763
lateral,subj01,1,8,6,0.1920968219965768,0.2228268474938885,0.1853364747288858,0.2111342440418283,0.8620901123768107
lateral,subj01,2,8,6,0.1437720225688586,0.2123300522298526,0.1903318499310417,0.2081164716677781,0.6771157500268582
