hemisphere,region,aparc_label_id,fs_name
lh,bankssts,1001,ctx-lh-bankssts
lh,caudalanteriorcingulate,1002,ctx-lh-caudalanteriorcingulate
lh,caudalmiddlefrontal,1003,ctx-lh-caudalmiddlefrontal
lh,cuneus,1005,ctx-lh-cuneus
lh,entorhinal,1006,ctx-lh-entorhinal
lh,fusiform,1007,ctx-lh-fusiform
lh,inferiorparietal,1008,ctx-lh-inferiorparietal
lh,inferiortemporal,1009,ctx-lh-inferiortemporal
lh,isthmuscingulate,1010,ctx-lh-isthmuscingulate
lh,lateraloccipital,1011,ctx-lh-lateraloccipital
lh,lateralorbitofrontal,1012,ctx-lh-lateralorbitofrontal
lh,lingual,1013,ctx-lh-lingual
lh,medialorbitofrontal,1014,ctx-lh-medialorbitofrontal
lh,middletemporal,1015,ctx-lh-middletemporal
lh,parahippocampal,1016,ctx-lh-parahippocampal
lh,paracentral,1017,ctx-lh-paracentral
lh,parsopercularis,1018,ctx-lh-parsopercularis
lh,parsorbitalis,1019,ctx-lh-parsorbitalis
lh,parstriangularis,1020,ctx-lh-parstriangularis
lh,pericalcarine,1021,ctx-lh-pericalcarine
lh,postcentral,1022,ctx-lh-postcentral
lh,posteriorcingulate,1023,ctx-lh-posteriorcingulate
lh,precentral,1024,ctx-lh-precentral
lh,precuneus,1025,ctx-lh-precuneus
lh,rostralanteriorcingulate,1026,ctx-lh-rostralanteriorcingulate
lh,rostralmiddlefrontal,1027,ctx-lh-rostralmiddlefrontal
lh,superiorfrontal,1028,ctx-lh-superiorfrontal
lh,superiorparietal,1029,ctx-lh-superiorparietal
lh,superiortemporal,1030,ctx-lh-superiortemporal
lh,supramarginal,1031,ctx-lh-supramarginal
lh,frontalpole,1032,ctx-lh-frontalpole
lh,temporalpole,1033,ctx-lh-temporalpole
lh,transversetemporal,1034,ctx-lh-transversetemporal
lh,insula,1035,ctx-lh-insula
rh,bankssts,2001,ctx-rh-bankssts
rh,caudalanteriorcingulate,2002,ctx-rh-caudalanteriorcingulate
rh,caudalmiddlefrontal,2003,ctx-rh-caudalmiddlefrontal
rh,cuneus,2005,ctx-rh-cuneus
rh,entorhinal,2006,ctx-rh-entorhinal
rh,fusiform,2007,ctx-rh-fusiform
rh,inferiorparietal,2008,ctx-rh-inferiorparietal
rh,inferiortemporal,2009,ctx-rh-inferiortemporal
rh,isthmuscingulate,2010,ctx-rh-isthmuscingulate
rh,lateraloccipital,2011,ctx-rh-lateraloccipital
rh,lateralorbitofrontal,2012,ctx-rh-lateralorbitofrontal
rh,lingual,2013,ctx-rh-lingual
rh,medialorbitofrontal,2014,ctx-rh-medialorbitofrontal
rh,middletemporal,2015,ctx-rh-middletemporal
rh,parahippocampal,2016,ctx-rh-parahippocampal
rh,paracentral,2017,ctx-rh-paracentral
rh,parsopercularis,2018,ctx-rh-parsopercularis
rh,parsorbitalis,2019,ctx-rh-parsorbitalis
rh,parstriangularis,2020,ctx-rh-parstriangularis
rh,pericalcarine,2021,ctx-rh-pericalcarine
rh,postcentral,2022,ctx-rh-postcentral
rh,posteriorcingulate,2023,ctx-rh-posteriorcingulate
rh,precentral,2024,ctx-rh-precentral
rh,precuneus,2025,ctx-rh-precuneus
rh,rostralanteriorcingulate,2026,ctx-rh-rostralanteriorcingulate
rh,rostralmiddlefrontal,2027,ctx-rh-rostralmiddlefrontal
rh,superiorfrontal,2028,ctx-rh-superiorfrontal
rh,superiorparietal,2029,ctx-rh-superiorparietal
rh,superiortemporal,2030,ctx-rh-superiortemporal
rh,supramarginal,2031,ctx-rh-supramarginal
rh,frontalpole,2032,ctx-rh-frontalpole
rh,temporalpole,2033,ctx-rh-temporalpole
rh,transversetemporal,2034,ctx-rh-transversetemporal
rh,insula,2035,ctx-rh-insula
