subject,roi,R0,R_M10,R_SUPPORT_FULL,R_SUPPORT_ORACLE_R,R_NATIVE_ORACLE,F_FULL,F_RANK,F_EST,evaluable_native,evaluable_est
subj01,ventral,0.07670023067131199,0.12527811698867292,0.1652605108342208,0.1315247828537028,0.6458081270336085,0.1556124607108438,0.09633419696480418,0.8860607954580563,True,True
subj02,ventral,0.11039700769818256,0.1997222720728695,0.23982691340035253,0.20038707365291752,0.6855435360277079,0.2250381412856485,0.15646459036465907,0.9926125003577347,True,True
subj03,ventral,0.04319754294662657,0.13293432074386738,0.1650312305678408,0.13753627342415012,0.6560709593714579,0.1987909482710564,0.1539285730940072,0.9512188402685876,True,True
subj04,ventral,0.07279886001342001,0.16511833332424958,0.19877058292009234,0.16478840735320774,0.6756297361130015,0.2089669389891421,0.15259594520933595,1.0,True,True
subj05,ventral,0.06273045929860356,0.12418412469827017,0.15856481030950162,0.1266923082753699,0.707052934603885,0.14873662596589002,0.09926993303541223,0.9607862559131021,True,True
subj06,ventral,0.05717941331843137,0.1916771529851021,0.27853163805311415,0.19618683354756558,0.6325627685127463,0.3847039069455338,0.24159096535246397,0.9675579867964609,True,True
subj07,ventral,0.05630489836459216,0.2412549715090513,0.3125607328649198,0.24106603577324173,0.7549023128375992,0.3668147479383908,0.26447440769305697,1.0,True,True
subj08,ventral,0.07132334971725922,0.1399534312175832,0.17226674408386847,0.1496856103557035,0.6652626878633251,0.16995573097026367,0.13193647163201178,0.8758052784742439,True,True
subj01,lateral,0.12594994880696989,0.15189291903481877,0.1562904873610053,0.15225788358765419,0.741091169231515,0.04932288317972841,0.042767309208327234,0.9861272062638922,True,True
subj02,lateral,0.11565696795165303,0.14843116712269896,0.15522389087861155,0.1525720170131807,0.729361500870783,0.0644722676867899,0.06015117549472639,0.8878275934679095,True,True
subj03,lateral,0.15304797025455777,0.20246757684509853,0.2060365381867997,0.20397511475273641,0.70536439440833,0.09593878728742858,0.09220646403229148,0.9703981457728933,True,True
subj04,lateral,0.13511894973388228,0.14865034118138232,0.156290913402825,0.14801253064185282,0.6430513476685301,0.04168264075107643,0.02538444281246552,1.0,True,True
subj05,lateral,0.11741336411577281,0.13521978104414079,0.14784080077701156,0.13447785642086157,0.6178585634499866,0.06080073642772284,0.03409862324144813,1.0,True,True
subj06,lateral,0.09066447792008993,0.10046182141474647,0.10559348448901924,0.09959391666350877,0.6850679853819309,0.025115946291564765,0.015022520276753385,1.0,True,True
subj07,lateral,0.13994197629904545,0.1519045862994082,0.15618559220367262,0.15086744230863947,0.7636778674330417,0.026042458251192054,0.01751617337545021,1.0,True,True
subj08,lateral,0.06907582913922877,0.12969957065856916,0.15939874280786062,0.13441382314885109,0.7178000421190918,0.13923160545178473,0.10071767432496076,0.9278482212112655,True,True
