subject,roi,fold,mean_sq_cos,min_cos,cosines,angles_deg
subj01,ventral,0,0.40546761221023236,0.0060267519085248486,0.945959;0.904757;0.618792;0.524045;0.248637;0.006027,18.922;25.209;51.772;58.396;75.603;89.655
subj01,ventral,1,0.2679268768382081,0.13739487277991713,0.891467;0.600562;0.509137;0.338519;0.243886;0.137395,26.942;53.090;59.394;70.213;75.884;82.103
subj01,ventral,2,0.3797082663983991,0.06980943672700514,0.889948;0.850141;0.650295;0.540942;0.207669;0.069809,27.133;31.773;49.436;57.252;78.014;85.997
subj01,ventral,3,0.34088895525390245,0.06113213551746568,0.932504;0.855950;0.543349;0.358490;0.125062;0.061132,21.171;31.135;57.088;68.993;82.816;86.495
subj01,ventral,4,0.385542130725889,0.17414505357824828,0.902331;0.841945;0.638027;0.481289;0.348045;0.174145,25.534;32.654;50.355;61.230;69.632;79.971
subj01,ventral,5,0.42060954238829545,0.0776258942155,0.945510;0.834371;0.688266;0.618031;0.267946;0.077626,19.001;33.450;46.507;51.827;74.458;85.548
subj02,ventral,0,0.4233893428668691,0.14664710931192457,0.920934;0.873568;0.707620;0.571835;0.282610;0.146647,22.937;29.124;44.958;55.122;73.584;81.567
subj02,ventral,1,0.4072329553074798,0.029304303929453764,0.952873;0.856451;0.748313;0.440452;0.217006;0.029304,17.660;31.080;41.556;63.867;77.467;88.321
subj02,ventral,2,0.38008873901037665,0.03564635128640044,0.903560;0.831721;0.622465;0.543852;0.296384;0.035646,25.370;33.724;51.504;57.054;72.759;87.957
subj02,ventral,3,0.31709140167593225,0.015498423845906101,0.985375;0.645743;0.600891;0.348509;0.178418;0.015498,9.811;49.779;53.066;69.604;79.722;89.112
subj02,ventral,4,0.3804481008833109,0.003393597098927747,0.993259;0.770293;0.629695;0.500407;0.236306;0.003394,6.657;39.620;50.972;59.973;76.331;89.806
subj02,ventral,5,0.2932823999809368,0.05646723438320128,0.820291;0.698558;0.575944;0.472481;0.201730;0.056467,34.886;45.689;54.834;61.805;78.362;86.763
subj03,ventral,0,0.3006429790611145,0.005851045129945054,0.834330;0.712344;0.567247;0.484876;0.208349;0.005851,33.454;44.574;55.442;60.996;77.974;89.665
subj03,ventral,1,0.32498685234832475,0.011886873610961553,0.945130;0.662853;0.559947;0.407937;0.370381;0.011887,19.068;48.482;55.948;65.925;68.261;89.319
subj03,ventral,2,0.31905323676611236,0.0771666191186097,0.873716;0.731642;0.594265;0.456663;0.219073;0.077167,29.107;42.976;53.540;62.828;77.345;85.574
subj03,ventral,3,0.3155585023311588,0.10041442119907767,0.898564;0.711227;0.512756;0.457514;0.312682;0.100414,26.030;44.665;59.152;62.773;71.779;84.237
subj03,ventral,4,0.42142441831601185,0.09137014940618939,0.960040;0.845521;0.679582;0.540014;0.360789;0.091370,16.252;32.272;47.189;57.315;68.851;84.758
subj03,ventral,5,0.3680758366550323,0.19407425386957863,0.925712;0.805785;0.552291;0.507211;0.319797;0.194074,22.224;36.314;56.476;59.522;71.349;78.809
subj04,ventral,0,0.4125036117659176,0.05677769698397468,0.876362;0.833758;0.723516;0.547481;0.430610;0.056778,28.793;33.513;43.654;56.806;64.494;86.745
subj04,ventral,1,0.3812904746288097,0.1960157622647656,0.960935;0.771133;0.636383;0.453202;0.347712;0.196016,16.068;39.544;50.477;63.051;69.653;78.696
subj04,ventral,2,0.3460906888617244,0.04216515012940042,0.871570;0.796363;0.644550;0.460723;0.230711;0.042165,29.358;37.216;49.868;62.566;76.661;87.583
subj04,ventral,3,0.40928757982857195,0.20798691119516352,0.875649;0.794288;0.694474;0.629548;0.369035;0.207987,28.878;37.412;46.015;50.983;68.344;77.996
subj04,ventral,4,0.3722965918878108,0.08257261889233211,0.940838;0.745824;0.585307;0.559702;0.360111;0.082573,19.807;41.770;54.175;55.965;68.893;85.264
subj04,ventral,5,0.29448722589782966,0.10256325606730614,0.824321;0.775363;0.634892;0.205526;0.174306;0.102563,34.480;39.162;50.588;78.140;79.962;84.113
subj05,ventral,0,0.3522469966605804,0.09815236635722893,0.924550;0.651648;0.620374;0.600332;0.281332;0.098152,22.399;49.334;51.657;53.106;73.660;84.367
subj05,ventral,1,0.32805136908280413,0.011714351233212766,0.894730;0.686043;0.627093;0.497239;0.237659;0.011714,26.526;46.682;51.164;60.183;76.252;89.329
subj05,ventral,2,0.39727118027864733,0.13633997546509274,0.917392;0.805942;0.704087;0.517090;0.332817;0.136340,23.452;36.299;45.244;58.863;70.560;82.164
subj05,ventral,3,0.3499771645667431,0.13949133573771028,0.907191;0.853274;0.616235;0.313541;0.226448;0.139491,24.880;31.430;51.958;71.727;76.912;81.982
subj05,ventral,4,0.34233168600340064,0.13930556353471363,0.959796;0.747671;0.592002;0.368038;0.261621;0.139306,16.302;41.611;53.701;68.405;74.834;81.992
subj05,ventral,5,0.364527492411882,0.17678500633030747,0.855661;0.694180;0.676456;0.532404;0.448133;0.176785,31.167;46.038;47.433;57.832;63.376;79.817
subj06,ventral,0,0.25025258522004024,0.15129373839901192,0.731092;0.693576;0.448286;0.427101;0.282324;0.151294,43.022;46.086;63.366;64.716;73.601;81.298
subj06,ventral,1,0.20532200069838624,0.05936079251876864,0.750144;0.583086;0.509092;0.239258;0.096356;0.059361,41.397;54.332;59.397;76.157;84.471;86.597
subj06,ventral,2,0.24769111155369772,0.08401096045716495,0.764709;0.645866;0.494270;0.388218;0.286617;0.084011,40.119;49.769;60.378;67.156;73.344;85.181
subj06,ventral,3,0.19855982750366974,0.06201499485167864,0.729994;0.605085;0.439739;0.277015;0.135598;0.062015,43.114;52.765;63.913;73.918;82.207;86.445
subj06,ventral,4,0.2322351549008139,0.05473158906369376,0.734245;0.635282;0.539232;0.385722;0.090346;0.054732,42.757;50.559;57.369;67.311;84.816;86.863
subj06,ventral,5,0.18629478895804594,0.04337416301216913,0.748251;0.576241;0.384028;0.223330;0.163099;0.043374,41.561;54.813;67.417;77.095;80.613;87.514
subj07,ventral,0,0.15717724141603898,0.0180839979653384,0.702806;0.473022;0.368028;0.268482;0.132375;0.018084,45.347;61.769;68.406;74.426;82.393;88.964
