subject,roi,fold,R_SUPPORT_ORACLE_R,R_NATIVE_ORACLE,r_best
subj01,ventral,0,0.15308183800569952,0.5782990018368986,6
subj01,ventral,1,0.09528766558908872,0.7563999686725468,6
subj01,ventral,2,0.13679298974822632,0.602134016148764,6
subj01,ventral,3,0.1278856714802318,0.6583030247244106,6
subj01,ventral,4,0.1489153158639957,0.6605488765731953,6
subj01,ventral,5,0.12718521643497474,0.6191638742458352,6
subj02,ventral,0,0.27823313537917754,0.7260099591820556,6
subj02,ventral,1,0.11366793326254601,0.6938007118101549,6
subj02,ventral,2,0.19468907277332048,0.6607112272644369,6
subj02,ventral,3,0.24145584246626947,0.7405666056854319,6
subj02,ventral,4,0.2100283359916436,0.6469722073077757,6
subj02,ventral,5,0.1642481220445479,0.6452005049163918,6
subj03,ventral,0,0.1416672926850887,0.6717823274518543,6
subj03,ventral,1,0.12439384189407318,0.6789476001944623,6
subj03,ventral,2,0.15549170299003348,0.6127566530921178,6
subj03,ventral,3,0.12025227973971467,0.6453361290055797,6
subj03,ventral,4,0.14854221437444592,0.6934526398016521,6
subj03,ventral,5,0.13487030886154477,0.6341504066830815,6
subj04,ventral,0,0.1245793451002622,0.7264081854669666,6
subj04,ventral,1,0.14025278146238845,0.5916025541148077,6
subj04,ventral,2,0.2071503013706961,0.7004503558482251,6
subj04,ventral,3,0.12446700747281918,0.6658235776843305,6
subj04,ventral,4,0.2292132003405048,0.6518965064926394,6
subj04,ventral,5,0.1630678083725756,0.7175972370710397,6
subj05,ventral,0,0.1066187055426836,0.7222339070914556,6
subj05,ventral,1,0.14564567821549335,0.6221400588497084,6
subj05,ventral,2,0.13298847648339496,0.7549319062289293,6
subj05,ventral,3,0.10872738879414667,0.6538903176154842,6
subj05,ventral,4,0.17666693829662627,0.7944604890487796,6
subj05,ventral,5,0.08950666231987453,0.6946609287889529,6
subj06,ventral,0,0.1901324318839025,0.655271676032819,6
subj06,ventral,1,0.23069985793892925,0.5847871577919945,6
subj06,ventral,2,0.18129188728536091,0.5840331911986075,6
subj06,ventral,3,0.1518627106248433,0.5578240909323804,6
subj06,ventral,4,0.22195488550084808,0.7374574948845338,6
subj06,ventral,5,0.20117922805150928,0.6760030002361428,6
subj07,ventral,0,0.244996623431816,0.7626209014107093,6
subj07,ventral,1,0.23057889254087682,0.7454942856236798,6
subj07,ventral,2,0.2528658587066426,0.7536390597152491,6
subj07,ventral,3,0.2133042388437811,0.7755069248945388,6
subj07,ventral,4,0.22091988743076285,0.7194261811164174,6
subj07,ventral,5,0.2837307136855711,0.772726524265001,6
subj08,ventral,0,0.2091387164701486,0.6891949586365824,6
subj08,ventral,1,0.1196131903739756,0.6023801099956159,6
subj08,ventral,2,0.1169066465683618,0.6566394815532366,6
subj08,ventral,3,0.16568126734548286,0.6780715077158267,6
subj08,ventral,4,0.1302739338255831,0.6620016314142465,6
subj08,ventral,5,0.15649990755066895,0.7032884378644424,6
subj01,lateral,0,0.147740796836452,0.7197956797265068,6
subj01,lateral,1,0.1388886506381924,0.7188450615464419,6
subj01,lateral,2,0.14122143673568976,0.7524598372802835,6
subj01,lateral,3,0.18282881267723888,0.6934039670855824,6
subj01,lateral,4,0.16647873689005366,0.7688854330692434,6
subj01,lateral,5,0.13638886774829853,0.7931570366810314,6
subj02,lateral,0,0.17107886394523344,0.7698072306837871,6
subj02,lateral,1,0.112992910857482,0.7301886694742702,6
subj02,lateral,2,0.14548852545943594,0.7577185135730518,6
subj02,lateral,3,0.19652956031736277,0.7525692660490448,6
subj02,lateral,4,0.12982852032347536,0.6710951735095827,6
subj02,lateral,5,0.1595137211760947,0.6947901519349616,6
subj03,lateral,0,0.23591199678359082,0.7054505884597655,6
subj03,lateral,1,0.1838786618925421,0.7228147057441048,6
subj03,lateral,2,0.22665710219201562,0.7312582292667837,6
subj03,lateral,3,0.22750779633030926,0.6883497653732515,6
subj03,lateral,4,0.21764630155656978,0.712239298391218,6
subj03,lateral,5,0.13224882976139082,0.6720737792148559,6
subj04,lateral,0,0.14531420461930886,0.6152556634144699,6
subj04,lateral,1,0.15257597873847045,0.7218687253974134,6
subj04,lateral,2,0.1670251569889872,0.759935654725224,6
subj04,lateral,3,0.1372233663014953,0.6688233094639349,6
subj04,lateral,4,0.12455634819143885,0.4067570437114969,6
subj04,lateral,5,0.16138012901141635,0.6856676892986411,6
subj05,lateral,0,0.14512207544658395,0.619846355402238,6
subj05,lateral,1,0.16524668000809523,0.6943000054114411,6
subj05,lateral,2,0.1295492304937011,0.5812298331716983,6
subj05,lateral,3,0.059631176946618486,0.570862149446256,6
subj05,lateral,4,0.1388053977962001,0.6577578242671462,6
subj05,lateral,5,0.16851257783397056,0.5831552130011403,6
subj06,lateral,0,0.15056202899785542,0.7563497153726955,6
subj06,lateral,1,0.04762800268359725,0.6490861664829244,6
subj06,lateral,2,0.11325935814109463,0.6579230852470128,6
subj06,lateral,3,0.10731228033047839,0.6124091688026698,6
subj06,lateral,4,0.11035552421549041,0.7766825010427656,6
subj06,lateral,5,0.06844630561253646,0.6579572753435174,6
subj07,lateral,0,0.18257739279929736,0.7388020575782125,6
subj07,lateral,1,0.11081160424813184,0.7346962691874411,6
subj07,lateral,2,0.1674258788610685,0.7756299426149269,6
subj07,lateral,3,0.14963335178455595,0.7724661487480702,6
subj07,lateral,4,0.11773844509081588,0.7592280710715043,6
subj07,lateral,5,0.17701798106796732,0.8012447153980937,6
subj08,lateral,0,0.1979959525745181,0.7937611920678613,6
subj08,lateral,1,0.08717647971552028,0.7459280503622554,6
subj08,lateral,2,0.12921199724509216,0.7007410932843698,6
subj08,lateral,3,0.149545288761861,0.6832989149996058,6
