subject,roi,fold,R_m0_recon,R_m10,R_SUPPORT_FULL,m0_le_full,m10_le_full
subj01,ventral,0,0.10882218937550564,0.14785051681848993,0.1871115349707837,1,1
subj01,ventral,1,0.042403378362650415,0.09592114441299868,0.11217870397788775,1,1
subj01,ventral,2,0.09505444735055624,0.13879060384731973,0.18384186868663172,1,1
subj01,ventral,3,0.08144673040492087,0.1194953992019349,0.15058845242884591,1,1
subj01,ventral,4,0.085199565668667,0.13771184417734883,0.1967896941954712,1,1
subj01,ventral,5,0.0472750728655718,0.11189919347394553,0.16105281074570443,1,1
subj02,ventral,0,0.18709786832809833,0.2785378087007651,0.3024324607553354,1,1
subj02,ventral,1,0.07285350826956442,0.10421754663302377,0.13381459112030847,1,1
subj02,ventral,2,0.10793941394070951,0.17609907559435112,0.24396797745783605,1,1
subj02,ventral,3,0.09842362724020332,0.24187157457459785,0.26887311036892936,1,1
subj02,ventral,4,0.07471680356922494,0.2302171667464747,0.27340890915510946,1,1
subj02,ventral,5,0.12135082484129478,0.1673904601880043,0.21646443154459657,1,1
subj03,ventral,0,0.05563350908085189,0.1437384269098921,0.165520523904067,1,1
subj03,ventral,1,0.03328079445697759,0.11891714226140032,0.1531392672209963,1,1
subj03,ventral,2,0.045057596078440426,0.1415711263723679,0.18253038850825073,1,1
subj03,ventral,3,0.04488653835174137,0.1145125243917599,0.14755365725003144,1,1
subj03,ventral,4,0.0564731213194927,0.1469075217459468,0.18062870703529393,1,1
subj03,ventral,5,0.023853698392255485,0.13195918278183744,0.16081483948840536,1,1
subj04,ventral,0,0.03169004135716613,0.12127320609512512,0.14321496701454373,1,1
subj04,ventral,1,0.07487473703282638,0.13299428004246241,0.1812323940882541,1,1
subj04,ventral,2,0.08993644627769014,0.21278427083991003,0.24737125315758848,1,1
subj04,ventral,3,0.056623822318314185,0.1252422192031905,0.16535492858661321,1,1
subj04,ventral,4,0.0910385928948324,0.23603334116385294,0.2679676372837687,1,1
subj04,ventral,5,0.09262952019969077,0.16238268260095653,0.187482317389786,1,1
subj05,ventral,0,0.034305190882839384,0.10310691103413433,0.13667531820761736,1,1
subj05,ventral,1,0.04989708230557105,0.15152334710625942,0.19218440305486814,1,1
subj05,ventral,2,0.08945668530965731,0.12789732799697884,0.15676010545464614,1,1
subj05,ventral,3,0.05494836761930069,0.09528352696561453,0.14604970536404072,1,1
subj05,ventral,4,0.09064902591766223,0.17221528574219158,0.20262680218794907,1,1
subj05,ventral,5,0.0571264037565907,0.09507834934444233,0.11709252758788827,1,1
subj06,ventral,0,0.051041215255136586,0.19296046847005932,0.26498988011640423,1,1
subj06,ventral,1,0.08332968126213525,0.18294144910927929,0.3021975116056382,1,1
subj06,ventral,2,0.0879529212148983,0.21028996574553727,0.3226420418828367,1,1
subj06,ventral,3,0.022920926806815012,0.14950785055698226,0.22537857528379998,1,1
subj06,ventral,4,0.05746171939490791,0.2236196041405063,0.28643076437365467,1,1
subj06,ventral,5,0.04037001597669514,0.1907435798882483,0.26955105505635113,1,1
subj07,ventral,0,0.04909128624831283,0.24067414501647955,0.3140758564485028,1,1
subj07,ventral,1,0.04960039466467116,0.24176291933966948,0.2995316926928558,1,1
subj07,ventral,2,0.029029886594618904,0.25325480797132216,0.3228386427672604,1,1
subj07,ventral,3,0.04246593698577296,0.21132729574234116,0.2632377225422333,1,1
subj07,ventral,4,0.08212049288907314,0.2112936641115976,0.3272830262109522,1,1
subj07,ventral,5,0.08552139280510399,0.2892169968728979,0.3483974565277147,1,1
subj08,ventral,0,0.07772693248099158,0.18294727643395742,0.2265848724796573,1,1
