subject,roi,fold,orth_err_fro,sym_err,idem_err
subj01,ventral,0,5.2186464460242794e-15,0.0,5.1078065472228636e-15
subj01,ventral,1,5.2186464460242794e-15,0.0,5.1078065472228636e-15
subj01,ventral,2,5.2186464460242794e-15,0.0,5.1078065472228636e-15
subj01,ventral,3,5.2186464460242794e-15,0.0,5.1078065472228636e-15
subj01,ventral,4,5.2186464460242794e-15,0.0,5.1078065472228636e-15
subj01,ventral,5,5.2186464460242794e-15,0.0,5.1078065472228636e-15
subj02,ventral,0,6.280511890378014e-15,0.0,6.095604739634007e-15
subj02,ventral,1,6.280511890378014e-15,0.0,6.095604739634007e-15
subj02,ventral,2,6.280511890378014e-15,0.0,6.095604739634007e-15
subj02,ventral,3,6.280511890378014e-15,0.0,6.095604739634007e-15
subj02,ventral,4,6.280511890378014e-15,0.0,6.095604739634007e-15
subj02,ventral,5,6.280511890378014e-15,0.0,6.095604739634007e-15
subj03,ventral,0,8.045085465304027e-15,0.0,8.014529527659318e-15
subj03,ventral,1,8.045085465304027e-15,0.0,8.014529527659318e-15
subj03,ventral,2,8.045085465304027e-15,0.0,8.014529527659318e-15
subj03,ventral,3,8.045085465304027e-15,0.0,8.014529527659318e-15
subj03,ventral,4,8.045085465304027e-15,0.0,8.014529527659318e-15
subj03,ventral,5,8.045085465304027e-15,0.0,8.014529527659318e-15
subj04,ventral,0,5.25023642830985e-15,0.0,5.121039246554943e-15
subj04,ventral,1,5.25023642830985e-15,0.0,5.121039246554943e-15
subj04,ventral,2,5.25023642830985e-15,0.0,5.121039246554943e-15
subj04,ventral,3,5.25023642830985e-15,0.0,5.121039246554943e-15
subj04,ventral,4,5.25023642830985e-15,0.0,5.121039246554943e-15
subj04,ventral,5,5.25023642830985e-15,0.0,5.121039246554943e-15
subj05,ventral,0,6.803927432182672e-15,0.0,6.768781928141889e-15
subj05,ventral,1,6.803927432182672e-15,0.0,6.768781928141889e-15
subj05,ventral,2,6.803927432182672e-15,0.0,6.768781928141889e-15
subj05,ventral,3,6.803927432182672e-15,0.0,6.768781928141889e-15
subj05,ventral,4,6.803927432182672e-15,0.0,6.768781928141889e-15
subj05,ventral,5,6.803927432182672e-15,0.0,6.768781928141889e-15
subj06,ventral,0,1.1811468651587372e-14,0.0,1.1609066089061661e-14
subj06,ventral,1,1.1811468651587372e-14,0.0,1.1609066089061661e-14
subj06,ventral,2,1.1811468651587372e-14,0.0,1.1609066089061661e-14
subj06,ventral,3,1.1811468651587372e-14,0.0,1.1609066089061661e-14
subj06,ventral,4,1.1811468651587372e-14,0.0,1.1609066089061661e-14
subj06,ventral,5,1.1811468651587372e-14,0.0,1.1609066089061661e-14
subj07,ventral,0,1.1150999208817318e-14,0.0,1.1305616400896247e-14
subj07,ventral,1,1.1150999208817318e-14,0.0,1.1305616400896247e-14
subj07,ventral,2,1.1150999208817318e-14,0.0,1.1305616400896247e-14
subj07,ventral,3,1.1150999208817318e-14,0.0,1.1305616400896247e-14
subj07,ventral,4,1.1150999208817318e-14,0.0,1.1305616400896247e-14
subj07,ventral,5,1.1150999208817318e-14,0.0,1.1305616400896247e-14
subj08,ventral,0,7.507870887905056e-15,0.0,7.527043635805293e-15
subj08,ventral,1,7.507870887905056e-15,0.0,7.527043635805293e-15
subj08,ventral,2,7.507870887905056e-15,0.0,7.527043635805293e-15
subj08,ventral,3,7.507870887905056e-15,0.0,7.527043635805293e-15
subj08,ventral,4,7.507870887905056e-15,0.0,7.527043635805293e-15
subj08,ventral,5,7.507870887905056e-15,0.0,7.527043635805293e-15
subj01,lateral,0,4.701421626926923e-15,0.0,4.494961575921425e-15
subj01,lateral,1,4.701421626926923e-15,0.0,4.494961575921425e-15
subj01,lateral,2,4.701421626926923e-15,0.0,4.494961575921425e-15
subj01,lateral,3,4.701421626926923e-15,0.0,4.494961575921425e-15
subj01,lateral,4,4.701421626926923e-15,0.0,4.494961575921425e-15
