subject,roi,M,d,R_BASE,R_AUG,DELTA_OUT,R_NULL_mean,E_AUG,R_COND,OUT_BASIS_RECOVERY,TOTAL_RECOVERY,TRAIN_retention
subj01,ventral,2,1,0.10407630504029326,0.40103848599111774,0.2969621809508245,0.11012662645222342,0.2909118595388943,0.4751566838987387,0.8002637645902195,0.5699064402250548,0.6783881617718291
subj01,ventral,2,2,0.10407630504029326,0.49857373514026254,0.3944974300999693,0.11633164128593598,0.38224209385432656,0.6220874869931649,0.7615616107218715,0.7412891424728786,1.0
subj01,ventral,4,1,0.1159956887833961,0.45545573928395466,0.33946005050055855,0.12206310931768756,0.3333926299662671,0.4870760676418416,0.914788465897441,0.6655249576286416,0.6165868942138996
subj01,ventral,4,2,0.1159956887833961,0.578269998981508,0.4622743101981119,0.1281669569975415,0.4501030419839665,0.6340068707362677,0.8924021841678493,0.8813263205733043,0.8622943426053636
subj01,ventral,4,4,0.1159956887833961,0.5951095559772829,0.47911386719388677,0.14045742916228915,0.45465212681499373,0.6459112038246214,0.9041325524439751,0.9109157132059005,1.0
subj01,ventral,6,1,0.1227631326569873,0.47917429903670133,0.35641116637971404,0.12885199628506705,0.3503223027516343,0.4938435115154329,0.9604689083161485,0.7072016939810175,0.5957383656966303
subj01,ventral,6,2,0.1227631326569873,0.6139847896857927,0.49122165702880544,0.13499936246355132,0.4789854272222414,0.6407743146098589,0.9482838868013017,0.9440820667728765,0.8170784536506002
subj01,ventral,6,4,0.1227631326569873,0.6298121131778646,0.5070489805208773,0.14719720335878686,0.48261490981907773,0.6526786476982128,0.9568487166891702,0.9718928274269443,0.931362515638651
subj01,ventral,6,6,0.1227631326569873,0.645451193288947,0.5226880606319597,0.1594281580446876,0.4860230352442594,0.6677030976249506,0.9591663196563096,0.9993728188504449,1.0
subj01,ventral,8,1,0.1240357751062718,0.4894993711156241,0.3654635960093523,0.13016909029639642,0.3593302808192277,0.4951161539647173,0.984863702935811,0.7253442503309118,0.5778972108783377
subj01,ventral,8,2,0.1240357751062718,0.6315503142165041,0.5075145391102323,0.13623455421055225,0.49531576000595184,0.6420469570591433,0.9797366481490468,0.9749470831309154,0.7871245694120376
subj01,ventral,8,4,0.1240357751062718,0.6456485227387745,0.5216127476325026,0.14831944517399417,0.4973290775647803,0.6539512901474972,0.9843319035335721,0.9997195535401034,0.8844835373387813
subj01,ventral,8,6,0.1240357751062718,0.6633937198095249,0.539357944703253,0.1604253135636123,0.5029684062459125,0.668975740074235,0.9897566326135793,1.0,0.9520039547618352
subj01,ventral,8,8,0.1240357751062718,0.6759048168800499,0.551869041773778,0.1728940596090771,0.5030107572709728,0.6909828271216013,0.9734049058232978,1.0,0.9926357255871391
subj01,ventral,10,1,0.12527811698867292,0.4963584958471185,0.3710803788584456,0.13110226375826534,0.36525623208885316,0.4963584958471185,1.0,0.7373966656555585,0.5674105902926374
subj01,ventral,10,2,0.12527811698867292,0.6432892989415445,0.5180111819528717,0.1366153990160729,0.5066738999254716,0.6432892989415445,1.0,0.9955740763602754,0.7693920245194987
subj01,ventral,10,4,0.12527811698867292,0.6551936320298983,0.5299155150412254,0.1501773592823269,0.5050162727475714,0.6551936320298983,1.0,1.0,0.8560880867092228
subj01,ventral,10,6,0.12527811698867292,0.6702180819566362,0.5449399649679634,0.16292250635769803,0.5072955755989382,0.6702180819566362,1.0,1.0,0.9187499450255942
subj01,ventral,10,8,0.12527811698867292,0.6922251690040025,0.5669470520153297,0.17425238470304674,0.5179727843009558,0.6922251690040025,1.0,1.0,0.9604579353275167
subj01,ventral,10,10,0.12527811698867292,0.6995548790564476,0.5742767620677747,0.18639138213431886,0.5131634969221288,0.6995548790564476,1.0,1.0,0.9884569603660066
subj02,ventral,2,1,0.176361635463313,0.430832652083025,0.25447101661971205,0.18142901774640027,0.24940363433662474,0.5101033228380444,0.7624789657576916,0.557137405167908,0.7496971802460476
subj02,ventral,2,2,0.176361635463313,0.5149438232607119,0.3385821877973989,0.18657399983267497,0.3283698234280369,0.6150071886081224,0.7718810446611851,0.703380435482256,1.0000000000000002
subj02,ventral,4,1,0.19060124754363383,0.48189797122355155,0.2912967236799177,0.19573611417307493,0.2861618570504766,0.5243429349183653,0.872820911200237,0.6459240301847403,0.6767315079142581
subj02,ventral,4,2,0.19060124754363383,0.5827431731550916,0.3921419256114578,0.20085699314632555,0.38188618000876606,0.6292468006884433,0.8939835883438227,0.8212623082830854,0.8680674424796965
subj02,ventral,4,4,0.19060124754363383,0.6089445487567513,0.41834330121311747,0.21115937811820065,0.3977851706385507,0.6665873088652563,0.8788982182619924,0.8668183089039357,1.0000000000000002
subj02,ventral,6,1,0.1984407886470367,0.5110342533294755,0.31259346468243876,0.20358476888530821,0.3074494844441673,0.5321824760217682,0.9366329604831565,0.696582915652672,0.6561683316883274
subj02,ventral,6,2,0.1984407886470367,0.614825519248216,0.4163847306011793,0.20876592537709737,0.4060595938711187,0.6370863417918461,0.9492510014428868,0.8770434779726697,0.8224498041226064
subj02,ventral,6,4,0.1984407886470367,0.6463651139974617,0.4479243253504249,0.2189787793668441,0.4273863346306176,0.6744268499686591,0.9410450467955275,0.931880972760042,0.9346007390080827
subj02,ventral,6,6,0.1984407886470367,0.6609093111317959,0.4624685224847591,0.22929033155554465,0.43161897957625117,0.705382293820521,0.9122719638560554,0.9571687845052971,1.0000000000000002
subj02,ventral,8,1,0.19924628164281852,0.524656135233024,0.32540985359020547,0.20439590440443187,0.3202602308285921,0.53298796901755,0.975035082221626,0.7202671095625481,0.6397738685910951
subj02,ventral,8,2,0.19924628164281852,0.6291948257878199,0.4299485441450014,0.20949649457545685,0.4196983312123631,0.637891834787628,0.9801730373476807,0.9020272096511665,0.7924071754860007
subj02,ventral,8,4,0.19924628164281852,0.6631993347780557,0.46395305313523716,0.2200069544974289,0.4431923802806268,0.675232342964441,0.9747198307593831,0.9611504196773135,0.8935892739055481
subj02,ventral,8,6,0.19924628164281852,0.6854237771903713,0.48617749554755274,0.2301853250364179,0.4552384521539534,0.7061877868163028,0.9590406202411348,0.9997917768230566,0.9526820535448741
subj02,ventral,8,8,0.19924628164281852,0.6927490290258019,0.4935027473829834,0.24043532834426107,0.45231370068154086,0.7117788357568401,0.9628710282336433,1.0,0.9931513342864794
subj02,ventral,10,1,0.1997222720728695,0.5334639594476008,0.3337416873747313,0.20493075688873807,0.32853320255886276,0.5334639594476008,1.0,0.7355811622095467,0.6304718942370666
subj02,ventral,10,2,0.1997222720728695,0.6383678252176789,0.43864555314480935,0.21071884975104238,0.4276489754666365,0.6383678252176789,1.0,0.9179761878298254,0.7747495906510178
subj02,ventral,10,4,0.1997222720728695,0.6757083333944919,0.47598606132162236,0.21966213198484486,0.456046201409647,0.6757083333944919,1.0,0.982899657480709,0.868089632123255
