subject,roi,M,d,R_BASE,R_COND,R_AUG
subj01,ventral,2,1,0.10407630504029326,0.4751566838987387,0.40103848599111774
subj01,ventral,2,2,0.10407630504029326,0.6220874869931649,0.49857373514026254
subj01,ventral,4,1,0.1159956887833961,0.4870760676418416,0.45545573928395466
subj01,ventral,4,2,0.1159956887833961,0.6340068707362677,0.578269998981508
subj01,ventral,4,4,0.1159956887833961,0.6459112038246214,0.5951095559772829
subj01,ventral,6,1,0.1227631326569873,0.4938435115154329,0.47917429903670133
subj01,ventral,6,2,0.1227631326569873,0.6407743146098589,0.6139847896857927
subj01,ventral,6,4,0.1227631326569873,0.6526786476982128,0.6298121131778646
subj01,ventral,6,6,0.1227631326569873,0.6677030976249506,0.645451193288947
subj01,ventral,8,1,0.1240357751062718,0.4951161539647173,0.4894993711156241
subj01,ventral,8,2,0.1240357751062718,0.6420469570591433,0.6315503142165041
subj01,ventral,8,4,0.1240357751062718,0.6539512901474972,0.6456485227387745
subj01,ventral,8,6,0.1240357751062718,0.668975740074235,0.6633937198095249
subj01,ventral,8,8,0.1240357751062718,0.6909828271216013,0.6759048168800499
subj01,ventral,10,1,0.12527811698867292,0.4963584958471185,0.4963584958471185
subj01,ventral,10,2,0.12527811698867292,0.6432892989415445,0.6432892989415445
subj01,ventral,10,4,0.12527811698867292,0.6551936320298983,0.6551936320298983
subj01,ventral,10,6,0.12527811698867292,0.6702180819566362,0.6702180819566362
subj01,ventral,10,8,0.12527811698867292,0.6922251690040025,0.6922251690040025
subj01,ventral,10,10,0.12527811698867292,0.6995548790564476,0.6995548790564476
subj02,ventral,2,1,0.176361635463313,0.5101033228380444,0.430832652083025
subj02,ventral,2,2,0.176361635463313,0.6150071886081224,0.5149438232607119
subj02,ventral,4,1,0.19060124754363383,0.5243429349183653,0.48189797122355155
subj02,ventral,4,2,0.19060124754363383,0.6292468006884433,0.5827431731550916
subj02,ventral,4,4,0.19060124754363383,0.6665873088652563,0.6089445487567513
