subject,roi,fold,singular_values,cum_energy_frac,effective_rank,stable_rank
subj01,ventral,0,19.35285;12.59732;6.64478;5.56984;4.99886;4.53784;4.00086;3.58169;3.38192;3.18276,0.5317;0.7570;0.8197;0.8637;0.8992;0.9284;0.9512;0.9694;0.9856;1.0000,2.917327584913214,1.880702244146603
subj01,ventral,1,19.16545;12.25623;6.67850;5.78531;5.12013;4.69024;4.49903;4.18754;3.77022;3.15563,0.5204;0.7333;0.7965;0.8439;0.8811;0.9122;0.9409;0.9657;0.9859;1.0000,3.05991639854858,1.9214197932040837
subj01,ventral,2,18.81673;12.25625;6.39680;5.49663;5.09136;4.48616;4.13137;3.89837;3.50864;3.10018,0.5240;0.7464;0.8069;0.8516;0.8900;0.9198;0.9451;0.9676;0.9858;1.0000,2.996223417879208,1.9082468621845163
subj01,ventral,3,19.20483;11.80883;6.09852;5.77410;4.93576;4.61667;4.50029;3.92411;3.35229;3.20897,0.5411;0.7456;0.8002;0.8491;0.8848;0.9161;0.9458;0.9684;0.9849;1.0000,2.906007937859671,1.848213559383705
subj01,ventral,4,19.16243;12.45559;6.59936;5.46114;5.17870;4.90054;4.22285;3.82568;3.41959;3.15615,0.5241;0.7455;0.8076;0.8502;0.8885;0.9228;0.9482;0.9691;0.9858;1.0000,2.9980508032629993,1.908159166504432
subj01,ventral,5,19.99750;12.31307;6.04368;5.38726;4.64942;4.62064;4.05868;3.93370;3.69247;3.24698,0.5584;0.7701;0.8211;0.8616;0.8918;0.9216;0.9446;0.9662;0.9853;1.0000,2.7453768298631673,1.7908276747419898
subj02,ventral,0,19.44934;12.06330;7.30372;6.67921;5.59679;4.80714;4.00387;3.79668;3.54170;3.38287,0.5177;0.7169;0.7899;0.8510;0.8939;0.9255;0.9474;0.9672;0.9843;1.0000,3.1148659600180384,1.9314480266580776
subj02,ventral,1,20.43791;10.64290;6.34236;6.00614;5.34201;4.45840;4.29286;3.87922;3.73952;3.31900,0.5849;0.7435;0.7998;0.8503;0.8903;0.9181;0.9439;0.9650;0.9846;1.0000,2.6519987252156807,1.7097341009607308
subj02,ventral,2,20.53234;11.33646;7.86356;6.03194;5.73858;4.43931;4.17831;3.87830;3.68475;3.09985,0.5572;0.7270;0.8087;0.8568;0.9004;0.9264;0.9495;0.9694;0.9873;1.0000,2.8387739423449627,1.794777558403332
subj02,ventral,3,21.45734;11.38071;7.67390;6.34589;5.13640;4.42948;4.19319;3.95434;3.31755;3.14331,0.5834;0.7475;0.8221;0.8732;0.9066;0.9314;0.9537;0.9735;0.9875;1.0000,2.642507512731645,1.7141102075289156
subj02,ventral,4,20.16873;12.38771;7.39009;6.63197;5.41406;5.25805;4.34519;3.72704;3.42014;3.01629,0.5287;0.7282;0.7992;0.8563;0.8944;0.9304;0.9549;0.9730;0.9882;1.0000,3.0149182063516737,1.8913415243968963
subj02,ventral,5,20.38973;12.97403;7.21513;6.39037;5.37148;4.47029;4.07551;3.60722;3.42481;3.01811,0.5356;0.7524;0.8195;0.8721;0.9093;0.9350;0.9564;0.9732;0.9883;1.0000,2.9046920509437935,1.8671672733982858
subj03,ventral,0,22.23165;11.61044;7.29513;5.98600;5.73565;5.41847;4.92560;4.60011;4.38557;3.74279,0.5754;0.7323;0.7942;0.8360;0.8742;0.9084;0.9367;0.9613;0.9837;1.0000,2.7318744466202483,1.7380431723042276
subj03,ventral,1,21.81396;11.80201;7.32679;6.21163;5.68380;5.51108;5.26263;4.75584;4.43896;3.64517,0.5576;0.7208;0.7837;0.8289;0.8668;0.9024;0.9348;0.9613;0.9844;1.0000,2.8670410150371035,1.7933952732755838
subj03,ventral,2,24.07688;11.71697;7.54440;5.83611;5.42153;5.14202;4.85431;4.55180;3.90701;3.71860,0.6186;0.7651;0.8258;0.8621;0.8935;0.9217;0.9468;0.9690;0.9852;1.0000,2.424425350813421,1.616658881379989
subj03,ventral,3,21.65458;12.25708;6.98943;6.67199;5.72208;5.35042;4.69334;4.44474;4.32809;3.59607,0.5534;0.7307;0.7884;0.8409;0.8795;0.9133;0.9393;0.9626;0.9847;1.0000,2.870671328295879,1.8070015695164627
subj03,ventral,4,21.84961;12.23233;7.88440;6.72848;5.77934;5.18367;4.87365;4.49882;4.30969;3.97135,0.5468;0.7182;0.7894;0.8412;0.8795;0.9103;0.9375;0.9607;0.9819;1.0000,2.9360454759175356,1.8288016124793693
subj03,ventral,5,22.35063;12.27673;7.37746;6.28502;5.74098;5.24620;4.96011;4.56218;4.03058;3.53180,0.5684;0.7399;0.8019;0.8468;0.8843;0.9156;0.9436;0.9673;0.9858;1.0000,2.7573660522667205,1.7592091006381294
subj04,ventral,0,21.87524;13.68022;8.26030;6.60453;5.91442;5.19983;4.64932;4.42281;4.26728;3.49393,0.5252;0.7306;0.8055;0.8534;0.8917;0.9214;0.9451;0.9666;0.9866;1.0000,3.031440344904889,1.9040548118429386
subj04,ventral,1,23.34237;13.37250;8.38893;6.30822;5.41052;5.00227;4.81156;4.48786;4.35956;3.60548,0.5655;0.7511;0.8242;0.8655;0.8959;0.9218;0.9459;0.9668;0.9865;1.0000,2.7434419124781937,1.7682345105334856
subj04,ventral,2,23.13189;13.57287;8.41613;7.37354;5.88341;5.32174;4.74645;4.35140;3.60977;3.40775,0.5496;0.7388;0.8116;0.8675;0.9030;0.9321;0.9552;0.9747;0.9881;1.0000,2.860007669513041,1.8194320826564838
subj04,ventral,3,22.07195;14.03668;7.73165;7.05628;5.77886;5.61986;4.83079;4.33692;3.59080;3.51379,0.5260;0.7388;0.8033;0.8571;0.8931;0.9272;0.9524;0.9727;0.9867;1.0000,3.0038798704946736,1.9010430434208525
subj04,ventral,4,22.82124;13.69557;8.29307;6.77941;5.12950;4.86205;4.65679;4.58981;4.11346;3.42469,0.5514;0.7500;0.8228;0.8715;0.8994;0.9244;0.9474;0.9697;0.9876;1.0000,2.824123287547394,1.8134580054522604
subj04,ventral,5,23.12613;14.56683;8.09032;7.02196;6.31469;5.46003;4.79779;4.28418;3.71250;3.61786,0.5350;0.7472;0.8127;0.8620;0.9019;0.9317;0.9548;0.9731;0.9869;1.0000,2.926709658534058,1.8692410926573768
subj05,ventral,0,26.23048;11.94779;6.79160;6.53498;5.77873;5.54863;4.78307;4.05974;3.89349;3.03734,0.6568;0.7931;0.8371;0.8779;0.9098;0.9391;0.9610;0.9767;0.9912;1.0000,2.1907642007118535,1.5225097807277623
subj05,ventral,1,26.06660;11.29403;6.55162;6.36496;5.69330;5.13293;4.64582;4.02981;3.78387;3.03617,0.6724;0.7986;0.8410;0.8811;0.9132;0.9393;0.9606;0.9767;0.9909;1.0000,2.1092134875124895,1.4873100224617275
subj05,ventral,2,26.85690;11.62913;8.01885;6.24059;5.43534;5.26657;5.09112;4.40723;4.01751;3.59634,0.6608;0.7847;0.8437;0.8793;0.9064;0.9318;0.9556;0.9734;0.9882;1.0000,2.1766208625639347,1.5132181103413045
subj05,ventral,3,27.13443;12.10294;7.11402;6.50418;5.58393;5.25208;4.90235;4.46488;3.67054;3.32969,0.6675;0.8004;0.8462;0.8846;0.9129;0.9379;0.9597;0.9777;0.9899;1.0000,2.1308079310439694,1.498028511786478
subj05,ventral,4,28.57274;11.66780;6.74472;6.32854;5.97718;5.58218;5.22449;4.42948;4.01246;3.56477,0.6915;0.8068;0.8453;0.8792;0.9095;0.9359;0.9590;0.9756;0.9892;1.0000,2.012994038251298,1.4462137160760002
subj05,ventral,5,26.64136;11.72177;7.10829;6.20005;5.45060;5.03117;4.87084;4.43731;3.92672;3.05724,0.6700;0.7997;0.8474;0.8837;0.9117;0.9356;0.9580;0.9766;0.9912;1.0000,2.1194487544299134,1.4925182134435309
subj06,ventral,0,21.20288;12.38047;7.48215;5.94645;5.79164;5.07214;4.62271;4.37634;3.85391;3.74700,0.5463;0.7326;0.8006;0.8436;0.8844;0.9156;0.9416;0.9649;0.9829;1.0000,2.905885926845737,1.8303700284922721
subj06,ventral,1,20.92568;13.03372;6.99812;6.38000;5.56888;4.95044;4.67479;4.22571;3.85018;3.76792,0.5329;0.7396;0.7992;0.8488;0.8865;0.9164;0.9429;0.9647;0.9827;1.0000,2.9686364215698915,1.8765031757810127
subj06,ventral,2,20.58258;12.34128;7.50479;5.94493;5.28503;5.05843;4.79285;4.33349;3.99059;3.97499,0.5331;0.7248;0.7957;0.8402;0.8753;0.9075;0.9364;0.9601;0.9801;1.0000,3.0079693433477943,1.8756592297144876
subj06,ventral,3,20.14086;12.60868;6.98590;6.18171;5.18772;4.88614;4.45219;4.13637;4.08098;3.75630,0.5267;0.7332;0.7965;0.8462;0.8811;0.9121;0.9378;0.9601;0.9817;1.0000,3.0240615706114187,1.8984934688107997
subj06,ventral,4,21.16218;12.11550;7.74875;6.34138;5.77900;5.29313;4.92639;4.46350;4.06299;3.79993,0.5386;0.7152;0.7874;0.8358;0.8759;0.9096;0.9388;0.9628;0.9826;1.0000,2.9965260189943983,1.8565496352377564
subj06,ventral,5,20.00328;12.16061;7.20764;6.35303;5.65685;4.93602;4.71042;4.30079;3.79558;3.68332,0.5228;0.7160;0.7839;0.8366;0.8785;0.9103;0.9393;0.9635;0.9823;1.0000,3.096844094782097,1.9127346843057829
subj07,ventral,0,23.39429;9.43310;6.08923;4.49370;4.16761;3.81586;3.54459;3.37608;3.03175;2.62536,0.7149;0.8312;0.8796;0.9060;0.9287;0.9477;0.9641;0.9790;0.9910;1.0000,1.889412845106858,1.3987465988896537
subj07,ventral,1,25.39450;8.77307;5.87650;4.92971;4.44619;3.65659;3.56666;3.35627;2.99599;2.64718,0.7553;0.8455;0.8859;0.9144;0.9375;0.9532;0.9681;0.9813;0.9918;1.0000,1.7169516849710382,1.3239522402454103
subj07,ventral,2,23.02309;9.40368;6.03888;4.80020;4.32191;4.06972;3.75240;3.22309;2.98379;2.89521,0.7021;0.8192;0.8675;0.8980;0.9228;0.9447;0.9633;0.9771;0.9889;1.0000,1.9539613943897234,1.4243551470106228
subj07,ventral,3,23.03948;9.51129;6.32027;4.88143;4.31321;4.02623;3.51677;3.21546;3.15492;2.72252,0.6985;0.8175;0.8701;0.9015;0.9259;0.9473;0.9635;0.9771;0.9902;1.0000,1.9701132144001468,1.4316468346376017
subj07,ventral,4,22.30620;9.68639;5.44492;4.57230;4.27549;3.85906;3.65585;3.37545;3.32265;2.91756,0.6916;0.8220;0.8632;0.8923;0.9177;0.9384;0.9570;0.9728;0.9882;1.0000,2.000297687789882,1.4458951268429474
subj07,ventral,5,21.56881;9.55267;5.50814;4.53953;4.08408;3.96737;3.62338;3.53773;3.32225;2.50879,0.6813;0.8150;0.8594;0.8896;0.9140;0.9371;0.9563;0.9746;0.9908;1.0000,2.0528559312404466,1.467733915370667
subj08,ventral,0,37.68993;27.90381;22.63617;18.30103;13.26090;10.24468;8.31710;7.84604;6.77011;6.19910,0.4010;0.6208;0.7655;0.8600;0.9097;0.9393;0.9588;0.9762;0.9892;1.0000,4.110000892603025,2.4936307406105813
subj08,ventral,1,38.33999;29.87833;25.19332;16.97335;12.00327;10.52617;10.07228;8.29423;7.61027;6.32752,0.3860;0.6204;0.7870;0.8627;0.9005;0.9296;0.9562;0.9743;0.9895;1.0000,4.148354394629043,2.590926714967512
subj08,ventral,2,40.09707;29.09217;22.92504;16.70721;14.16216;10.89789;9.16362;8.05011;7.78253;6.14337,0.4203;0.6416;0.7790;0.8519;0.9044;0.9354;0.9574;0.9743;0.9901;1.0000,3.9270500897853946,2.3792095262739403
subj08,ventral,3,39.74199;29.98979;24.56663;15.24736;12.17992;11.00418;9.90893;8.37873;7.33972;7.14391,0.4094;0.6426;0.7990;0.8593;0.8978;0.9292;0.9546;0.9728;0.9868;1.0000,3.938246998394175,2.4423774019282956
subj08,ventral,4,41.24439;31.36925;24.09349;17.41851;14.57042;10.80267;9.55072;8.38881;6.93536;6.49519,0.4099;0.6470;0.7869;0.8600;0.9112;0.9393;0.9613;0.9782;0.9898;1.0000,3.943467942339925,2.439539935643735
subj08,ventral,5,39.48320;28.80087;20.24250;16.86721;14.50936;10.93590;8.51067;7.87627;7.25647;7.03222,0.4272;0.6545;0.7668;0.8447;0.9024;0.9352;0.9550;0.9720;0.9864;1.0000,3.871391031498056,2.3409532974656204
subj01,lateral,0,18.97659;10.21850;4.79839;4.32515;3.99952;3.80471;3.38610;3.26954;2.84185;2.48155,0.6283;0.8105;0.8507;0.8833;0.9112;0.9365;0.9565;0.9752;0.9893;1.0000,2.3086493643757917,1.591514102070929
subj01,lateral,1,19.43980;10.53455;4.98042;4.67687;4.24926;3.52816;3.24919;3.17937;2.89526;2.68486,0.6274;0.8117;0.8528;0.8892;0.9191;0.9398;0.9573;0.9741;0.9880;1.0000,2.310191267888746,1.5938389312493804
subj01,lateral,2,19.21687;9.83711;5.31585;4.35022;4.08060;3.80206;3.63525;3.33125;3.09798;3.02719,0.6287;0.7934;0.8415;0.8737;0.9021;0.9267;0.9492;0.9681;0.9844;1.0000,2.3337942701552774,1.5906823644825299
subj01,lateral,3,18.16066;9.95028;5.12399;4.42109;3.94907;3.65811;3.43884;3.15450;2.81368;2.64917,0.6104;0.7937;0.8422;0.8784;0.9073;0.9321;0.9539;0.9724;0.9870;1.0000,2.424252602052276,1.638240115431726
subj01,lateral,4,18.08032;9.97960;5.03904;4.33651;4.09470;4.05697;3.28754;3.20983;2.92661;2.52043,0.6054;0.7899;0.8369;0.8717;0.9028;0.9333;0.9533;0.9724;0.9882;1.0000,2.456743606003735,1.6517125740468765
subj01,lateral,5,18.84578;10.38270;5.20228;4.41894;4.18964;4.16280;3.53224;3.27205;2.63959;2.59753,0.6109;0.7964;0.8429;0.8765;0.9067;0.9365;0.9580;0.9764;0.9884;1.0000,2.4165412180524655,1.6368083152825066
subj02,lateral,0,17.71223;10.67713;7.51912;5.44902;4.73850;4.01154;3.56232;3.42249;2.67525;2.38774,0.5319;0.7253;0.8211;0.8715;0.9095;0.9368;0.9583;0.9782;0.9903;1.0000,2.981938199073395,1.8798776191163875
subj02,lateral,1,17.69257;10.69909;5.89574;5.25384;4.68163;3.92505;3.49127;3.40192;3.13898;3.09800,0.5488;0.7495;0.8104;0.8588;0.8972;0.9242;0.9456;0.9659;0.9832;1.0000,2.8477468870357345,1.8221957090100966
subj02,lateral,2,17.91772;11.13154;7.57537;4.88765;4.69989;3.96884;3.61026;3.17569;3.05969;2.90107,0.5307;0.7355;0.8304;0.8698;0.9064;0.9324;0.9539;0.9706;0.9861;1.0000,2.9645712590356252,1.8843751947557887
subj02,lateral,3,18.07022;11.49400;7.55178;5.48694;4.70109;3.85714;3.43878;3.31754;3.03495;2.43401,0.5261;0.7389;0.8308;0.8793;0.9149;0.9388;0.9579;0.9756;0.9905;1.0000,2.9792740983672608,1.9009577922641914
subj02,lateral,4,17.79984;12.01939;7.33392;5.02741;4.38773;4.09504;3.65990;3.34474;2.86541;2.45234,0.5150;0.7499;0.8373;0.8784;0.9097;0.9369;0.9587;0.9769;0.9902;1.0000,3.007309494522183,1.9416765214758127
subj02,lateral,5,17.85973;11.61552;6.63305;5.70894;4.57733;3.96391;3.75116;3.53003;2.77557;2.16491,0.5263;0.7489;0.8215;0.8753;0.9099;0.9358;0.9590;0.9796;0.9923;1.0000,2.9607137115554605,1.90007615844624
subj03,lateral,0,17.84051;10.76525;5.66835;5.26688;4.31411;4.16654;3.83942;3.31171;3.23806;2.91899,0.5538;0.7554;0.8113;0.8596;0.8920;0.9222;0.9478;0.9669;0.9852;1.0000,2.8062952063534774,1.8057162518784922
subj03,lateral,1,18.95894;11.28565;5.52856;5.10854;4.87143;4.23534;4.09400;3.54094;3.17853;2.99213,0.5674;0.7684;0.8167;0.8579;0.8954;0.9237;0.9501;0.9699;0.9859;1.0000,2.7017077931842657,1.762438115025695
subj03,lateral,2,19.58221;11.35919;5.46663;4.94079;4.63840;4.27089;3.72534;3.41751;3.13802;2.96046,0.5893;0.7876;0.8335;0.8710;0.9041;0.9321;0.9534;0.9714;0.9865;1.0000,2.5434165655340735,1.696940836876804
