subject,roi,M,d,train_calibration_retention,heldout_R_AUG
subj01,ventral,2,1,0.6783881617718291,0.40103848599111774
subj01,ventral,2,2,1.0,0.49857373514026254
subj01,ventral,4,1,0.6165868942138996,0.45545573928395466
subj01,ventral,4,2,0.8622943426053636,0.578269998981508
subj01,ventral,4,4,1.0,0.5951095559772829
subj01,ventral,6,1,0.5957383656966303,0.47917429903670133
subj01,ventral,6,2,0.8170784536506002,0.6139847896857927
subj01,ventral,6,4,0.931362515638651,0.6298121131778646
subj01,ventral,6,6,1.0,0.645451193288947
subj01,ventral,8,1,0.5778972108783377,0.4894993711156241
subj01,ventral,8,2,0.7871245694120376,0.6315503142165041
subj01,ventral,8,4,0.8844835373387813,0.6456485227387745
subj01,ventral,8,6,0.9520039547618352,0.6633937198095249
subj01,ventral,8,8,0.9926357255871391,0.6759048168800499
subj01,ventral,10,1,0.5674105902926374,0.4963584958471185
subj01,ventral,10,2,0.7693920245194987,0.6432892989415445
subj01,ventral,10,4,0.8560880867092228,0.6551936320298983
subj01,ventral,10,6,0.9187499450255942,0.6702180819566362
subj01,ventral,10,8,0.9604579353275167,0.6922251690040025
subj01,ventral,10,10,0.9884569603660066,0.6995548790564476
subj02,ventral,2,1,0.7496971802460476,0.430832652083025
subj02,ventral,2,2,1.0000000000000002,0.5149438232607119
subj02,ventral,4,1,0.6767315079142581,0.48189797122355155
subj02,ventral,4,2,0.8680674424796965,0.5827431731550916
subj02,ventral,4,4,1.0000000000000002,0.6089445487567513
subj02,ventral,6,1,0.6561683316883274,0.5110342533294755
subj02,ventral,6,2,0.8224498041226064,0.614825519248216
subj02,ventral,6,4,0.9346007390080827,0.6463651139974617
subj02,ventral,6,6,1.0000000000000002,0.6609093111317959
subj02,ventral,8,1,0.6397738685910951,0.524656135233024
subj02,ventral,8,2,0.7924071754860007,0.6291948257878199
subj02,ventral,8,4,0.8935892739055481,0.6631993347780557
subj02,ventral,8,6,0.9526820535448741,0.6854237771903713
subj02,ventral,8,8,0.9931513342864794,0.6927490290258019
subj02,ventral,10,1,0.6304718942370666,0.5334639594476008
subj02,ventral,10,2,0.7747495906510178,0.6383678252176789
subj02,ventral,10,4,0.868089632123255,0.6757083333944919
subj02,ventral,10,6,0.9250649597898981,0.7066637772463538
subj02,ventral,10,8,0.9617297976563993,0.7122548261868911
subj02,ventral,10,10,0.989408424975383,0.717745672866128
subj03,ventral,2,1,0.748089333696425,0.45097000794861963
subj03,ventral,2,2,1.0,0.5033436140966456
subj03,ventral,4,1,0.6783526348004835,0.5088331064422235
subj03,ventral,4,2,0.8580731319367837,0.5770037085798934
subj03,ventral,4,4,1.0,0.5934675944390055
subj03,ventral,6,1,0.6551462755046885,0.5308462513236042
subj03,ventral,6,2,0.81116626869555,0.6078470808900601
subj03,ventral,6,4,0.9287935743375614,0.6260852431986772
subj03,ventral,6,6,1.0,0.636850422401264
subj03,ventral,8,1,0.6371285520557418,0.5425024927830526
subj03,ventral,8,2,0.7810818830380808,0.625506944562965
subj03,ventral,8,4,0.8831457611532193,0.6443977468095413
subj03,ventral,8,6,0.9487784986247276,0.6549378852500812
subj03,ventral,8,8,0.9935698278039791,0.6648963681183675
subj03,ventral,10,1,0.6261955504239822,0.5492910759966761
subj03,ventral,10,2,0.762850657157479,0.6366481441793611
subj03,ventral,10,4,0.8544309732622882,0.6570510390448524
subj03,ventral,10,6,0.9162703861459397,0.6674637481373673
subj03,ventral,10,8,0.9585689556407857,0.6745392829407836
subj03,ventral,10,10,0.9895858668295276,0.6852564505063402
subj04,ventral,2,1,0.7161036636163635,0.42777042821176964
subj04,ventral,2,2,1.0000000000000002,0.5167984301284955
subj04,ventral,4,1,0.6534600834533132,0.4899685073814923
subj04,ventral,4,2,0.8645501226934978,0.5896362448581393
subj04,ventral,4,4,1.0,0.6164054467418233
subj04,ventral,6,1,0.6347193330280053,0.5167452601034667
subj04,ventral,6,2,0.8199148378242462,0.621531635925306
subj04,ventral,6,4,0.9347870551044889,0.6509856756415863
subj04,ventral,6,6,1.0000000000000002,0.6646669834819968
subj04,ventral,8,1,0.6178860675177964,0.5303238526787164
subj04,ventral,8,2,0.7908035477301109,0.639279650558592
subj04,ventral,8,4,0.8925125028598666,0.6700506405982439
subj04,ventral,8,6,0.9517410102408403,0.6833282956312798
subj04,ventral,8,8,0.9923016682515308,0.6954771324269235
subj04,ventral,10,1,0.6083618841270346,0.5402194225662762
subj04,ventral,10,2,0.77430703593874,0.6525277371629747
subj04,ventral,10,4,0.8663411020245033,0.6841422624674917
subj04,ventral,10,6,0.9207895385897485,0.6988085559129967
subj04,ventral,10,8,0.9616931055984086,0.7089082016763357
subj04,ventral,10,10,0.9882433626708802,0.7205648967566601
subj05,ventral,2,1,0.8063846801743351,0.5502124724785785
subj05,ventral,2,2,0.9999999999999999,0.5927201238592245
subj05,ventral,4,1,0.7523485958125372,0.6015377672182863
subj05,ventral,4,2,0.89043477721208,0.6534878766482559
subj05,ventral,4,4,1.0,0.6693274579227042
subj05,ventral,6,1,0.7345080217196228,0.6218749864838985
subj05,ventral,6,2,0.8539507827264647,0.6810511773783924
subj05,ventral,6,4,0.9452981012273551,0.6939170362746059
subj05,ventral,6,6,1.0,0.7086652721543262
subj05,ventral,8,1,0.7168469593241156,0.6320039147017545
subj05,ventral,8,2,0.826974559312815,0.6960842342204104
subj05,ventral,8,4,0.9053677428362144,0.7077337457453153
subj05,ventral,8,6,0.9584294381228879,0.7188506166302912
subj05,ventral,8,8,0.991227157335247,0.7350071766701013
subj05,ventral,10,1,0.7070067469074508,0.6393057689291136
subj05,ventral,10,2,0.8115510916018901,0.7068316218829377
subj05,ventral,10,4,0.8811199784133011,0.7172640642040561
subj05,ventral,10,6,0.9299676674872654,0.7290324823762538
subj05,ventral,10,8,0.9657207058520257,0.7403739211055061
subj05,ventral,10,10,0.9867094183988656,0.7570262354523388
subj06,ventral,2,1,0.7480015185258614,0.39373504510275287
subj06,ventral,2,2,1.0,0.4541971412310161
subj06,ventral,4,1,0.6868006286573646,0.4628978879892745
subj06,ventral,4,2,0.865468546507714,0.5410207651723099
subj06,ventral,4,4,1.0,0.5574806533929885
subj06,ventral,6,1,0.6664147206266862,0.4965272024932686
subj06,ventral,6,2,0.8231462912626705,0.5830239039399961
subj06,ventral,6,4,0.9373904032534025,0.6025310612918761
subj06,ventral,6,6,1.0,0.6109812432896408
subj06,ventral,8,1,0.6393808831851449,0.5085377002200242
subj06,ventral,8,2,0.7853194194109904,0.6012029088725074
subj06,ventral,8,4,0.886876191687692,0.6220122261909342
subj06,ventral,8,6,0.942613252801936,0.6309045134972023
subj06,ventral,8,8,0.9831598589404872,0.6369910206039913
subj06,ventral,10,1,0.6229584447554787,0.5151245894003998
subj06,ventral,10,2,0.7625972509532443,0.6120546786842914
subj06,ventral,10,4,0.8556130188842168,0.6335765314885591
subj06,ventral,10,6,0.9058749200327557,0.6445520781943797
subj06,ventral,10,8,0.9435409912072936,0.6496374494672962
subj06,ventral,10,10,0.9728572347025385,0.6548341751803058
subj07,ventral,2,1,0.8518046405669252,0.5951395548075279
subj07,ventral,2,2,1.0,0.6317258555865055
subj07,ventral,4,1,0.8137067739199942,0.6482683943709905
subj07,ventral,4,2,0.9211521595451223,0.6939645849335596
subj07,ventral,4,4,1.0,0.7067081223234576
subj07,ventral,6,1,0.8011197113126519,0.6692556467784164
subj07,ventral,6,2,0.8956790160229149,0.7211830323614471
subj07,ventral,6,4,0.9609050712304383,0.7341788772390827
subj07,ventral,6,6,1.0,0.7418478738729958
subj07,ventral,8,1,0.7782133655863749,0.6797437442942401
subj07,ventral,8,2,0.8665248845130926,0.7360630008745984
subj07,ventral,8,4,0.9231777872219681,0.7478877999387809
subj07,ventral,8,6,0.9590664385992186,0.7568489163793363
subj07,ventral,8,8,0.9833648369223514,0.7635774370067078
subj07,ventral,10,1,0.765163443456569,0.6883457488398457
subj07,ventral,10,2,0.8498133533779865,0.7476511126771247
subj07,ventral,10,4,0.9007055737007402,0.7575606459081419
subj07,ventral,10,6,0.9333690438867707,0.7706919376577345
subj07,ventral,10,8,0.9577506423733989,0.7755413613400792
subj07,ventral,10,10,0.9740706534350103,0.781539779783341
subj08,ventral,2,1,0.6419488091951624,0.23239945422162966
subj08,ventral,2,2,0.9999999999999999,0.3502191826296906
subj08,ventral,4,1,0.5258463065496682,0.2824644015738426
subj08,ventral,4,2,0.7942097184913933,0.40784337876600024
subj08,ventral,4,4,0.9999999999999999,0.5166777258692464
subj08,ventral,6,1,0.48508054525373495,0.3131217847851422
subj08,ventral,6,2,0.723374395337268,0.43230922560821733
subj08,ventral,6,4,0.9266992081155534,0.5835739257904821
subj08,ventral,6,6,0.9999999999999999,0.6159241789678512
subj08,ventral,8,1,0.4569840574757664,0.32414779323463444
subj08,ventral,8,2,0.679804635673734,0.4341669842615922
subj08,ventral,8,4,0.8801781332137919,0.6124626938845236
subj08,ventral,8,6,0.9521545045177314,0.6569336125141488
subj08,ventral,8,8,0.992313452001885,0.6732421306782124
subj08,ventral,10,1,0.43994460060514257,0.3318348010738848
subj08,ventral,10,2,0.6530828298471271,0.4293827834931074
subj08,ventral,10,4,0.8515514091194558,0.6301203021577971
subj08,ventral,10,6,0.9213607851262067,0.6903953218827951
subj08,ventral,10,8,0.9613162245372869,0.7017907584172072
subj08,ventral,10,10,0.9874968343399133,0.7135821961999679
subj01,lateral,2,1,0.7502070561541677,0.5446915029904745
subj01,lateral,2,2,1.0000000000000002,0.6254447468226015
subj01,lateral,4,1,0.6982279601230125,0.5902931883648542
subj01,lateral,4,2,0.8903145530329715,0.6904859976867227
subj01,lateral,4,4,1.0,0.7035307509061847
subj01,lateral,6,1,0.6812791371797754,0.6070019951103075
subj01,lateral,6,2,0.8543640968340648,0.7177656033424697
subj01,lateral,6,4,0.9449476819047037,0.7291371984053501
subj01,lateral,6,6,1.0000000000000002,0.7384547480745147
subj01,lateral,8,1,0.672046090226079,0.615518086550411
subj01,lateral,8,2,0.8357432750303979,0.732438795653374
subj01,lateral,8,4,0.9132225659426133,0.7439869897334724
subj01,lateral,8,6,0.9641514289740495,0.7519079688436358
subj01,lateral,8,8,0.9991796695372551,0.7597841432078369
subj01,lateral,10,1,0.666629278830648,0.6206301957040861
subj01,lateral,10,2,0.8247242464035951,0.7415052567863607
subj01,lateral,10,4,0.8927097924548093,0.754057557680047
subj01,lateral,10,6,0.9410016562386653,0.7618466741646083
subj01,lateral,10,8,0.9742178122078383,0.7659574075227029
subj01,lateral,10,10,0.9987900292867624,0.7752153039010321
subj02,lateral,2,1,0.7025489497803917,0.44114281117965426
subj02,lateral,2,2,1.0000000000000002,0.5308267480781116
subj02,lateral,4,1,0.6383458992685308,0.49735996276144245
subj02,lateral,4,2,0.8518097899146837,0.602403928560028
subj02,lateral,4,4,1.0000000000000002,0.634678861767542
subj02,lateral,6,1,0.6169351618078768,0.5231495440147884
subj02,lateral,6,2,0.8050661818888895,0.6367922330510408
subj02,lateral,6,4,0.937326841859777,0.6784389995218799
subj02,lateral,6,6,1.0000000000000002,0.6961043812409287
subj02,lateral,8,1,0.604914553957989,0.5359275187019845
subj02,lateral,8,2,0.7809199356954526,0.6547038407455945
subj02,lateral,8,4,0.902121771274491,0.6970834490409202
subj02,lateral,8,6,0.9628428380791144,0.7220127970037017
subj02,lateral,8,8,0.9987538439101665,0.7402698262570472
subj02,lateral,10,1,0.5979169939777231,0.5417657344842061
subj02,lateral,10,2,0.7667435366377634,0.6642829189580454
subj02,lateral,10,4,0.8812312336841165,0.7098981108495211
subj02,lateral,10,6,0.9375302162190767,0.7417933914892912
subj02,lateral,10,8,0.9759953923982376,0.7522045744676701
subj02,lateral,10,10,0.9982443574165143,0.7753310957767005
subj03,lateral,2,1,0.6962487049273683,0.4865848869982128
subj03,lateral,2,2,1.0,0.575632738438128
subj03,lateral,4,1,0.6412770458550473,0.5322432371125092
subj03,lateral,4,2,0.8653927269884084,0.6419372471612969
subj03,lateral,4,4,1.0,0.6570057437348538
subj03,lateral,6,1,0.6231430399517142,0.5516405398280716
subj03,lateral,6,2,0.8238883246547756,0.672701104629622
subj03,lateral,6,4,0.927404344023928,0.6891930592080886
subj03,lateral,6,6,1.0,0.7016069854813397
subj03,lateral,8,1,0.6132626144414925,0.5601008978492815
subj03,lateral,8,2,0.8025503464141699,0.6882599646720332
subj03,lateral,8,4,0.8897287231358749,0.7055790128625355
subj03,lateral,8,6,0.953704470003176,0.7184587605724282
subj03,lateral,8,8,0.9991759681625451,0.7294776156988187
subj03,lateral,10,1,0.6074198764932666,0.5658779841395043
subj03,lateral,10,2,0.7898765568980323,0.6988306733439796
subj03,lateral,10,4,0.8668116204503796,0.7183749237198048
subj03,lateral,10,6,0.9266775681420295,0.7281653812582128
subj03,lateral,10,8,0.965836760517293,0.7444771851135626
subj03,lateral,10,10,0.9987698734587752,0.7515065685457002
subj04,lateral,2,1,0.728905285422342,0.43421774932354734
subj04,lateral,2,2,1.0,0.504101362627403
subj04,lateral,4,1,0.6582911517410283,0.4914560021794247
subj04,lateral,4,2,0.8447478272258887,0.5588342939754652
subj04,lateral,4,4,1.0,0.5939738517018778
subj04,lateral,6,1,0.6358314540075377,0.5175847885167966
subj04,lateral,6,2,0.7919116189105901,0.5886456641361182
subj04,lateral,6,4,0.9268682306414852,0.6243644453029713
subj04,lateral,6,6,1.0,0.6397618616010305
subj04,lateral,8,1,0.6224931771564787,0.5296512604607928
subj04,lateral,8,2,0.7658975936942708,0.6083266953104279
subj04,lateral,8,4,0.8851200916717207,0.6366694017565339
subj04,lateral,8,6,0.9524809885804117,0.6590680240717328
subj04,lateral,8,8,0.9979424720483503,0.6693503283532204
subj04,lateral,10,1,0.6147559583858667,0.5389539939490521
subj04,lateral,10,2,0.751653864037968,0.6237775421450985
subj04,lateral,10,4,0.8583433154492983,0.6437401600603113
subj04,lateral,10,6,0.9228457595511691,0.6728819375640634
subj04,lateral,10,8,0.9661672739890937,0.6854570239446466
subj04,lateral,10,10,0.9969881489545361,0.6947931934040175
subj05,lateral,2,1,0.7254403359037588,0.4218975310938177
subj05,lateral,2,2,0.9999999999999999,0.4716941205782364
subj05,lateral,4,1,0.6440227300388612,0.47301492860976174
subj05,lateral,4,2,0.8312154666264844,0.5371620408915345
subj05,lateral,4,4,0.9999999999999999,0.5642249711898951
subj05,lateral,6,1,0.6168067597404853,0.4937401224360159
subj05,lateral,6,2,0.775736554648908,0.5672025746933622
subj05,lateral,6,4,0.9184252122054746,0.5928194391502312
subj05,lateral,6,6,1.0,0.6164916708713634
subj05,lateral,8,1,0.6007926211234397,0.5050107892481517
subj05,lateral,8,2,0.7454183915080282,0.5846313514702732
subj05,lateral,8,4,0.8712125921641273,0.6125021855177466
subj05,lateral,8,6,0.9489216809648763,0.6316806050343668
subj05,lateral,8,8,0.997644944162638,0.6537649175921909
subj05,lateral,10,1,0.591650427091503,0.5117260123334111
subj05,lateral,10,2,0.7275717238416607,0.5956350335265012
subj05,lateral,10,4,0.8425418227253223,0.6273050276999212
subj05,lateral,10,6,0.9146667412784572,0.6430705473566586
subj05,lateral,10,8,0.9643308733331444,0.6674608348981073
subj05,lateral,10,10,0.9967191894086375,0.6824637112701305
subj06,lateral,2,1,0.7078288543876626,0.431918925872983
subj06,lateral,2,2,1.0,0.5162502875371016
subj06,lateral,4,1,0.6365677143175962,0.4898863513027267
subj06,lateral,4,2,0.8494780488782143,0.585964202470755
subj06,lateral,4,4,1.0,0.6179683800527576
subj06,lateral,6,1,0.6129624694894139,0.5135343801413096
subj06,lateral,6,2,0.800968884527979,0.6209794667858789
subj06,lateral,6,4,0.9317222741173188,0.6577492390930543
subj06,lateral,6,6,1.0,0.6715010158897359
subj06,lateral,8,1,0.599733976905085,0.5264501597879009
subj06,lateral,8,2,0.7756263580781004,0.6407980111734047
subj06,lateral,8,4,0.8932952215646658,0.6821680870508448
subj06,lateral,8,6,0.95654294899923,0.6947272358096445
subj06,lateral,8,8,0.998615455346329,0.7054273371351009
