subject,roi,M,d,OUT_BASIS_RECOVERY,R_AUG_minus_BASE,R_COND_minus_BASE
subj01,ventral,2,1,0.8002637645902195,0.2969621809508245,0.37108037885844547
subj01,ventral,2,2,0.7615616107218715,0.3944974300999693,0.5180111819528715
subj01,ventral,4,1,0.914788465897441,0.33946005050055855,0.37108037885844547
subj01,ventral,4,2,0.8924021841678493,0.4622743101981119,0.5180111819528717
subj01,ventral,4,4,0.9041325524439751,0.47911386719388677,0.5299155150412254
subj01,ventral,6,1,0.9604689083161485,0.35641116637971404,0.3710803788584456
subj01,ventral,6,2,0.9482838868013017,0.49122165702880544,0.5180111819528717
subj01,ventral,6,4,0.9568487166891702,0.5070489805208773,0.5299155150412256
subj01,ventral,6,6,0.9591663196563096,0.5226880606319597,0.5449399649679634
subj01,ventral,8,1,0.984863702935811,0.3654635960093523,0.3710803788584455
subj01,ventral,8,2,0.9797366481490468,0.5075145391102323,0.5180111819528714
subj01,ventral,8,4,0.9843319035335721,0.5216127476325026,0.5299155150412254
subj01,ventral,8,6,0.9897566326135793,0.539357944703253,0.5449399649679632
subj01,ventral,8,8,0.9734049058232978,0.551869041773778,0.5669470520153295
subj01,ventral,10,1,1.0,0.3710803788584456,0.3710803788584456
subj01,ventral,10,2,1.0,0.5180111819528717,0.5180111819528717
subj01,ventral,10,4,1.0,0.5299155150412254,0.5299155150412254
subj01,ventral,10,6,1.0,0.5449399649679634,0.5449399649679634
subj01,ventral,10,8,1.0,0.5669470520153297,0.5669470520153297
subj01,ventral,10,10,1.0,0.5742767620677747,0.5742767620677747
subj02,ventral,2,1,0.7624789657576916,0.25447101661971205,0.3337416873747314
subj02,ventral,2,2,0.7718810446611851,0.3385821877973989,0.43864555314480946
subj02,ventral,4,1,0.872820911200237,0.2912967236799177,0.3337416873747314
subj02,ventral,4,2,0.8939835883438227,0.3921419256114578,0.43864555314480946
subj02,ventral,4,4,0.8788982182619924,0.41834330121311747,0.47598606132162247
subj02,ventral,6,1,0.9366329604831565,0.31259346468243876,0.3337416873747314
subj02,ventral,6,2,0.9492510014428868,0.4163847306011793,0.43864555314480935
subj02,ventral,6,4,0.9410450467955275,0.4479243253504249,0.47598606132162236
subj02,ventral,6,6,0.9122719638560554,0.4624685224847591,0.5069415051734842
subj02,ventral,8,1,0.975035082221626,0.32540985359020547,0.3337416873747314
subj02,ventral,8,2,0.9801730373476807,0.4299485441450014,0.43864555314480946
subj02,ventral,8,4,0.9747198307593831,0.46395305313523716,0.47598606132162247
subj02,ventral,8,6,0.9590406202411348,0.48617749554755274,0.5069415051734842
subj02,ventral,8,8,0.9628710282336433,0.4935027473829834,0.5125325541140215
subj02,ventral,10,1,1.0,0.3337416873747313,0.3337416873747313
subj02,ventral,10,2,1.0,0.43864555314480935,0.43864555314480935
subj02,ventral,10,4,1.0,0.47598606132162236,0.47598606132162236
subj02,ventral,10,6,1.0,0.5069415051734842,0.5069415051734842
subj02,ventral,10,8,1.0,0.5125325541140215,0.5125325541140215
subj02,ventral,10,10,1.0,0.5180234007932585,0.5180234007932585
subj03,ventral,2,1,0.8011594957697302,0.33356816809866124,0.41635675525280874
subj03,ventral,2,2,0.7661925408646472,0.38594177424668724,0.5037138234354938
subj03,ventral,4,1,0.9155916109225702,0.3812127522604134,0.4163567552528087
subj03,ventral,4,2,0.892140206383738,0.4493833543980833,0.5037138234354939
subj03,ventral,4,4,0.8888234700227075,0.4658472402571955,0.5241167183009852
subj03,ventral,6,1,0.9607336136787589,0.40000793005359353,0.41635675525280874
subj03,ventral,6,2,0.9469836590282417,0.47700875962004946,0.5037138234354936
subj03,ventral,6,4,0.9449172381565979,0.49524692192866654,0.5241167183009852
subj03,ventral,6,6,0.9466496608029531,0.5060121011312533,0.5345294273934997
subj03,ventral,8,1,0.9849147515616868,0.4100759101608502,0.4163567552528088
subj03,ventral,8,2,0.9788898755602784,0.49308036194076255,0.5037138234354938
subj03,ventral,8,4,0.9768266233654632,0.5119711641873389,0.524116718300985
subj03,ventral,8,6,0.9775164394143376,0.5225113026278788,0.5345294273935
subj03,ventral,8,8,0.983133136993989,0.5324697854961651,0.5416049621969162
subj03,ventral,10,1,1.0,0.4163567552528088,0.4163567552528088
subj03,ventral,10,2,1.0,0.5037138234354938,0.5037138234354938
subj03,ventral,10,4,1.0,0.524116718300985,0.524116718300985
subj03,ventral,10,6,1.0,0.5345294273935,0.5345294273935
subj03,ventral,10,8,1.0,0.5416049621969162,0.5416049621969162
subj03,ventral,10,10,1.0,0.5523221297624729,0.5523221297624729
subj04,ventral,2,1,0.7758186749968127,0.29101043004561034,0.3751010892420267
subj04,ventral,2,2,0.7797109144165877,0.3800384319623362,0.4874094038387251
subj04,ventral,4,1,0.8976367019861142,0.3367045046586119,0.3751010892420266
subj04,ventral,4,2,0.895288926923631,0.4363722421352589,0.48740940383872505
subj04,ventral,4,4,0.8923315824444839,0.4631414440189429,0.5190239291432421
subj04,ventral,6,1,0.9524588558287903,0.3572683542795937,0.3751010892420267
subj04,ventral,6,2,0.9479807456778541,0.46205473010143305,0.4874094038387252
subj04,ventral,6,4,0.9469867229995576,0.4915087698177133,0.519023929143242
subj04,ventral,6,6,0.9465979631547696,0.5051900776581238,0.5336902225887473
subj04,ventral,8,1,0.9819008703758413,0.368312086005672,0.37510108924202656
subj04,ventral,8,2,0.9791930154131102,0.47726788388554764,0.4874094038387251
subj04,ventral,8,4,0.9788351661624238,0.5080388739251995,0.5190239291432421
subj04,ventral,8,6,0.9768148391954962,0.5213165289582354,0.533690222588747
subj04,ventral,8,8,0.981013801103918,0.5334653657538792,0.5437898683520861
subj04,ventral,10,1,1.0,0.3751010892420266,0.3751010892420266
subj04,ventral,10,2,1.0,0.48740940383872516,0.48740940383872516
subj04,ventral,10,4,1.0,0.5190239291432421,0.5190239291432421
subj04,ventral,10,6,1.0,0.5336902225887472,0.5336902225887472
subj04,ventral,10,8,1.0,0.5437898683520861,0.5437898683520861
subj04,ventral,10,10,1.0,0.5554465634324106,0.5554465634324106
subj05,ventral,2,1,0.859849108696322,0.44292688666207447,0.5151216442308433
subj05,ventral,2,2,0.8331530477489789,0.4854345380427204,0.5826474971846676
subj05,ventral,4,1,0.9428802510156251,0.48569802521595923,0.5151216442308435
subj05,ventral,4,2,0.9227674318414235,0.5376481346459288,0.5826474971846676
subj05,ventral,4,4,0.9332430234979774,0.553487715920377,0.5930799395057857
subj05,ventral,6,1,0.973854746522972,0.5016536582709246,0.5151216442308434
subj05,ventral,6,2,0.9625542920467844,0.5608298491654184,0.5826474971846675
subj05,ventral,6,4,0.9673159887007695,0.573695708061632,0.593079939505786
subj05,ventral,6,6,0.9728784685807725,0.5884439439413522,0.6048483576779838
subj05,ventral,8,1,0.9900473516524234,0.5099948196495883,0.5151216442308433
subj05,ventral,8,2,0.9852872310310359,0.5740751391682442,0.5826474971846674
subj05,ventral,8,4,0.9875981493847759,0.585724650693149,0.593079939505786
subj05,ventral,8,6,0.9867622421418202,0.5968415215781249,0.6048483576779837
subj05,ventral,8,8,0.994820240763624,0.612998081617935,0.616189796407236
subj05,ventral,10,1,1.0,0.5151216442308435,0.5151216442308435
subj05,ventral,10,2,1.0,0.5826474971846676,0.5826474971846676
subj05,ventral,10,4,1.0,0.593079939505786,0.593079939505786
subj05,ventral,10,6,1.0,0.6048483576779837,0.6048483576779837
