subject,roi,fold,identity_idx,leak_ratio
subj01,ventral,0,0,5.82390598965373e-16
subj01,ventral,0,1,6.369036761520201e-16
subj01,ventral,0,2,6.474809172599939e-16
subj01,ventral,0,3,4.934928320400863e-16
subj01,ventral,0,4,4.627409507624178e-16
subj01,ventral,0,5,4.634397920836189e-16
subj01,ventral,0,6,4.584193949444346e-16
subj01,ventral,0,7,4.305136106639148e-16
subj01,ventral,0,8,5.449603781781382e-16
subj01,ventral,0,9,5.547245643196532e-16
subj01,ventral,1,0,4.3899349283161437e-16
subj01,ventral,1,1,5.847137486534533e-16
subj01,ventral,1,2,5.973668064448917e-16
subj01,ventral,1,3,5.663350414695075e-16
subj01,ventral,1,4,3.455656374597089e-16
subj01,ventral,1,5,4.4131110056626434e-16
subj01,ventral,1,6,3.1968660090228717e-16
subj01,ventral,1,7,3.9988382969375404e-16
subj01,ventral,1,8,3.4282121253532174e-16
subj01,ventral,1,9,3.7293097663241447e-16
subj01,ventral,2,0,6.24828213495654e-16
subj01,ventral,2,1,6.104233063281611e-16
subj01,ventral,2,2,7.205912900614457e-16
subj01,ventral,2,3,4.86609884285187e-16
subj01,ventral,2,4,5.011143159897642e-16
subj01,ventral,2,5,4.294950284372031e-16
subj01,ventral,2,6,3.6637002303732365e-16
subj01,ventral,2,7,5.128136293063306e-16
subj01,ventral,2,8,4.499637301723745e-16
subj01,ventral,2,9,4.4156799786815804e-16
subj01,ventral,3,0,5.018635255291221e-16
subj01,ventral,3,1,5.209254967835162e-16
subj01,ventral,3,2,6.273314822021056e-16
subj01,ventral,3,3,4.663791808554285e-16
subj01,ventral,3,4,4.221517363673933e-16
subj01,ventral,3,5,4.928011003390439e-16
subj01,ventral,3,6,3.1594039996856442e-16
subj01,ventral,3,7,3.3448631540297797e-16
subj01,ventral,3,8,4.3105734428153796e-16
subj01,ventral,3,9,4.800531137057242e-16
subj01,ventral,4,0,5.778862090197893e-16
subj01,ventral,4,1,5.877505204222093e-16
subj01,ventral,4,2,6.076030851141769e-16
subj01,ventral,4,3,7.166794915038838e-16
subj01,ventral,4,4,4.679741527351543e-16
subj01,ventral,4,5,4.3490153859933195e-16
subj01,ventral,4,6,3.6475915619686444e-16
subj01,ventral,4,7,3.5032548809008224e-16
subj01,ventral,4,8,4.55250336318933e-16
subj01,ventral,4,9,3.728560906369254e-16
subj01,ventral,5,0,5.424391515869385e-16
subj01,ventral,5,1,5.094098674605172e-16
subj01,ventral,5,2,5.883626609967405e-16
subj01,ventral,5,3,6.39513539749199e-16
subj01,ventral,5,4,4.611236867325674e-16
subj01,ventral,5,5,5.923466275794823e-16
subj01,ventral,5,6,3.879911005603365e-16
subj01,ventral,5,7,4.634034623665315e-16
subj01,ventral,5,8,4.711654990202423e-16
subj01,ventral,5,9,5.033120911485257e-16
subj02,ventral,0,0,8.521496131451358e-16
subj02,ventral,0,1,1.147160078298134e-15
subj02,ventral,0,2,1.1483477768314422e-15
subj02,ventral,0,3,9.460270316914945e-16
subj02,ventral,0,4,1.1591629218699904e-15
subj02,ventral,0,5,7.109064117000254e-16
subj02,ventral,0,6,5.985741446548013e-16
subj02,ventral,0,7,1.0837272720126615e-15
subj02,ventral,0,8,1.1753257916960023e-15
subj02,ventral,0,9,1.092156577626554e-15
subj02,ventral,1,0,8.872063446796625e-16
subj02,ventral,1,1,9.541624958525938e-16
subj02,ventral,1,2,1.1238122062139242e-15
subj02,ventral,1,3,6.838819962583342e-16
subj02,ventral,1,4,1.0944358953007389e-15
subj02,ventral,1,5,1.2060550372314743e-15
subj02,ventral,1,6,7.862886747822175e-16
subj02,ventral,1,7,9.291635837785817e-16
subj02,ventral,1,8,1.0833506411817456e-15
subj02,ventral,1,9,9.316087923074317e-16
subj02,ventral,2,0,6.774347094714168e-16
subj02,ventral,2,1,6.628109814667934e-16
subj02,ventral,2,2,9.525805979271306e-16
subj02,ventral,2,3,8.055623756310241e-16
subj02,ventral,2,4,9.291550788183643e-16
subj02,ventral,2,5,9.266122208926293e-16
subj02,ventral,2,6,7.040149304439037e-16
subj02,ventral,2,7,8.340067625372421e-16
subj02,ventral,2,8,8.619032747026889e-16
subj02,ventral,2,9,7.624129614314125e-16
subj02,ventral,3,0,7.736434791556e-16
subj02,ventral,3,1,7.288592901793724e-16
subj02,ventral,3,2,9.356782606498872e-16
subj02,ventral,3,3,8.34925627072841e-16
subj02,ventral,3,4,8.880992623036055e-16
subj02,ventral,3,5,1.1248954977899391e-15
subj02,ventral,3,6,7.450233940007536e-16
subj02,ventral,3,7,6.371191847029881e-16
subj02,ventral,3,8,9.474336839386224e-16
subj02,ventral,3,9,9.184444221179515e-16
subj02,ventral,4,0,8.042156084989813e-16
subj02,ventral,4,1,6.990094064684564e-16
subj02,ventral,4,2,8.684081940225124e-16
subj02,ventral,4,3,9.361563843624356e-16
subj02,ventral,4,4,9.58252826814151e-16
subj02,ventral,4,5,9.631848804351691e-16
subj02,ventral,4,6,6.353020537857175e-16
subj02,ventral,4,7,6.284617879505814e-16
subj02,ventral,4,8,9.363972577839594e-16
subj02,ventral,4,9,8.132211245079634e-16
subj02,ventral,5,0,7.227259261801633e-16
subj02,ventral,5,1,6.789869294881428e-16
subj02,ventral,5,2,9.428786417081472e-16
subj02,ventral,5,3,8.72649812685898e-16
subj02,ventral,5,4,7.986137300603282e-16
subj02,ventral,5,5,9.659178737913538e-16
subj02,ventral,5,6,6.784611530354862e-16
subj02,ventral,5,7,6.290371016101555e-16
subj02,ventral,5,8,8.207942057137897e-16
subj02,ventral,5,9,7.945664981679917e-16
subj03,ventral,0,0,4.203344670083632e-16
subj03,ventral,0,1,5.834018279039914e-16
subj03,ventral,0,2,4.596225305575254e-16
subj03,ventral,0,3,5.329654966225585e-16
subj03,ventral,0,4,5.544414954721759e-16
subj03,ventral,0,5,9.448347931510088e-16
subj03,ventral,0,6,8.940687673704649e-16
subj03,ventral,0,7,7.255655379453265e-16
subj03,ventral,0,8,7.66160762689675e-16
subj03,ventral,0,9,5.889759879828223e-16
subj03,ventral,1,0,7.122083976316172e-16
subj03,ventral,1,1,5.937136606229275e-16
subj03,ventral,1,2,3.952991256673817e-16
subj03,ventral,1,3,6.245912052741451e-16
subj03,ventral,1,4,6.176653780277751e-16
subj03,ventral,1,5,1.024097742381174e-15
subj03,ventral,1,6,8.36867934724335e-16
subj03,ventral,1,7,6.792586070829433e-16
subj03,ventral,1,8,6.952092963659227e-16
subj03,ventral,1,9,5.380572322824278e-16
subj03,ventral,2,0,5.596359052001584e-16
subj03,ventral,2,1,6.325039814371291e-16
subj03,ventral,2,2,4.89381200807409e-16
subj03,ventral,2,3,6.311184868679477e-16
subj03,ventral,2,4,5.027096028521704e-16
subj03,ventral,2,5,7.812572585799579e-16
subj03,ventral,2,6,6.4089341932099845e-16
subj03,ventral,2,7,6.007068344809208e-16
subj03,ventral,2,8,5.842986785804613e-16
subj03,ventral,2,9,4.857320177416348e-16
subj03,ventral,3,0,5.373226717598578e-16
subj03,ventral,3,1,4.352636526920653e-16
subj03,ventral,3,2,6.336507563656881e-16
subj03,ventral,3,3,5.600387364758924e-16
subj03,ventral,3,4,6.725576728762024e-16
subj03,ventral,3,5,1.0480802901671725e-15
subj03,ventral,3,6,6.971880499544811e-16
subj03,ventral,3,7,7.589706230679483e-16
subj03,ventral,3,8,8.526799810324733e-16
subj03,ventral,3,9,7.423401090331108e-16
subj03,ventral,4,0,5.658897934116274e-16
subj03,ventral,4,1,6.895082991505657e-16
subj03,ventral,4,2,6.497848967756681e-16
subj03,ventral,4,3,3.441489494053381e-16
subj03,ventral,4,4,5.342580936879288e-16
subj03,ventral,4,5,1.0394873136660204e-15
subj03,ventral,4,6,1.029311606625015e-15
subj03,ventral,4,7,7.767279037911622e-16
subj03,ventral,4,8,6.820012527778028e-16
subj03,ventral,4,9,5.62945771891613e-16
subj03,ventral,5,0,7.534433203977e-16
subj03,ventral,5,1,4.865079596452162e-16
subj03,ventral,5,2,3.9411894057003254e-16
subj03,ventral,5,3,4.515659191735316e-16
subj03,ventral,5,4,5.362552215715969e-16
subj03,ventral,5,5,1.0971667953797237e-15
subj03,ventral,5,6,7.886004916618606e-16
subj03,ventral,5,7,7.935594875867245e-16
subj03,ventral,5,8,7.342758970157094e-16
subj03,ventral,5,9,7.746183630197948e-16
subj04,ventral,0,0,5.892011568913256e-16
subj04,ventral,0,1,3.4663740253321575e-16
subj04,ventral,0,2,5.175914345066841e-16
subj04,ventral,0,3,5.264410126264105e-16
subj04,ventral,0,4,5.749067469377082e-16
subj04,ventral,0,5,4.3699990081636333e-16
subj04,ventral,0,6,8.391486180851955e-16
subj04,ventral,0,7,5.986365541552972e-16
subj04,ventral,0,8,8.857612554932345e-16
subj04,ventral,0,9,8.698738811347124e-16
subj04,ventral,1,0,5.587452407117294e-16
subj04,ventral,1,1,2.6489863247780044e-16
subj04,ventral,1,2,3.8557296712423417e-16
subj04,ventral,1,3,5.984376890751469e-16
subj04,ventral,1,4,4.481695849821539e-16
subj04,ventral,1,5,6.841074614694039e-16
subj04,ventral,1,6,8.894359863730253e-16
subj04,ventral,1,7,5.719032186253117e-16
subj04,ventral,1,8,7.441756096728024e-16
subj04,ventral,1,9,7.739225912221974e-16
subj04,ventral,2,0,4.658668133224305e-16
subj04,ventral,2,1,5.531744500266849e-16
subj04,ventral,2,2,4.071599470976819e-16
subj04,ventral,2,3,5.094249462074928e-16
subj04,ventral,2,4,5.035367385932915e-16
subj04,ventral,2,5,7.073051741720227e-16
subj04,ventral,2,6,5.077063534547075e-16
subj04,ventral,2,7,6.58282575456374e-16
subj04,ventral,2,8,9.649719709492847e-16
subj04,ventral,2,9,9.428371623370423e-16
subj04,ventral,3,0,4.878538019636034e-16
subj04,ventral,3,1,5.45614371095133e-16
subj04,ventral,3,2,3.125597542450654e-16
subj04,ventral,3,3,5.756285594710222e-16
subj04,ventral,3,4,4.75778590280766e-16
subj04,ventral,3,5,6.211599417613426e-16
subj04,ventral,3,6,3.399473105230591e-16
subj04,ventral,3,7,8.725503811528564e-16
subj04,ventral,3,8,8.642014327114959e-16
subj04,ventral,3,9,7.915057327756104e-16
subj04,ventral,4,0,5.30052661177279e-16
subj04,ventral,4,1,6.311348263995996e-16
subj04,ventral,4,2,3.941395632454687e-16
subj04,ventral,4,3,5.261286017219439e-16
subj04,ventral,4,4,5.7702781452128e-16
subj04,ventral,4,5,6.44017560459828e-16
subj04,ventral,4,6,3.765710241713665e-16
subj04,ventral,4,7,8.406708055001649e-16
subj04,ventral,4,8,5.512760123645563e-16
subj04,ventral,4,9,6.835055425641172e-16
subj04,ventral,5,0,6.489556820916743e-16
subj04,ventral,5,1,6.412312510092887e-16
subj04,ventral,5,2,3.167957505781839e-16
subj04,ventral,5,3,4.153856989203335e-16
subj04,ventral,5,4,5.810942947073001e-16
subj04,ventral,5,5,6.081087268895902e-16
subj04,ventral,5,6,3.538491528701126e-16
subj04,ventral,5,7,8.788996041882998e-16
subj04,ventral,5,8,5.686319142732869e-16
subj04,ventral,5,9,7.920068779684392e-16
