roi,M,d,n_evaluable_participants,median_TOTAL,n_TOTAL_ge0.5,median_E_AUG,n_E_pos,median_OUT_BASIS_RECOVERY
ventral,2,1,8,0.5868826120519626,7,0.28804603572008036,8,0.7925265483223886
ventral,2,2,8,0.7389067055416928,7,0.37150487756976464,8,0.7757959795388865
ventral,4,1,8,0.6985724769349588,7,0.33212000055007584,8,0.9104567182140586
ventral,4,2,8,0.8641699081647716,8,0.4313810057019635,8,0.8946362576337269
ventral,4,4,8,0.8998045382955919,8,0.44150533054077834,8,0.8905775262335957
ventral,6,1,8,0.7500050506330609,7,0.35087189126522,8,0.9583260582564799
ventral,6,2,8,0.9176089812250234,8,0.45804183285385697,8,0.9487674441220942
ventral,6,4,8,0.9550965013443273,8,0.470390449720484,8,0.9459519805780777
ventral,6,6,8,0.9749760051984047,8,0.46927367756186456,8,0.9466238119788614
ventral,8,1,8,0.7717043599204352,7,0.36089767247048227,8,0.9840088858141127
ventral,8,2,8,0.9478137110844361,8,0.4736884828285347,8,0.9799548427483638
ventral,8,4,8,0.9858113021510091,8,0.48417869886820514,8,0.9778308947639436
ventral,8,6,8,0.9998958884115283,8,0.4855383738727411,8,0.9771656393049168
ventral,8,8,8,1.0,8,0.4870621084272606,8,0.9779421508708221
ventral,10,1,8,0.7856358573006976,7,0.3672571822004952,8,1.0
ventral,10,2,8,0.9663330610541782,8,0.4840264248631064,8,1.0
ventral,10,4,8,1.0,8,0.49159383038086424,8,1.0
ventral,10,6,8,1.0,8,0.49916742915249174,8,1.0
ventral,10,8,8,1.0,8,0.49678538581337983,8,1.0
ventral,10,10,8,1.0,8,0.4974718692785455,8,1.0
lateral,2,1,8,0.5963714518069367,7,0.29472441107914266,8,0.7831663550861856
lateral,2,2,8,0.7212140278852295,8,0.3784468665001518,8,0.7709275814921268
lateral,4,1,8,0.6940493203706621,7,0.34540979317976994,8,0.9080518575275363
lateral,4,2,8,0.8364734325629244,8,0.44164364712684306,8,0.8951397927537221
lateral,4,4,8,0.8981030695313912,8,0.45538336182871286,8,0.8851914471988269
lateral,6,1,8,0.7368291262845033,7,0.36695633482862505,8,0.9603707126700466
lateral,6,2,8,0.8958330470641133,8,0.4690777682469607,8,0.9494773807289756
lateral,6,4,8,0.958624964372705,8,0.5060309329594963,8,0.9460015808716518
lateral,6,6,8,0.9933603856852171,8,0.5105436685166629,8,0.945593078996595
lateral,8,1,8,0.7557487440381193,7,0.37834255669349304,8,0.9842582382930913
lateral,8,2,8,0.9326199909123608,8,0.48462096859126735,8,0.9800582654521024
lateral,8,4,8,0.9922090523290739,8,0.531146113662418,8,0.9768475135721001
lateral,8,6,8,1.0,8,0.5412784830824372,8,0.9777771283516261
lateral,8,8,8,1.0,8,0.5416334496508654,8,0.9743333523653321
lateral,10,1,8,0.7675589632381175,7,0.38564684598836285,8,1.0
lateral,10,2,8,0.9588234344427666,8,0.494882130123903,8,1.0
lateral,10,4,8,1.0,8,0.5482301022896577,8,1.0
lateral,10,6,8,1.0,8,0.562003841181034,8,1.0
lateral,10,8,8,1.0,8,0.5588704586022724,8,1.0
lateral,10,10,8,1.0,8,0.5610973477620165,8,1.0
