subject,roi,fold,pair,s1,s2,AXIS_SINGULAR_GAP,s2_over_s1
subj01,ventral,0,0,10.098123909109164,6.5394271365333925,0.3524116761298201,0.64758832387018
subj01,ventral,0,1,9.746910042619366,7.611813543000641,0.21905367857944683,0.7809463214205532
subj01,ventral,0,2,10.000268102585899,7.707894517410111,0.2292312127694876,0.7707687872305125
subj01,ventral,0,3,9.697737970195046,6.823904267330918,0.29634062208079315,0.7036593779192069
subj01,ventral,0,4,9.88757048364111,6.593841696469888,0.3331181095113976,0.6668818904886025
subj01,ventral,0,5,9.95219714750509,6.402994685599844,0.356625015491679,0.643374984508321
subj01,ventral,0,6,9.416061511252492,7.719332980090215,0.1801951409445056,0.8198048590554944
subj01,ventral,0,7,10.126673588398456,7.223284384407674,0.2867070986979403,0.7132929013020597
subj01,ventral,0,8,9.38090061552439,6.922344261793893,0.26208105751188193,0.7379189424881181
subj01,ventral,0,9,9.632550311062708,6.61552175877295,0.3132118135759735,0.6867881864240265
subj01,ventral,0,10,9.94878669067207,6.630485446743089,0.333538284325686,0.666461715674314
subj01,ventral,0,11,9.573080739777135,7.7138554601602705,0.19421389311923298,0.805786106880767
subj01,ventral,0,12,10.107415671683544,7.447323584559611,0.2631822192270493,0.7368177807729507
subj01,ventral,0,13,9.533186550279202,6.923555842487999,0.2737417015840075,0.7262582984159924
subj01,ventral,0,14,9.561872550892105,6.929565053146267,0.2752920501434887,0.7247079498565113
subj01,ventral,0,15,9.57684433411702,5.710119688676881,0.4037577004008648,0.5962422995991352
subj01,ventral,0,16,9.161022580624644,6.971572747291727,0.23899622712027302,0.761003772879727
subj01,ventral,0,17,9.766064664116273,6.60501184651401,0.32367723605363874,0.6763227639463613
subj01,ventral,0,18,8.881230937229166,6.428120155149289,0.27621292582278206,0.7237870741772179
subj01,ventral,0,19,8.930647246792773,6.4087080321701,0.28239153836563935,0.7176084616343607
subj01,ventral,0,20,9.923826198712177,6.212067014353798,0.3740250091078839,0.6259749908921161
subj01,ventral,0,21,9.404983360312183,7.538178695141845,0.19849101201475947,0.8015089879852405
subj01,ventral,0,22,9.474592327886935,7.873054648024556,0.16903499638169248,0.8309650036183075
subj01,ventral,0,23,9.295383971507794,6.822280943043394,0.2660571135140791,0.7339428864859209
subj01,ventral,0,24,9.471928154886506,6.622783755420476,0.3007987764345716,0.6992012235654285
subj01,ventral,1,0,8.88600290656116,6.693543745385247,0.24673176277683484,0.7532682372231652
subj01,ventral,1,1,9.273015430144804,7.217999623671839,0.221612464893836,0.778387535106164
subj01,ventral,1,2,10.01311218817751,7.677021700870881,0.2333031372668383,0.7666968627331617
subj01,ventral,1,3,9.385906368894412,6.799143418410033,0.27560076233629427,0.7243992376637057
subj01,ventral,1,4,9.147802114658273,6.5390968365419795,0.2851729022358443,0.7148270977641558
subj01,ventral,1,5,9.460339123595205,6.6354558788341995,0.29860274646132,0.70139725353868
subj01,ventral,1,6,9.84340151751416,7.13852196372698,0.2747911429778054,0.7252088570221946
subj01,ventral,1,7,10.891903991009723,7.094238568435661,0.3486686465202677,0.6513313534797323
subj01,ventral,1,8,9.796784239493421,6.936088500095465,0.29200354621118807,0.7079964537888119
subj01,ventral,1,9,9.865004757928855,6.235901508141615,0.3678764824589061,0.6321235175410939
subj01,ventral,1,10,9.303844924665984,6.833230111941356,0.26554772061759463,0.7344522793824054
subj01,ventral,1,11,9.683388803021664,7.335550670721377,0.24246038035441206,0.7575396196455879
subj01,ventral,1,12,10.6585864964808,7.421832684983161,0.3036757090226114,0.6963242909773886
subj01,ventral,1,13,9.734104547254306,7.004340573605765,0.28043298285906787,0.7195670171409321
subj01,ventral,1,14,9.56229826564104,6.670420636190329,0.30242495570774214,0.6975750442922578
subj01,ventral,1,15,8.969991620667843,6.231755763834627,0.3052662669744329,0.6947337330255672
subj01,ventral,1,16,9.5824060266476,6.465043118466906,0.32532152149592247,0.6746784785040776
subj01,ventral,1,17,10.516540680909394,6.643222414129106,0.36830725847060114,0.6316927415293988
subj01,ventral,1,18,9.349566849998014,6.514609992571884,0.3032179889089442,0.6967820110910559
subj01,ventral,1,19,9.154355140199318,6.178252745061838,0.32510235287558237,0.6748976471244176
subj01,ventral,1,20,9.440879532471367,6.618034131601903,0.2990023748487043,0.7009976251512957
subj01,ventral,1,21,9.712927304864854,7.274021136367865,0.2510989830301138,0.7489010169698862
subj01,ventral,1,22,10.263650843773929,7.938548723328176,0.2265375309270377,0.7734624690729623
subj01,ventral,1,23,9.780099765544263,6.916447408362723,0.2928040026002922,0.7071959973997077
subj01,ventral,1,24,9.696253812754376,6.4489332103962065,0.3349046616422798,0.6650953383577202
subj01,ventral,2,0,8.549933049333072,6.910799304497191,0.19171305031022903,0.808286949689771
subj01,ventral,2,1,9.035472070292931,6.896642044558867,0.23671480682964727,0.7632851931703527
subj01,ventral,2,2,9.157723468049872,7.726698461296273,0.15626427372984805,0.8437357262701519
subj01,ventral,2,3,8.825688239110999,6.823970899168649,0.22680580660800462,0.7731941933919954
subj01,ventral,2,4,8.751767720367734,6.698403923504,0.2346227485088527,0.7653772514911473
subj01,ventral,2,5,9.329568666892888,6.937531613242503,0.2563931023026627,0.7436068976973372
subj01,ventral,2,6,10.069998597517198,6.489086953471518,0.3556020002752105,0.6443979997247895
subj01,ventral,2,7,9.95813078843927,7.662316467576847,0.2305467129963498,0.7694532870036502
subj01,ventral,2,8,9.626031694452568,6.790328398830894,0.29458694773006766,0.7054130522699323
subj01,ventral,2,9,9.842323975411253,6.2370190264758065,0.36630626648162146,0.6336937335183785
subj01,ventral,2,10,9.108118660317613,7.030765148054365,0.22807712434774186,0.7719228756522581
subj01,ventral,2,11,9.83445679162055,6.634445610597337,0.32538769032467385,0.6746123096753261
subj01,ventral,2,12,9.985315013833308,7.442327204980294,0.2546727674920668,0.7453272325079332
subj01,ventral,2,13,9.382862375725386,6.924610262482995,0.2619938367211045,0.7380061632788956
subj01,ventral,2,14,9.356187352825335,6.741868694577251,0.27942136680905877,0.7205786331909413
subj01,ventral,2,15,8.788369105008073,6.3631134105769505,0.2759619749071628,0.7240380250928372
subj01,ventral,2,16,9.75770936289905,5.554698609251521,0.4307374402468162,0.5692625597531838
subj01,ventral,2,17,9.932454187619859,6.463456015670729,0.34925891490876493,0.6507410850912351
subj01,ventral,2,18,9.022769947814202,6.317682788975047,0.29980673058105317,0.7001932694189468
subj01,ventral,2,19,9.109716328443668,5.944683624515195,0.34743482560989875,0.6525651743901012
subj01,ventral,2,20,9.442894122247585,6.714922897003497,0.28889143412261203,0.711108565877388
subj01,ventral,2,21,10.20822470795723,6.196249839801116,0.3930139650069431,0.6069860349930569
subj01,ventral,2,22,9.725984739564266,7.897399940258543,0.18801024762739302,0.811989752372607
subj01,ventral,2,23,9.557207557151795,6.820342526425373,0.28636659969557604,0.713633400304424
subj01,ventral,2,24,9.684066913016084,6.409277503703103,0.33816261687653437,0.6618373831234656
subj01,ventral,3,0,8.848973158487372,6.839512259882689,0.22708407660580776,0.7729159233941922
subj01,ventral,3,1,9.278849878457958,7.207160700162889,0.2232700394371895,0.7767299605628105
subj01,ventral,3,2,9.361595488611822,7.191327710183567,0.23182669888571225,0.7681733011142877
subj01,ventral,3,3,9.324406445425257,6.775157764516115,0.2733952767749474,0.7266047232250525
subj01,ventral,3,4,9.14130297838629,6.549300298605933,0.28354849258457926,0.7164515074154207
subj01,ventral,3,5,9.691871464824871,6.845132698513606,0.2937243623837829,0.706275637616217
subj01,ventral,3,6,10.409900952259964,6.7364042951191685,0.3528848808444511,0.6471151191555489
subj01,ventral,3,7,10.236765500649563,7.0900110472828874,0.3073973368997269,0.6926026631002731
subj01,ventral,3,8,10.120733100841603,6.7913945573299905,0.32896219180355196,0.6710378081964481
subj01,ventral,3,9,10.224817736382038,6.1330919640889405,0.4001759129391502,0.5998240870608498
subj01,ventral,3,10,9.209587289988834,6.800651444946667,0.2615682732776495,0.7384317267223506
subj01,ventral,3,11,10.061745188619337,6.540918008895298,0.3499221172591793,0.6500778827408207
subj01,ventral,3,12,9.701249426216853,7.156991554615806,0.2622608449511042,0.7377391550488959
subj01,ventral,3,13,9.600216010270174,6.831198655037553,0.2884328177897628,0.7115671822102372
subj01,ventral,3,14,9.77215626815222,6.0781428602535055,0.37801415639838115,0.6219858436016188
subj01,ventral,3,15,8.743867862597192,6.3361755988076265,0.2753578052212706,0.7246421947787294
subj01,ventral,3,16,9.90032534888234,5.616304026312952,0.4327152059758336,0.5672847940241664
subj01,ventral,3,17,9.460949344787833,6.431500161531487,0.3202056234372835,0.6797943765627166
subj01,ventral,3,18,9.114017076391743,6.426593462292475,0.29486708128521794,0.7051329187147821
subj01,ventral,3,19,9.09980501627853,5.930379053185008,0.3482960302362276,0.6517039697637724
subj01,ventral,3,20,9.333976502741844,6.681324185222333,0.28419316426823,0.7158068357317701
subj01,ventral,3,21,10.247604851949822,6.30133093340481,0.38509231918658043,0.6149076808134195
subj01,ventral,3,22,9.673101866941735,7.243322504795556,0.25118926643893424,0.7488107335610658
subj01,ventral,3,23,9.589315346208826,6.897267994908794,0.28073405181782285,0.7192659481821772
subj01,ventral,3,24,9.646793455443259,6.330567658673994,0.3437645692411985,0.6562354307588014
subj01,ventral,4,0,8.71184643659965,6.70429706871355,0.230439021451539,0.7695609785484611
subj01,ventral,4,1,9.229623341959666,6.936410210336383,0.24846226618998513,0.7515377338100149
subj01,ventral,4,2,9.014558573358075,7.248345793756751,0.19592892599547226,0.8040710740045277
subj01,ventral,4,3,9.228977008732022,7.673592203840741,0.16853274240683982,0.8314672575931602
subj01,ventral,4,4,8.963384473529098,6.825301824010928,0.23853519346764734,0.7614648065323527
subj01,ventral,4,5,9.48760067592923,6.762378039749549,0.2872404445829786,0.7127595554170214
subj01,ventral,4,6,10.269794115323794,6.536934930630018,0.3634794566255123,0.6365205433744877
subj01,ventral,4,7,9.856522316357328,7.179847259061249,0.27156384081371376,0.7284361591862862
subj01,ventral,4,8,10.074122517517443,7.580933007125329,0.24748453337318643,0.7525154666268136
subj01,ventral,4,9,10.064981305291033,6.365816000421001,0.367528283726213,0.6324717162737871
subj01,ventral,4,10,9.149651230558497,6.701405418514984,0.2675780475507886,0.7324219524492114
