subject,roi,T,AXIS_FIDELITY
subj01,ventral,1,0.31632865695933077
subj01,ventral,2,0.5402649176161968
subj01,ventral,4,0.7930504180575872
subj01,ventral,8,0.9999999999999928
subj02,ventral,1,0.35903940213870866
subj02,ventral,2,0.5882374256515717
subj02,ventral,4,0.8228628837148368
subj02,ventral,8,0.9999999999999831
subj03,ventral,1,0.33981185759097104
subj03,ventral,2,0.5689065969967704
subj03,ventral,4,0.8103426220933604
subj03,ventral,8,0.9999999999999909
subj04,ventral,1,0.30880048115219333
subj04,ventral,2,0.5225291786350844
subj04,ventral,4,0.7762368513180106
subj04,ventral,8,0.9999999999999871
subj05,ventral,1,0.423151667951666
subj05,ventral,2,0.6498242410052479
subj05,ventral,4,0.8525799762347047
subj05,ventral,8,0.9999999999999915
subj06,ventral,1,0.29587470988273007
subj06,ventral,2,0.5049931876210695
subj06,ventral,4,0.7722859043379302
subj06,ventral,8,0.9999999999999907
subj07,ventral,1,0.44833299163981327
subj07,ventral,2,0.656012770438492
subj07,ventral,4,0.8551893176191808
subj07,ventral,8,0.99999999999999
subj08,ventral,1,0.2212484937963299
subj08,ventral,2,0.3625901397075109
subj08,ventral,4,0.5982183519310476
subj08,ventral,8,0.999999999999981
subj01,lateral,1,0.38196182826929764
subj01,lateral,2,0.5971764618787876
subj01,lateral,4,0.8211516819775797
subj01,lateral,8,0.9999999999999932
subj02,lateral,1,0.30364333589514847
subj02,lateral,2,0.5260432822405754
subj02,lateral,4,0.7908998172283855
subj02,lateral,8,0.9999999999999871
subj03,lateral,1,0.3468536485342288
subj03,lateral,2,0.5466445022675529
subj03,lateral,4,0.7858214540377041
subj03,lateral,8,0.999999999999981
subj04,lateral,1,0.283219173100179
subj04,lateral,2,0.47802327367994935
subj04,lateral,4,0.7434674922436877
subj04,lateral,8,0.999999999999975
subj05,lateral,1,0.256654490858757
subj05,lateral,2,0.45134584240796666
subj05,lateral,4,0.7218896139273716
subj05,lateral,8,0.9999999999999882
subj06,lateral,1,0.28064723925461876
subj06,lateral,2,0.48669712553478867
subj06,lateral,4,0.7532841860763639
subj06,lateral,8,0.9999999999999833
subj07,lateral,1,0.37651060864032804
subj07,lateral,2,0.569402262538743
subj07,lateral,4,0.804702849007533
subj07,lateral,8,0.9999999999999871
subj08,lateral,1,0.25890463859129753
subj08,lateral,2,0.408058879530923
subj08,lateral,4,0.653353448219709
subj08,lateral,8,0.9999999999999943
