subject,roi,T,ARF_clipped,ARF_unclipped
subj01,ventral,1,0.37940959839918614,0.37940959839918614
subj01,ventral,2,0.5871090369575558,0.5871090369575558
subj01,ventral,4,0.815320932929608,0.815320932929608
subj02,ventral,1,0.40113621442998726,0.40113621442998726
subj02,ventral,2,0.6188999821571439,0.6188999821571439
subj02,ventral,4,0.8358989276431893,0.8358989276431893
subj03,ventral,1,0.37479715848291273,0.37479715848291273
subj03,ventral,2,0.5924671959505056,0.5924671959505056
subj03,ventral,4,0.8191423033483245,0.8191423033483245
subj04,ventral,1,0.3815135370804878,0.3815135370804878
subj04,ventral,2,0.574868242277273,0.574868242277273
subj04,ventral,4,0.8093985954793742,0.8093985954793742
subj05,ventral,1,0.4416647448194507,0.4416647448194507
subj05,ventral,2,0.6619672164632032,0.6619672164632032
subj05,ventral,4,0.8582085801842477,0.8582085801842477
subj06,ventral,1,0.3482948325845236,0.3482948325845236
subj06,ventral,2,0.5493043255085445,0.5493043255085445
subj06,ventral,4,0.7954946129607623,0.7954946129607623
subj07,ventral,1,0.47612162312904877,0.47612162312904877
subj07,ventral,2,0.6744887721909545,0.6744887721909545
subj07,ventral,4,0.862837712841743,0.862837712841743
subj08,ventral,1,0.4975453231366821,0.4975453231366821
subj08,ventral,2,0.6099343056345685,0.6099343056345685
subj08,ventral,4,0.7751271002553574,0.7751271002553574
subj01,lateral,1,0.4207404930765464,0.4207404930765464
subj01,lateral,2,0.6247024815453717,0.6247024815453717
subj01,lateral,4,0.8346851566576592,0.8346851566576592
subj02,lateral,1,0.37757656974406867,0.37757656974406867
subj02,lateral,2,0.5854867560770334,0.5854867560770334
subj02,lateral,4,0.8196028230997121,0.8196028230997121
subj03,lateral,1,0.4157827177594345,0.4157827177594345
subj03,lateral,2,0.5989107794329785,0.5989107794329785
subj03,lateral,4,0.8134823965157152,0.8134823965157152
subj04,lateral,1,0.3817941857668009,0.3817941857668009
subj04,lateral,2,0.5539706335488058,0.5539706335488058
subj04,lateral,4,0.7904503721093861,0.7904503721093861
subj05,lateral,1,0.3052797133298109,0.3052797133298109
subj05,lateral,2,0.4946702286345405,0.4946702286345405
subj05,lateral,4,0.746981855719472,0.746981855719472
subj06,lateral,1,0.33789353962588553,0.33789353962588553
subj06,lateral,2,0.5377302623230028,0.5377302623230028
subj06,lateral,4,0.7839069344813232,0.7839069344813232
subj07,lateral,1,0.4346584915851703,0.4346584915851703
subj07,lateral,2,0.615618942204574,0.615618942204574
subj07,lateral,4,0.8277420162994396,0.8277420162994396
subj08,lateral,1,0.47793340024480024,0.47793340024480024
subj08,lateral,2,0.6005525437870948,0.6005525437870948
subj08,lateral,4,0.7814367597923529,0.7814367597923529
