subject,roi,R_AXIS_8,AXIS_FIDELITY_T8
subj01,ventral,0.3736624116221365,0.9999999999999928
subj02,ventral,0.36486802431789456,0.9999999999999831
subj03,ventral,0.37676571104528783,0.9999999999999909
subj04,ventral,0.36380929005903045,0.9999999999999871
subj05,ventral,0.505657345960678,0.9999999999999915
subj06,ventral,0.3110175108975519,0.9999999999999907
subj07,ventral,0.45176541308565693,0.99999999999999
subj08,ventral,0.20769955884270502,0.999999999999981
subj01,lateral,0.5256211700258733,0.9999999999999932
subj02,lateral,0.42243398839757457,0.9999999999999871
subj03,lateral,0.4472216833754885,0.999999999999981
subj04,lateral,0.42910646568437416,0.999999999999975
subj05,lateral,0.40814646276677935,0.9999999999999882
subj06,lateral,0.4324949804012859,0.9999999999999833
subj07,lateral,0.554571159980322,0.9999999999999871
subj08,lateral,0.2650904358052991,0.9999999999999943
