subject,roi,T,calibration_axis_capture,heldout_R_AXIS
subj01,ventral,1,0.47395651824582474,0.18937053248561075
subj01,ventral,2,0.4829602222129883,0.25104941074216597
subj01,ventral,4,0.4997254483011181,0.3188197130889493
subj02,ventral,1,0.45880345542301704,0.2124745479871642
subj02,ventral,2,0.47067756559088614,0.2678891153436326
subj02,ventral,4,0.49302242551839714,0.32310905760687203
subj03,ventral,1,0.4706617201256654,0.16821794451035538
subj03,ventral,2,0.4990330399367649,0.24082574015838726
subj03,ventral,4,0.5405396046979875,0.31643734048664507
subj04,ventral,1,0.47947179347252966,0.1838232785074347
subj04,ventral,2,0.48426516655483043,0.2400915144180934
subj04,ventral,4,0.5027951629969476,0.30834229336218577
subj05,ventral,1,0.49527052784962533,0.25835564966988245
subj05,ventral,2,0.5445988401146895,0.3559335375590097
subj05,ventral,4,0.6004394572210022,0.4428541138262917
subj06,ventral,1,0.4019691382817741,0.14558991101832514
subj06,ventral,2,0.4190591330624181,0.1966137782975023
subj06,ventral,4,0.44786444804034337,0.2591062525068301
subj07,ventral,1,0.4074092118392774,0.2445922005170346
subj07,ventral,2,0.44486299311563615,0.32303857538880604
subj07,ventral,4,0.4940224104235442,0.39752314440573416
subj08,ventral,1,0.4807782527540735,0.13917669475473488
subj08,ventral,2,0.4753070249685635,0.1545038781352627
subj08,ventral,4,0.46880599774242704,0.17703224524048422
subj01,lateral,1,0.49839309381672803,0.29410781549111675
subj01,lateral,2,0.5223737356282742,0.37562555250468804
subj01,lateral,4,0.5572827603930991,0.4595495847016282
subj02,lateral,1,0.4773592221810022,0.2314887830079301
subj02,lateral,2,0.49132185141169893,0.29527085049151336
subj02,lateral,4,0.5165325752454866,0.36709227997124844
subj03,lateral,1,0.47830112164336547,0.2753603161893626
subj03,lateral,2,0.4788930904924394,0.32923177806850784
subj03,lateral,4,0.48540831697238573,0.392353107396099
subj04,lateral,1,0.5152496957315064,0.24736167401180473
subj04,lateral,2,0.5187085369322729,0.2979794002004159
subj04,lateral,4,0.5372951997812173,0.36750149111246266
subj05,lateral,1,0.4992335839702844,0.20616828112743973
subj05,lateral,2,0.5124676851947597,0.26123037249709463
subj05,lateral,4,0.5399793706964505,0.334585713665174
subj06,lateral,1,0.49998666239874673,0.2061667963555563
subj06,lateral,2,0.519310480750387,0.2744770836893073
subj06,lateral,4,0.5558039161933476,0.35862777923233463
subj07,lateral,1,0.4823664775191838,0.3201640718451396
subj07,lateral,2,0.5034478011525454,0.39519555576405896
subj07,lateral,4,0.537756860743065,0.483147972815976
subj08,lateral,1,0.4818302324778485,0.16275775660079086
subj08,lateral,2,0.4716885649851413,0.18679289979196415
subj08,lateral,4,0.4628434809303537,0.22224884824433533
