subject,roi,T,TOTAL_clipped,TOTAL_unclipped,E_AXIS,R_AXIS
subj01,ventral,1,0.19797704887681333,0.19797704887681333,0.10654956793816694,0.18937053248561075
subj01,ventral,2,0.3063552292724868,0.3063552292724868,0.16825060440059267,0.25104941074216597
subj01,ventral,4,0.42543687052182994,0.42543687052182994,0.23602767011604722,0.3188197130889493
subj02,ventral,1,0.17748092922591227,0.17748092922591227,0.0969720194156272,0.2124745479871642
subj02,ventral,2,0.2738295371492119,0.2738295371492119,0.15235309829330446,0.2678891153436326
subj02,ventral,4,0.3698397528826217,0.3698397528826217,0.2075798282940557,0.32310905760687203
subj03,ventral,1,0.20399057654193836,0.20399057654193836,0.11938159263230781,0.16821794451035538
subj03,ventral,2,0.32246168933972635,0.32246168933972635,0.19199145693853426,0.24082574015838726
subj03,ventral,4,0.44583398499146887,0.44583398499146887,0.26759296353309137,0.31643734048664507
subj04,ventral,1,0.184171751806015,0.184171751806015,0.10515049503973407,0.1838232785074347
subj04,ventral,2,0.2775117550167393,0.2775117550167393,0.16143951222655484,0.2400915144180934
subj04,ventral,4,0.39072888049924037,0.39072888049924037,0.2297013349783289,0.30834229336218577
subj05,ventral,1,0.30361379257892757,0.30361379257892757,0.18839084704792639,0.25835564966988245
subj05,ventral,2,0.4550564189484247,0.4550564189484247,0.28601306978754837,0.3559335375590097
subj05,ventral,4,0.5899587071638076,0.5899587071638076,0.37293272719664156,0.4428541138262917
subj06,ventral,1,0.1536549448324523,0.1536549448324523,0.08396551774193634,0.14558991101832514
subj06,ventral,2,0.2423329832542375,0.2423329832542375,0.1349785105863811,0.1966137782975023
subj06,ventral,4,0.3509431361986571,0.3509431361986571,0.19747555203359246,0.2591062525068301
subj07,ventral,1,0.26952189952560673,0.26952189952560673,0.18135089690073453,0.2445922005170346
subj07,ventral,2,0.38181314659663707,0.38181314659663707,0.25978859674325594,0.32303857538880604
subj07,ventral,4,0.488433307899576,0.488433307899576,0.33427136985719935,0.39752314440573416
subj08,ventral,1,0.11424288758053043,0.11424288758053043,0.06234895547759564,0.13917669475473488
subj08,ventral,2,0.14004886202292113,0.14004886202292113,0.07769064960710134,0.1545038781352627
subj08,ventral,4,0.17797927958970836,0.17797927958970836,0.10023022125012472,0.17703224524048422
subj01,lateral,1,0.2733646536775592,0.2733646536775592,0.16245854045726596,0.29410781549111675
subj01,lateral,2,0.40588338971236937,0.40588338971236937,0.2439710790014814,0.37562555250468804
subj01,lateral,4,0.5423139025936542,0.5423139025936542,0.32790302528039145,0.4595495847016282
subj02,lateral,1,0.18874199039286002,0.18874199039286002,0.10926184627713573,0.2314887830079301
subj02,lateral,2,0.29267159179273766,0.29267159179273766,0.17301968141739776,0.29527085049151336
subj02,lateral,4,0.4097009204472145,0.4097009204472145,0.2448448721357263,0.36709227997124844
subj03,lateral,1,0.22145339263123456,0.22145339263123456,0.11748966881760911,0.2753603161893626
subj03,lateral,2,0.31899070914628125,0.31899070914628125,0.17133362309444075,0.32923177806850784
subj03,lateral,4,0.4332754317566981,0.4332754317566981,0.2344614608685762,0.392353107396099
subj04,lateral,1,0.22097965149363036,0.22097965149363036,0.10598010756197362,0.24736167401180473
subj04,lateral,2,0.32063410628807293,0.32063410628807293,0.1566042634376287,0.2979794002004159
subj04,lateral,4,0.45750683028586697,0.45750683028586697,0.22612626664829402,0.36750149111246266
subj05,lateral,1,0.177351920109825,0.177351920109825,0.08232704266002151,0.20616828112743973
subj05,lateral,2,0.28737813565332276,0.28737813565332276,0.13742613887565308,0.26123037249709463
subj05,lateral,4,0.43395830320347695,0.43395830320347695,0.21076187695076673,0.334585713665174
subj06,lateral,1,0.1943163473726327,0.1943163473726327,0.1103369023833294,0.2061667963555563
subj06,lateral,2,0.3092387636710196,0.3092387636710196,0.1786493314624178,0.2744770836893073
subj06,lateral,4,0.4508104308745977,0.4508104308745977,0.262798505461763,0.35862777923233463
subj07,lateral,1,0.28893975496333485,0.28893975496333485,0.17289421874046387,0.3201640718451396
subj07,lateral,2,0.4092334321197139,0.4092334321197139,0.24790642671758872,0.39519555576405896
subj07,lateral,4,0.5502425007048378,0.5502425007048378,0.33587683364063103,0.483147972815976
subj08,lateral,1,0.14440948185245256,0.14440948185245256,0.08839323730532116,0.16275775660079086
subj08,lateral,2,0.18145934481466539,0.18145934481466539,0.11240724514681563,0.18679289979196415
subj08,lateral,4,0.23611423165711437,0.23611423165711437,0.14785240148075443,0.22224884824433533
