subject,roi,participant_median_COS2,sign_invariant_r,spearman_brown_exploratory
subj01,lateral,0.3306705191314423,0.5750395804911539,0.7301906410654593
subj01,ventral,0.3482519421875021,0.5901287505176325,0.7422402120904092
subj02,lateral,0.3241399064621354,0.5693328608662382,0.7255731082467471
subj02,ventral,0.30719718090803705,0.5542537152857318,0.7132088021856053
subj03,lateral,0.3263374286587689,0.5712595107818941,0.7271357873883258
subj03,ventral,0.30351664419223867,0.5509234467621057,0.7104456998342242
subj04,lateral,0.25193309191274604,0.5019293694462857,0.668379458657675
subj04,ventral,0.3002970774845946,0.547993683799909,0.7080050642774349
subj05,lateral,0.20187285994156873,0.4493026373632462,0.6200259708085181
subj05,ventral,0.41022330878021873,0.6404867748675368,0.7808496656966389
subj06,lateral,0.25655029628538617,0.5065079429637666,0.6724265150136666
subj06,ventral,0.2711566001128173,0.5207269919188147,0.6848395467246552
subj07,lateral,0.34785228018825354,0.5897900305941544,0.7419722343757953
subj07,ventral,0.39711915027843026,0.6301739047901224,0.773137029047529
subj08,lateral,0.17943646119340756,0.42359941122882544,0.5951104051991452
subj08,ventral,0.10547027601697383,0.3247618758674944,0.49029471904878064
