subject,roi,fold,identity,split_id,SPLIT_HALF_COS2
subj01,ventral,0,A:H,0,0.21497623345290875
subj01,ventral,0,A:H,1,0.3534609658751035
subj01,ventral,0,A:H,2,0.4190359566474118
subj01,ventral,0,A:H,3,0.45780700930114093
subj01,ventral,0,A:H,4,0.433552010848465
subj01,ventral,0,A:H,5,0.3677699960616415
subj01,ventral,0,A:H,6,0.44019130014751
subj01,ventral,0,A:H,7,0.41306999535052547
subj01,ventral,0,A:H,8,0.445045605644213
subj01,ventral,0,A:H,9,0.42422502001882323
subj01,ventral,0,A:H,10,0.5419823608566128
subj01,ventral,0,A:H,11,0.43392744354172263
subj01,ventral,0,A:H,12,0.5275323451462376
subj01,ventral,0,A:H,13,0.33734933299025777
subj01,ventral,0,A:H,14,0.4204757566903417
subj01,ventral,0,A:H,15,0.2998356307733891
subj01,ventral,0,A:H,16,0.4498082823871625
subj01,ventral,0,A:H,17,0.3382935515394672
subj01,ventral,0,A:H,18,0.4928767415198274
subj01,ventral,0,A:H,19,0.44406035877244243
subj01,ventral,0,A:H,20,0.46099999142375514
subj01,ventral,0,A:H,21,0.49139153446284717
subj01,ventral,0,A:H,22,0.5446734804866995
subj01,ventral,0,A:H,23,0.46666837156768315
subj01,ventral,0,A:H,24,0.4695385494468118
subj01,ventral,0,A:H,25,0.49608987575043345
subj01,ventral,0,A:H,26,0.44253105434519957
subj01,ventral,0,A:H,27,0.5370823324815116
subj01,ventral,0,A:H,28,0.5297789284448893
subj01,ventral,0,A:H,29,0.5149515872537532
subj01,ventral,0,A:H,30,0.44577735469978486
subj01,ventral,0,A:H,31,0.4410405129443108
subj01,ventral,0,A:H,32,0.31620493408093164
subj01,ventral,0,A:H,33,0.37427773169983103
subj01,ventral,0,A:H,34,0.29137690491620194
subj01,ventral,0,A:L,0,0.4684663919358339
subj01,ventral,0,A:L,1,0.33973482131500876
subj01,ventral,0,A:L,2,0.45901596011286155
subj01,ventral,0,A:L,3,0.4058809393363846
subj01,ventral,0,A:L,4,0.44553923439103316
