subject,roi,AxB,AxC,BxC,AxBxC
subj01,ventral,0.049395553945281445,5.551115123125783e-17,-5.551115123125783e-17,-1.6653345369377348e-16
subj02,ventral,0.020792694592391248,-1.1102230246251565e-16,-5.551115123125783e-17,5.551115123125783e-17
subj03,ventral,0.03498346203465913,1.1102230246251565e-16,5.551115123125783e-17,-2.7755575615628914e-16
subj04,ventral,0.02328031267997277,0.0,-1.1102230246251565e-16,0.0
subj05,ventral,0.025018201573178134,0.0,-1.1102230246251565e-16,2.220446049250313e-16
subj06,ventral,0.03646799315562843,-1.1102230246251565e-16,-1.1102230246251565e-16,2.220446049250313e-16
subj07,ventral,0.022719063058301125,5.551115123125783e-17,5.551115123125783e-17,-1.6653345369377348e-16
subj08,ventral,-0.02027174598883838,-2.7755575615628914e-17,-2.7755575615628914e-17,1.3877787807814457e-16
subj01,lateral,0.04012181725014785,-2.220446049250313e-16,0.0,0.0
subj02,lateral,0.03283324757538214,0.0,1.1102230246251565e-16,1.1102230246251565e-16
subj03,lateral,0.04390483776456011,5.551115123125783e-17,-5.551115123125783e-17,-1.6653345369377348e-16
subj04,lateral,0.014939934892191031,1.1102230246251565e-16,5.551115123125783e-17,5.551115123125783e-17
subj05,lateral,0.034112431708671564,-5.551115123125783e-17,0.0,-1.1102230246251565e-16
subj06,lateral,0.034590914208437684,-1.6653345369377348e-16,-5.551115123125783e-17,1.6653345369377348e-16
subj07,lateral,0.04005172982398009,3.3306690738754696e-16,2.220446049250313e-16,-1.1102230246251565e-16
subj08,lateral,-0.05396362152018541,0.0,0.0,0.0
