subject,roi,F_A,F_B,F_C,F_UNEXPLAINED
subj01,ventral,0.3630995061996709,0.4491455099227798,0.20145293156461636,-0.013697947687066891
subj02,ventral,0.2796191626018416,0.2947138619035071,0.28062656070903547,0.1450404147856158
subj03,ventral,0.35903485083950354,0.25013972198534346,0.3377621116784589,0.053063315496693964
subj04,ventral,0.3070062170324556,0.3228401457654516,0.29500806795672985,0.07514556924536298
subj05,ventral,0.4205844771774998,0.2731775434500844,0.3175930982782416,-0.011355118905825856
subj06,ventral,0.27319120196484736,0.2447434407515227,0.43231059061517796,0.04975476666845202
subj07,ventral,0.2077932254055013,0.15816560883007824,0.6094973510642885,0.024543814700132005
subj08,ventral,0.09915416006868011,0.23534207322196404,0.17125999816937373,0.4942437685399822
subj01,lateral,0.4136397846754351,0.46788022847201555,0.12209558118379307,-0.003615594331243921
subj02,lateral,0.3354999682938658,0.3456860541148451,0.12027285779651317,0.19854111979477596
subj03,lateral,0.3532507762504818,0.42999575652582933,0.19728290717338737,0.019470560050301455
subj04,lateral,0.4851067401133695,0.3615584538997266,0.06026590020940751,0.09306890577749649
subj05,lateral,0.4903357896735503,0.318783728363595,0.08137104272712656,0.1095094392357282
subj06,lateral,0.4360962944194728,0.40236611500158265,0.03535389201273928,0.12618369856620526
subj07,lateral,0.4042420858929896,0.5597392177818828,0.05224828099818078,-0.016229584673053132
subj08,lateral,0.06914670840016066,0.2024991710366099,0.1443265022397905,0.584027618323439
