subject,roi,A,B,C,R
subj01,ventral,0,0,0,0.3736624116221365
subj01,ventral,0,0,1,0.4284869638045274
subj01,ventral,0,1,0,0.47119766077128117
subj01,ventral,0,1,1,0.526022212953672
subj01,ventral,1,0,0,0.44778060952975746
subj01,ventral,1,0,1,0.5026051617121484
subj01,ventral,1,1,0,0.5947114126241836
subj01,ventral,1,1,1,0.6495359648065743
subj02,ventral,0,0,0,0.36486802431789456
subj02,ventral,0,0,1,0.4548580902726296
subj02,ventral,0,1,0,0.44897919549558135
subj02,ventral,0,1,1,0.5389692614503163
subj02,ventral,1,0,0,0.44413869507291404
subj02,ventral,1,0,1,0.534128761027649
subj02,ventral,1,1,0,0.5490425608429921
subj02,ventral,1,1,1,0.639032626797727
subj03,ventral,0,0,0,0.3767657110452878
subj03,ventral,0,0,1,0.47110444152281133
subj03,ventral,0,1,0,0.4291393171933138
subj03,ventral,0,1,1,0.5234780476708374
subj03,ventral,1,0,0,0.4595542981994352
subj03,ventral,1,0,1,0.5538930286769589
subj03,ventral,1,1,0,0.5469113663821203
subj03,ventral,1,1,1,0.6412500968596438
subj04,ventral,0,0,0,0.3638092900590304
subj04,ventral,0,0,1,0.45579883739881816
subj04,ventral,0,1,0,0.45283729197575623
subj04,ventral,0,1,1,0.5448268393155439
subj04,ventral,1,0,0,0.44789994925544657
subj04,ventral,1,0,1,0.5398894965952343
subj04,ventral,1,1,0,0.5602082638521452
subj04,ventral,1,1,1,0.6521978111919329
subj05,ventral,0,0,0,0.505657345960678
subj05,ventral,0,0,1,0.5696191949374444
subj05,ventral,0,1,0,0.548164997341324
subj05,ventral,0,1,1,0.6121268463180902
subj05,ventral,1,0,0,0.5778521035294469
subj05,ventral,1,0,1,0.6418139525062133
subj05,ventral,1,1,0,0.645377956483271
subj05,ventral,1,1,1,0.7093398054600374
subj06,ventral,0,0,0,0.311017510897552
subj06,ventral,0,0,1,0.4500249311266862
subj06,ventral,0,1,0,0.3714796070258151
subj06,ventral,0,1,1,0.5104870272549492
subj06,ventral,1,0,0,0.3806268497337291
subj06,ventral,1,0,1,0.5196342699628632
subj06,ventral,1,1,0,0.4775569390176207
subj06,ventral,1,1,1,0.616564359246755
subj07,ventral,0,0,0,0.45176541308565693
subj07,ventral,0,0,1,0.6365265504943065
subj07,ventral,0,1,0,0.4883517138646347
subj07,ventral,0,1,1,0.6731128512732844
subj07,ventral,1,0,0,0.5033956756953866
subj07,ventral,1,0,1,0.6881568131040362
subj07,ventral,1,1,0,0.5627010395326655
subj07,ventral,1,1,1,0.7474621769413151
subj08,ventral,0,0,0,0.20769955884270505
subj08,ventral,0,0,1,0.28606181948114934
subj08,ventral,0,1,0,0.32551928725076595
subj08,ventral,0,1,1,0.4038815478892102
subj08,ventral,1,0,0,0.2632047195735609
subj08,ventral,1,0,1,0.34156698021200516
subj08,ventral,1,1,0,0.3607527019927834
subj08,ventral,1,1,1,0.4391149626312278
subj01,lateral,0,0,0,0.5256211700258732
subj01,lateral,0,0,1,0.5519291048065575
subj01,lateral,0,1,0,0.606374413858
subj01,lateral,0,1,1,0.6326823486386843
subj01,lateral,1,0,0,0.5946872254762372
subj01,lateral,1,0,1,0.6209951602569214
subj01,lateral,1,1,0,0.7155622865585118
subj01,lateral,1,1,1,0.741870221339196
subj02,lateral,0,0,0,0.4224339883975747
subj02,lateral,0,0,1,0.4593490374591023
subj02,lateral,0,1,0,0.5121179252960318
subj02,lateral,0,1,1,0.5490329743575596
subj02,lateral,1,0,0,0.5089915353131601
subj02,lateral,1,0,1,0.5459065843746878
subj02,lateral,1,1,0,0.6315087197869994
subj02,lateral,1,1,1,0.6684237688485272
subj03,lateral,0,0,0,0.4472216833754885
subj03,lateral,0,0,1,0.49814882787366715
subj03,lateral,0,1,0,0.5362695348154037
subj03,lateral,0,1,1,0.5871966793135823
subj03,lateral,1,0,0,0.5164583775489635
subj03,lateral,1,0,1,0.5673855220471422
subj03,lateral,1,1,0,0.6494110667534388
subj03,lateral,1,1,1,0.7003382112516174
subj04,lateral,0,0,0,0.4291064656843741
subj04,lateral,0,0,1,0.44200004659234465
subj04,lateral,0,1,0,0.4989900789882295
subj04,lateral,0,1,1,0.5118836598962001
subj04,lateral,1,0,0,0.525422602501552
subj04,lateral,1,0,1,0.5383161834095227
subj04,lateral,1,1,0,0.6102461506975985
subj04,lateral,1,1,1,0.6231397316055691
subj05,lateral,0,0,0,0.4081464627667793
subj05,lateral,0,0,1,0.42521095507186807
subj05,lateral,0,1,0,0.45794305225119797
subj05,lateral,0,1,1,0.47500754455628674
subj05,lateral,1,0,0,0.4939195954050431
subj05,lateral,1,0,1,0.5109840877101318
subj05,lateral,1,1,0,0.5778286165981333
subj05,lateral,1,1,1,0.594893108903222
subj06,lateral,0,0,0,0.4324949804012859
subj06,lateral,0,0,1,0.44142441914470476
subj06,lateral,0,1,0,0.5168263420654046
subj06,lateral,0,1,1,0.5257557808088233
subj06,lateral,1,0,0,0.5253456748395174
subj06,lateral,1,0,1,0.5342751135829361
subj06,lateral,1,1,0,0.6442679507120738
subj06,lateral,1,1,1,0.6531973894554925
subj07,lateral,0,0,0,0.554571159980322
subj07,lateral,0,0,1,0.5654966259899159
subj07,lateral,0,1,0,0.6515905199308623
subj07,lateral,0,1,1,0.6625159859404564
subj07,lateral,1,0,0,0.6190750266632344
subj07,lateral,1,0,1,0.6300004926728286
subj07,lateral,1,1,0,0.7561461164377548
subj07,lateral,1,1,1,0.767071582447349
subj08,lateral,0,0,0,0.2650904358052992
subj08,lateral,0,0,1,0.33042842981492143
subj08,lateral,0,1,0,0.3837455665642449
subj08,lateral,0,1,1,0.44908356057386717
subj08,lateral,1,0,0,0.3233756257031232
subj08,lateral,1,0,1,0.3887136197127455
subj08,lateral,1,1,0,0.38806713494188355
subj08,lateral,1,1,1,0.4534051289515058
