subject,roi,phi_A,phi_B,phi_C,shapley_sum,R111_minus_R000
subj01,ventral,0.09881597488026164,0.1222330261217853,0.05482455218239082,0.27587355318443774,0.2758735531844378
subj02,ventral,0.08966701805121506,0.0945075184738824,0.08999006595473495,0.27416460247983243,0.27416460247983243
subj03,ventral,0.10028031817147698,0.0698653371653555,0.09433873047752356,0.26448438581435607,0.26448438581435607
subj04,ventral,0.09573081553640257,0.10066815825671216,0.09198954733978772,0.2883885211329025,0.2883885211329025
subj05,ventral,0.08470385835535801,0.055016752167234985,0.06396184897676635,0.20368245949935934,0.20368245949935937
subj06,ventral,0.08784333541399142,0.07869609270607741,0.1390074202291342,0.30554684834920304,0.30554684834920304
subj07,ventral,0.0629897941388802,0.04794583230812835,0.1847611374086496,0.29569676385565813,0.2956967638556582
subj08,ventral,0.045369287736436684,0.10768385541364174,0.0783622606384443,0.2314154037885227,0.23141540378852274
subj01,lateral,0.08912696407543785,0.1008141524572007,0.02630793478068427,0.2162490513133228,0.21624905131332284
subj02,lateral,0.1029741707032765,0.10610056068614829,0.036915049061527705,0.2459897804509525,0.2459897804509525
subj03,lateral,0.09118911305575506,0.11100027032219523,0.050927144498178624,0.2531165278761289,0.2531165278761289
subj04,lateral,0.10378610426327348,0.07735358074995091,0.012893580907970612,0.194033265921195,0.19403326592119502
subj05,lateral,0.10282934849259953,0.06685280533875443,0.017064492305088726,0.18674664613644268,0.1867466461364427
subj06,lateral,0.11014615154245033,0.10162681876833751,0.008929438743418783,0.22070240905420663,0.22070240905420663
subj07,lateral,0.08452973159490254,0.1170452248625303,0.010925466009594079,0.2125004224670269,0.21250042246702694
subj08,lateral,0.031303379137731346,0.09167331999885302,0.06533799400962226,0.18831469314620664,0.18831469314620664
