subject,roi,M,T,N_TRIALS,q,R_COMP,TOTAL_RECOVERY,FULL_CAPACITY_FRACTION
subj01,ventral,2,1,2,2,0.2165542755422365,0.2457425837259739,0.244143367002138
subj01,ventral,2,2,4,2,0.2972468148800636,0.3875303534153579,0.38500842574299754
subj01,ventral,2,4,8,2,0.38978992661097994,0.5501411910481625,0.54656104234192
subj01,ventral,2,8,16,2,0.4732281466756108,0.6967534953193963,0.6922192390858557
subj01,ventral,4,1,4,4,0.3031097583225942,0.3978323426866475,0.39524337285463523
subj01,ventral,4,2,8,4,0.4012093938401418,0.5702067485674913,0.5664960194194244
subj01,ventral,4,4,16,4,0.49622894787268446,0.7371690322397122,0.7323717641928918
subj01,ventral,4,8,32,4,0.5688523317910174,0.8647781980631654,0.8591504890361722
subj01,ventral,6,1,6,6,0.36369807939415094,0.5042942657399625,0.5010124746426361
subj01,ventral,6,2,12,6,0.46296747725734544,0.6787241032061416,0.6743071766797724
subj01,ventral,6,4,24,6,0.5526142481850452,0.8362456760058103,0.830803647806924
subj01,ventral,6,8,48,6,0.6139847899543168,0.9440820672447099,0.9379382731666966
subj01,ventral,8,1,8,6,0.3949712052074155,0.559245402445604,0.5556060063476259
subj01,ventral,8,2,16,6,0.4947594153257472,0.7345868636275203,0.7298063995353332
subj01,ventral,8,4,32,6,0.5796135344409398,0.883687095161075,0.8779363328805114
subj01,ventral,8,8,64,6,0.6339855461543616,0.9792261169545952,0.9728536162715353
subj01,ventral,10,1,10,6,0.4161632769556221,0.5964827556499173,0.5926010303752342
subj01,ventral,10,2,20,6,0.5181754030566216,0.7757319397730947,0.7706837162520052
subj01,ventral,10,4,40,6,0.5976478280414629,0.9153758025499502,0.9094188199633874
subj01,ventral,10,8,80,6,0.6495359645766007,1.0,0.9999999995985348
subj02,ventral,2,1,2,2,0.24187295144174045,0.22859556177000837,0.2487080684565078
subj02,ventral,2,2,4,2,0.32485737888509403,0.37287953699346366,0.4056865701789338
subj02,ventral,2,4,8,2,0.4115665372032408,0.523639654715095,0.5697110043739725
subj02,ventral,2,8,16,2,0.48885546780755923,0.6580209415652459,0.715915550212123
subj02,ventral,4,1,4,4,0.3360861385277796,0.3924028394730922,0.42692758996078684
subj02,ventral,4,2,8,4,0.4286166274118896,0.5532844310787282,0.601964014940478
subj02,ventral,4,4,16,4,0.5105179163434929,0.6956851670607048,0.7568935845202018
subj02,ventral,4,8,32,4,0.5734804524886069,0.8051573329242189,0.8759974319914747
subj02,ventral,6,1,6,6,0.39767611001490694,0.49948854451248675,0.5434350087988082
subj02,ventral,6,2,12,6,0.4890937101254299,0.6584351704723779,0.7163662241910662
subj02,ventral,6,4,24,6,0.5628089475517211,0.7866029221588778,0.8558105498531443
subj02,ventral,6,8,48,6,0.6148255212376491,0.8770434814316718,0.9542083342751077
subj02,ventral,8,1,8,6,0.42674155643100087,0.5500242688617454,0.5984170141082552
subj02,ventral,8,2,16,6,0.5181471563707405,0.7089500302763557,0.7713255292314625
subj02,ventral,8,4,32,6,0.586661117487827,0.8280743885787187,0.9009307972869716
subj02,ventral,8,8,64,6,0.6309181645969052,0.9050235570586534,0.9846501788611149
subj02,ventral,10,1,10,6,0.44805270792105084,0.5870776986232824,0.6387305130857749
subj02,ventral,10,2,20,6,0.5388531129000484,0.7449512152082148,0.8104942037989795
subj02,ventral,10,4,40,6,0.6021498367344084,0.8550044289834957,0.9302302214781832
subj02,ventral,10,8,80,6,0.6390326292848328,0.9191320742594711,1.0
subj03,ventral,2,1,2,2,0.22498486532445602,0.2966147943539098,0.3039654645539215
subj03,ventral,2,2,4,2,0.31387571870929165,0.44165429354344277,0.45259931421015787
subj03,ventral,2,4,8,2,0.40659636792586434,0.5929427109093881,0.607636941940209
subj03,ventral,2,8,16,2,0.4856289552343653,0.7218968883797275,0.739786845475268
subj03,ventral,4,1,4,4,0.31769224869568086,0.4478815663931166,0.4589809105454931
subj03,ventral,4,2,8,4,0.41566813316346696,0.6077447320029482,0.6228057848424701
subj03,ventral,4,4,16,4,0.5031137763693803,0.7504261420011554,0.7690231074402291
subj03,ventral,4,8,32,4,0.5695380308582861,0.8588078285105633,0.8800906951535438
subj03,ventral,6,1,6,6,0.3782722617427279,0.5467274478158054,0.5602763780603062
subj03,ventral,6,2,12,6,0.47398805298522867,0.7029029135438744,0.7203221643649359
subj03,ventral,6,4,24,6,0.552765572436038,0.8314409074257991,0.8520455705026964
subj03,ventral,6,8,48,6,0.6078470789938455,0.9213151050686386,0.9441470191085304
subj03,ventral,8,1,8,6,0.4104642729533577,0.599253810271564,0.6141044421660434
subj03,ventral,8,2,16,6,0.5035337067779393,0.7511113249399238,0.769725270495652
subj03,ventral,8,4,32,6,0.5772812981607263,0.8714421949146571,0.8930381648228503
subj03,ventral,8,8,64,6,0.6275623312855688,0.9534836602112834,0.9771127713032627
subj03,ventral,10,1,10,6,0.4317175157340678,0.6339318403690186,0.6496418588055204
subj03,ventral,10,2,20,6,0.5241310014698379,0.7847190718904312,0.8041658803670285
subj03,ventral,10,4,40,6,0.5939426737177663,0.8986278667198293,0.9208975484974552
subj03,ventral,10,8,80,6,0.6412500943082424,0.9758174124280471,0.9999999957338174
subj04,ventral,2,1,2,2,0.23654600794264544,0.2716303268815582,0.2826155408051039
subj04,ventral,2,2,4,2,0.3170389551429067,0.40515525135301916,0.4215404508977723
subj04,ventral,2,4,8,2,0.4095184685349851,0.5585639718725064,0.5811532931439872
subj04,ventral,2,8,16,2,0.49302178261185875,0.6970826134808367,0.7252738751834019
subj04,ventral,4,1,4,4,0.32435819422655054,0.41729669827259397,0.4341729195426608
subj04,ventral,4,2,8,4,0.4151268615955469,0.5678673988914559,0.5908329673117678
subj04,ventral,4,4,16,4,0.5075916574159268,0.721251705313587,0.7504204081110721
subj04,ventral,4,8,32,4,0.5806987755541235,0.8425247207424121,0.8765979201509109
subj04,ventral,6,1,6,6,0.38208730328360585,0.5130600563649539,0.5338091182959253
subj04,ventral,6,2,12,6,0.4710058560755283,0.6605617128282735,0.6872760043009133
subj04,ventral,6,4,24,6,0.5564860024332506,0.8023596029940749,0.8348084535465555
subj04,ventral,6,8,48,6,0.6215316398483267,0.9102599113457844,0.9470724424315397
subj04,ventral,8,1,8,6,0.4086936428981332,0.55719571807272,0.5797297047250332
subj04,ventral,8,2,16,6,0.49722554886574394,0.7040559892990832,0.7325292667324108
subj04,ventral,8,4,32,6,0.5781472126285985,0.8382920859742097,0.8721941100985539
subj04,ventral,8,8,64,6,0.6400103640544231,0.9409131591118195,0.9789653621002933
subj04,ventral,10,1,10,6,0.4287759721810631,0.590509090162859,0.6143903288806032
subj04,ventral,10,2,20,6,0.5147173385359112,0.7330720705312558,0.7627188099385013
subj04,ventral,10,4,40,6,0.5931393706453335,0.8631616781121186,0.8980694728106203
subj04,ventral,10,8,80,6,0.652197814633391,0.9611301902264544,1.0
subj05,ventral,2,1,2,2,0.28401492336927037,0.343437444062186,0.34222280482692014
subj05,ventral,2,2,4,2,0.3880578339011008,0.5049139011460937,0.5031281662317256
subj05,ventral,2,4,8,2,0.48982183703722204,0.662853453212635,0.6605091316326102
subj05,ventral,2,8,16,2,0.5715222532956691,0.789653959775342,0.7868611813570037
subj05,ventral,4,1,4,4,0.38496666730293755,0.5001163553260466,0.4983475879482321
subj05,ventral,4,2,8,4,0.4925137585808088,0.6670313635708159,0.6646722659262408
subj05,ventral,4,4,16,4,0.5811344975757453,0.8045723347327296,0.8017267943227594
subj05,ventral,4,8,32,4,0.6448065010682237,0.9033924223950611,0.9001973838223765
subj05,ventral,6,1,6,6,0.44626697495318995,0.5952555286432712,0.593150281435666
subj05,ventral,6,2,12,6,0.5492453663502337,0.755079832999956,0.7524093333011704
subj05,ventral,6,4,24,6,0.6275369617750949,0.8765897886906471,0.8734895433068494
subj05,ventral,6,8,48,6,0.681051179334292,0.9596448109973609,0.9562508239423394
subj05,ventral,8,1,8,6,0.47725665615716667,0.6433520678634711,0.6410767170616671
subj05,ventral,8,2,16,6,0.5761793499187654,0.7968818569876654,0.794063515580508
subj05,ventral,8,4,32,6,0.649520210921404,0.9107081843525296,0.9074872720387517
subj05,ventral,8,8,64,6,0.6979968666589351,0.9859448206572974,0.9824578180497404
subj05,ventral,10,1,10,6,0.4980285674035337,0.675590445449982,0.6732010768001685
subj05,ventral,10,2,20,6,0.5946582322870473,0.8255614127637178,0.8226416400353754
subj05,ventral,10,4,40,6,0.6642009652598708,0.9334929775285105,0.9301914819695521
subj05,ventral,10,8,80,6,0.7093398056439795,1.0,1.0
subj06,ventral,2,1,2,2,0.18457061978463796,0.22140231432865276,0.22773442044421724
subj06,ventral,2,2,4,2,0.25981066701126504,0.35216738868715153,0.3622393758855242
subj06,ventral,2,4,8,2,0.3482607611514185,0.5058911510130233,0.5203596377623732
subj06,ventral,2,8,16,2,0.4340536201637568,0.6549967138309898,0.6737296196269392
subj06,ventral,4,1,4,4,0.2693237134284639,0.3687007943397814,0.37924563693427576
subj06,ventral,4,2,8,4,0.36338070529111366,0.5321691863492887,0.5473892249004448
subj06,ventral,4,4,16,4,0.4561829744656911,0.6934569058093638,0.7132897730829992
subj06,ventral,4,8,32,4,0.5325660312687422,0.826208498488397,0.8498380612681418
subj06,ventral,6,1,6,6,0.3273084852205826,0.4694766879568925,0.4829037210750466
subj06,ventral,6,2,12,6,0.42774081970724354,0.644025245157932,0.6624443669535107
subj06,ventral,6,4,24,6,0.5174812734530353,0.7999916159881851,0.8228713759372144
subj06,ventral,6,8,48,6,0.583023903576992,0.9139028536565429,0.9400404749646932
subj06,ventral,8,1,8,6,0.35577649134713535,0.5189532775550374,0.5337953411191092
subj06,ventral,8,2,16,6,0.46051023972887284,0.7009775704655743,0.7210255287458557
subj06,ventral,8,4,32,6,0.5477159513493216,0.8525386311622262,0.8769212357276143
subj06,ventral,8,8,64,6,0.6055684163333922,0.9530845792884681,0.9803427979365541
subj06,ventral,10,1,10,6,0.37517128585710385,0.552660881945885,0.568466982984233
