roi,M,T,N_TRIALS,median_TOTAL,median_FCF,sufficient
ventral,2,1,2,0.25868645530376605,0.2858708898065694,False
ventral,2,2,4,0.3963428023841885,0.41361351053835305,False
ventral,2,4,8,0.5543525814603345,0.5754321487589799,True
ventral,2,8,16,0.6969180544001166,0.7205947126977625,True
ventral,4,1,4,0.4075645204796208,0.4310169007104022,False
ventral,4,2,8,0.5690370737294737,0.5963984911261229,True
ventral,4,4,16,0.7292103687766496,0.753656996315637,True
ventral,4,8,32,0.8506662746264877,0.8783443076522273,True
ventral,6,1,6,0.5086771610524582,0.5386220635473667,False
ventral,6,2,12,0.6696429080172075,0.7018211142459898,True
ventral,6,4,24,0.816900255209937,0.8434270120246259,True
ventral,6,8,48,0.9176089793625908,0.9506403883533237,True
ventral,8,1,8,0.5582205602591619,0.5890733594166442,True
ventral,8,2,16,0.7217684469519381,0.7511272686140313,True
ventral,8,4,32,0.8619904130384417,0.8854872488516808,True
ventral,8,8,64,0.9532841197498758,0.9814003079931473,True
ventral,10,1,10,0.5934959229063881,0.626560420983189,True
ventral,10,2,20,0.7603415774906548,0.7874247983095168,True
ventral,10,4,40,0.8933390259825758,0.9171729843715175,True
ventral,10,8,80,0.974006315632584,1.0,True
lateral,2,1,2,0.22160482706605777,0.23715435501831417,False
lateral,2,2,4,0.35984158343703687,0.38326478086874416,False
lateral,2,4,8,0.5174019833004968,0.5501744111448775,False
lateral,2,8,16,0.6670559823006983,0.7111243517319643,True
lateral,4,1,4,0.37871429359910325,0.4240638365452261,False
lateral,4,2,8,0.5302233740957589,0.5909745307325933,True
lateral,4,4,16,0.6851760315636577,0.7474166223129874,True
lateral,4,8,32,0.8135402169893016,0.8681247644289003,True
lateral,6,1,6,0.480671496000014,0.5371891876328851,False
lateral,6,2,12,0.6298073070097916,0.7005100355330751,True
lateral,6,4,24,0.7732551879494962,0.8420979075855985,True
lateral,6,8,48,0.8958330487213404,0.946138952381103,True
lateral,8,1,8,0.5244340746197007,0.5825369840113037,False
lateral,8,2,16,0.6743393315456945,0.7495185369051279,True
lateral,8,4,32,0.8129459923615276,0.8833460929451558,True
lateral,8,8,64,0.9340364177066951,0.9796496229692138,True
lateral,10,1,10,0.5562822501924813,0.6153849057461069,True
lateral,10,2,20,0.7054115308104894,0.7840848046453442,True
lateral,10,4,40,0.8395657475158791,0.9110202789104249,True
lateral,10,8,80,0.9574543254996695,1.0,True
