roi,M,T,N_TRIALS,evaluable,median_TOTAL,n_TOTAL_ge0.5,median_FCF,n_FCF_ge0.5,sufficient
ventral,2,1,2,True,0.25868645530376605,0,0.2858708898065694,0,False
ventral,2,2,4,True,0.3963428023841885,2,0.41361351053835305,2,False
ventral,2,4,8,True,0.5543525814603345,7,0.5754321487589799,8,True
ventral,2,8,16,True,0.6969180544001166,7,0.7205947126977625,8,True
ventral,4,1,4,True,0.4075645204796208,2,0.4310169007104022,1,False
ventral,4,2,8,True,0.5690370737294737,7,0.5963984911261229,8,True
ventral,4,4,16,True,0.7292103687766496,7,0.753656996315637,8,True
ventral,4,8,32,True,0.8506662746264877,8,0.8783443076522273,8,True
ventral,6,1,6,True,0.5086771610524582,5,0.5386220635473667,7,False
ventral,6,2,12,True,0.6696429080172075,7,0.7018211142459898,8,True
ventral,6,4,24,True,0.816900255209937,8,0.8434270120246259,8,True
ventral,6,8,48,True,0.9176089793625908,8,0.9506403883533237,8,True
ventral,8,1,8,True,0.5582205602591619,7,0.5890733594166442,8,True
ventral,8,2,16,True,0.7217684469519381,7,0.7511272686140313,8,True
ventral,8,4,32,True,0.8619904130384417,8,0.8854872488516808,8,True
ventral,8,8,64,True,0.9532841197498758,8,0.9814003079931473,8,True
ventral,10,1,10,True,0.5934959229063881,7,0.626560420983189,8,True
ventral,10,2,20,True,0.7603415774906548,7,0.7874247983095168,8,True
ventral,10,4,40,True,0.8933390259825758,8,0.9171729843715175,8,True
ventral,10,8,80,True,0.974006315632584,8,1.0,8,True
lateral,2,1,2,True,0.22160482706605777,0,0.23715435501831417,0,False
lateral,2,2,4,True,0.35984158343703687,0,0.38326478086874416,0,False
lateral,2,4,8,True,0.5174019833004968,5,0.5501744111448775,7,False
lateral,2,8,16,True,0.6670559823006983,7,0.7111243517319643,8,True
lateral,4,1,4,True,0.37871429359910325,0,0.4240638365452261,1,False
lateral,4,2,8,True,0.5302233740957589,6,0.5909745307325933,8,True
lateral,4,4,16,True,0.6851760315636577,8,0.7474166223129874,8,True
lateral,4,8,32,True,0.8135402169893016,8,0.8681247644289003,8,True
lateral,6,1,6,True,0.480671496000014,3,0.5371891876328851,5,False
lateral,6,2,12,True,0.6298073070097916,7,0.7005100355330751,8,True
lateral,6,4,24,True,0.7732551879494962,8,0.8420979075855985,8,True
lateral,6,8,48,True,0.8958330487213404,8,0.946138952381103,8,True
lateral,8,1,8,True,0.5244340746197007,5,0.5825369840113037,7,False
lateral,8,2,16,True,0.6743393315456945,8,0.7495185369051279,8,True
lateral,8,4,32,True,0.8129459923615276,8,0.8833460929451558,8,True
lateral,8,8,64,True,0.9340364177066951,8,0.9796496229692138,8,True
lateral,10,1,10,True,0.5562822501924813,6,0.6153849057461069,8,True
lateral,10,2,20,True,0.7054115308104894,8,0.7840848046453442,8,True
lateral,10,4,40,True,0.8395657475158791,8,0.9110202789104249,8,True
lateral,10,8,80,True,0.9574543254996695,8,1.0,8,True
