policy,partition,identity,pair_index,source_row,target_row,source_beta_index0,target_beta_index0,child_seed
historical_index_aligned,train,A:E,0,38,116,38,596,-1
historical_index_aligned,train,A:E,1,43,138,43,618,-1
historical_index_aligned,train,A:E,2,47,123,47,603,-1
historical_index_aligned,train,A:E,3,6,118,6,598,-1
historical_index_aligned,train,A:H,0,10,119,10,599,-1
historical_index_aligned,train,A:H,1,2,104,2,584,-1
historical_index_aligned,train,A:H,2,35,140,35,620,-1
historical_index_aligned,train,A:H,3,18,125,18,605,-1
historical_index_aligned,train,A:L,0,42,110,42,590,-1
historical_index_aligned,train,A:L,1,29,115,29,595,-1
historical_index_aligned,train,A:L,2,36,135,36,615,-1
historical_index_aligned,train,A:L,3,4,96,4,576,-1
historical_index_aligned,train,A:P,0,37,122,37,602,-1
historical_index_aligned,train,A:P,1,13,130,13,610,-1
historical_index_aligned,train,A:P,2,8,139,8,619,-1
historical_index_aligned,train,A:P,3,41,127,41,607,-1
historical_index_aligned,train,A:R,0,44,103,44,583,-1
historical_index_aligned,train,A:R,1,46,124,46,604,-1
historical_index_aligned,train,A:R,2,39,105,39,585,-1
historical_index_aligned,train,A:R,3,17,98,17,578,-1
historical_index_aligned,train,A:V,0,40,97,40,577,-1
historical_index_aligned,train,A:V,1,33,132,33,612,-1
historical_index_aligned,train,A:V,2,15,128,15,608,-1
historical_index_aligned,train,A:V,3,45,100,45,580,-1
historical_index_aligned,train,B:B,0,83,179,227,659,-1
historical_index_aligned,train,B:B,1,76,161,220,641,-1
historical_index_aligned,train,B:B,2,79,185,223,665,-1
historical_index_aligned,train,B:B,3,53,173,197,653,-1
historical_index_aligned,train,B:C,0,90,151,234,631,-1
historical_index_aligned,train,B:C,1,62,158,206,638,-1
historical_index_aligned,train,B:C,2,64,163,208,643,-1
historical_index_aligned,train,B:C,3,58,146,202,626,-1
historical_index_aligned,train,B:D,0,51,150,195,630,-1
historical_index_aligned,train,B:D,1,93,188,237,668,-1
historical_index_aligned,train,B:D,2,61,160,205,640,-1
historical_index_aligned,train,B:D,3,81,157,225,637,-1
historical_index_aligned,train,B:K,0,59,178,203,658,-1
historical_index_aligned,train,B:K,1,84,149,228,629,-1
historical_index_aligned,train,B:K,2,82,187,226,667,-1
historical_index_aligned,train,B:K,3,91,189,235,669,-1
historical_index_aligned,train,B:T,0,69,162,213,642,-1
historical_index_aligned,train,B:T,1,95,180,239,660,-1
historical_index_aligned,train,B:T,2,52,159,196,639,-1
historical_index_aligned,train,B:T,3,60,190,204,670,-1
historical_index_aligned,train,B:W,0,87,171,231,651,-1
historical_index_aligned,train,B:W,1,63,145,207,625,-1
historical_index_aligned,train,B:W,2,56,181,200,661,-1
historical_index_aligned,train,B:W,3,77,175,221,655,-1
historical_index_aligned,val,A:E,0,32,120,32,600,-1
historical_index_aligned,val,A:E,1,9,114,9,594,-1
historical_index_aligned,val,A:H,0,24,113,24,593,-1
historical_index_aligned,val,A:H,1,14,121,14,601,-1
historical_index_aligned,val,A:L,0,7,126,7,606,-1
historical_index_aligned,val,A:L,1,0,117,0,597,-1
historical_index_aligned,val,A:P,0,11,101,11,581,-1
historical_index_aligned,val,A:P,1,34,141,34,621,-1
historical_index_aligned,val,A:R,0,25,133,25,613,-1
historical_index_aligned,val,A:R,1,5,108,5,588,-1
historical_index_aligned,val,A:V,0,31,137,31,617,-1
historical_index_aligned,val,A:V,1,3,109,3,589,-1
historical_index_aligned,val,B:B,0,66,144,210,624,-1
historical_index_aligned,val,B:B,1,89,165,233,645,-1
historical_index_aligned,val,B:C,0,86,148,230,628,-1
historical_index_aligned,val,B:C,1,71,172,215,652,-1
historical_index_aligned,val,B:D,0,54,169,198,649,-1
historical_index_aligned,val,B:D,1,70,155,214,635,-1
historical_index_aligned,val,B:K,0,57,176,201,656,-1
historical_index_aligned,val,B:K,1,55,152,199,632,-1
historical_index_aligned,val,B:T,0,88,170,232,650,-1
historical_index_aligned,val,B:T,1,74,166,218,646,-1
historical_index_aligned,val,B:W,0,72,164,216,644,-1
historical_index_aligned,val,B:W,1,50,183,194,663,-1
historical_index_aligned,test,A:E,0,26,107,26,587,-1
historical_index_aligned,test,A:E,1,23,111,23,591,-1
historical_index_aligned,test,A:H,0,28,134,28,614,-1
historical_index_aligned,test,A:H,1,21,129,21,609,-1
historical_index_aligned,test,A:L,0,12,131,12,611,-1
historical_index_aligned,test,A:L,1,27,99,27,579,-1
historical_index_aligned,test,A:P,0,16,112,16,592,-1
historical_index_aligned,test,A:P,1,20,143,20,623,-1
historical_index_aligned,test,A:R,0,30,142,30,622,-1
historical_index_aligned,test,A:R,1,22,136,22,616,-1
historical_index_aligned,test,A:V,0,19,102,19,582,-1
historical_index_aligned,test,A:V,1,1,106,1,586,-1
historical_index_aligned,test,B:B,0,85,191,229,671,-1
historical_index_aligned,test,B:B,1,94,167,238,647,-1
historical_index_aligned,test,B:C,0,49,156,193,636,-1
historical_index_aligned,test,B:C,1,73,186,217,666,-1
historical_index_aligned,test,B:D,0,68,184,212,664,-1
historical_index_aligned,test,B:D,1,65,174,209,654,-1
historical_index_aligned,test,B:K,0,78,154,222,634,-1
historical_index_aligned,test,B:K,1,67,168,211,648,-1
historical_index_aligned,test,B:T,0,92,147,236,627,-1
historical_index_aligned,test,B:T,1,80,182,224,662,-1
historical_index_aligned,test,B:W,0,48,177,192,657,-1
historical_index_aligned,test,B:W,1,75,153,219,633,-1
