policy,partition,identity,pair_index,source_row,target_row,source_beta_index0,target_beta_index0,child_seed
all_ordered_distinct,train,A:E,0,38,43,38,43,-1
all_ordered_distinct,train,A:E,1,38,47,38,47,-1
all_ordered_distinct,train,A:E,2,38,6,38,6,-1
all_ordered_distinct,train,A:E,3,43,38,43,38,-1
all_ordered_distinct,train,A:E,4,43,47,43,47,-1
all_ordered_distinct,train,A:E,5,43,6,43,6,-1
all_ordered_distinct,train,A:E,6,47,38,47,38,-1
all_ordered_distinct,train,A:E,7,47,43,47,43,-1
all_ordered_distinct,train,A:E,8,47,6,47,6,-1
all_ordered_distinct,train,A:E,9,6,38,6,38,-1
all_ordered_distinct,train,A:E,10,6,43,6,43,-1
all_ordered_distinct,train,A:E,11,6,47,6,47,-1
all_ordered_distinct,train,A:H,0,10,2,10,2,-1
all_ordered_distinct,train,A:H,1,10,35,10,35,-1
all_ordered_distinct,train,A:H,2,10,18,10,18,-1
all_ordered_distinct,train,A:H,3,2,10,2,10,-1
all_ordered_distinct,train,A:H,4,2,35,2,35,-1
all_ordered_distinct,train,A:H,5,2,18,2,18,-1
all_ordered_distinct,train,A:H,6,35,10,35,10,-1
all_ordered_distinct,train,A:H,7,35,2,35,2,-1
all_ordered_distinct,train,A:H,8,35,18,35,18,-1
all_ordered_distinct,train,A:H,9,18,10,18,10,-1
all_ordered_distinct,train,A:H,10,18,2,18,2,-1
all_ordered_distinct,train,A:H,11,18,35,18,35,-1
all_ordered_distinct,train,A:L,0,42,29,42,29,-1
all_ordered_distinct,train,A:L,1,42,36,42,36,-1
all_ordered_distinct,train,A:L,2,42,4,42,4,-1
all_ordered_distinct,train,A:L,3,29,42,29,42,-1
all_ordered_distinct,train,A:L,4,29,36,29,36,-1
all_ordered_distinct,train,A:L,5,29,4,29,4,-1
all_ordered_distinct,train,A:L,6,36,42,36,42,-1
all_ordered_distinct,train,A:L,7,36,29,36,29,-1
all_ordered_distinct,train,A:L,8,36,4,36,4,-1
all_ordered_distinct,train,A:L,9,4,42,4,42,-1
all_ordered_distinct,train,A:L,10,4,29,4,29,-1
all_ordered_distinct,train,A:L,11,4,36,4,36,-1
all_ordered_distinct,train,A:P,0,37,13,37,13,-1
all_ordered_distinct,train,A:P,1,37,8,37,8,-1
all_ordered_distinct,train,A:P,2,37,41,37,41,-1
all_ordered_distinct,train,A:P,3,13,37,13,37,-1
all_ordered_distinct,train,A:P,4,13,8,13,8,-1
all_ordered_distinct,train,A:P,5,13,41,13,41,-1
all_ordered_distinct,train,A:P,6,8,37,8,37,-1
all_ordered_distinct,train,A:P,7,8,13,8,13,-1
all_ordered_distinct,train,A:P,8,8,41,8,41,-1
all_ordered_distinct,train,A:P,9,41,37,41,37,-1
all_ordered_distinct,train,A:P,10,41,13,41,13,-1
all_ordered_distinct,train,A:P,11,41,8,41,8,-1
all_ordered_distinct,train,A:R,0,44,46,44,46,-1
all_ordered_distinct,train,A:R,1,44,39,44,39,-1
all_ordered_distinct,train,A:R,2,44,17,44,17,-1
all_ordered_distinct,train,A:R,3,46,44,46,44,-1
all_ordered_distinct,train,A:R,4,46,39,46,39,-1
all_ordered_distinct,train,A:R,5,46,17,46,17,-1
all_ordered_distinct,train,A:R,6,39,44,39,44,-1
all_ordered_distinct,train,A:R,7,39,46,39,46,-1
all_ordered_distinct,train,A:R,8,39,17,39,17,-1
all_ordered_distinct,train,A:R,9,17,44,17,44,-1
all_ordered_distinct,train,A:R,10,17,46,17,46,-1
all_ordered_distinct,train,A:R,11,17,39,17,39,-1
all_ordered_distinct,train,A:V,0,40,33,40,33,-1
all_ordered_distinct,train,A:V,1,40,15,40,15,-1
all_ordered_distinct,train,A:V,2,40,45,40,45,-1
all_ordered_distinct,train,A:V,3,33,40,33,40,-1
all_ordered_distinct,train,A:V,4,33,15,33,15,-1
all_ordered_distinct,train,A:V,5,33,45,33,45,-1
all_ordered_distinct,train,A:V,6,15,40,15,40,-1
all_ordered_distinct,train,A:V,7,15,33,15,33,-1
all_ordered_distinct,train,A:V,8,15,45,15,45,-1
all_ordered_distinct,train,A:V,9,45,40,45,40,-1
all_ordered_distinct,train,A:V,10,45,33,45,33,-1
all_ordered_distinct,train,A:V,11,45,15,45,15,-1
all_ordered_distinct,train,B:B,0,83,76,227,220,-1
all_ordered_distinct,train,B:B,1,83,79,227,223,-1
all_ordered_distinct,train,B:B,2,83,53,227,197,-1
all_ordered_distinct,train,B:B,3,76,83,220,227,-1
all_ordered_distinct,train,B:B,4,76,79,220,223,-1
all_ordered_distinct,train,B:B,5,76,53,220,197,-1
all_ordered_distinct,train,B:B,6,79,83,223,227,-1
all_ordered_distinct,train,B:B,7,79,76,223,220,-1
all_ordered_distinct,train,B:B,8,79,53,223,197,-1
all_ordered_distinct,train,B:B,9,53,83,197,227,-1
all_ordered_distinct,train,B:B,10,53,76,197,220,-1
all_ordered_distinct,train,B:B,11,53,79,197,223,-1
all_ordered_distinct,train,B:C,0,90,62,234,206,-1
all_ordered_distinct,train,B:C,1,90,64,234,208,-1
all_ordered_distinct,train,B:C,2,90,58,234,202,-1
all_ordered_distinct,train,B:C,3,62,90,206,234,-1
all_ordered_distinct,train,B:C,4,62,64,206,208,-1
all_ordered_distinct,train,B:C,5,62,58,206,202,-1
all_ordered_distinct,train,B:C,6,64,90,208,234,-1
all_ordered_distinct,train,B:C,7,64,62,208,206,-1
all_ordered_distinct,train,B:C,8,64,58,208,202,-1
all_ordered_distinct,train,B:C,9,58,90,202,234,-1
all_ordered_distinct,train,B:C,10,58,62,202,206,-1
all_ordered_distinct,train,B:C,11,58,64,202,208,-1
all_ordered_distinct,train,B:D,0,51,93,195,237,-1
all_ordered_distinct,train,B:D,1,51,61,195,205,-1
all_ordered_distinct,train,B:D,2,51,81,195,225,-1
all_ordered_distinct,train,B:D,3,93,51,237,195,-1
all_ordered_distinct,train,B:D,4,93,61,237,205,-1
all_ordered_distinct,train,B:D,5,93,81,237,225,-1
all_ordered_distinct,train,B:D,6,61,51,205,195,-1
all_ordered_distinct,train,B:D,7,61,93,205,237,-1
all_ordered_distinct,train,B:D,8,61,81,205,225,-1
all_ordered_distinct,train,B:D,9,81,51,225,195,-1
all_ordered_distinct,train,B:D,10,81,93,225,237,-1
all_ordered_distinct,train,B:D,11,81,61,225,205,-1
all_ordered_distinct,train,B:K,0,59,84,203,228,-1
all_ordered_distinct,train,B:K,1,59,82,203,226,-1
all_ordered_distinct,train,B:K,2,59,91,203,235,-1
all_ordered_distinct,train,B:K,3,84,59,228,203,-1
all_ordered_distinct,train,B:K,4,84,82,228,226,-1
all_ordered_distinct,train,B:K,5,84,91,228,235,-1
all_ordered_distinct,train,B:K,6,82,59,226,203,-1
all_ordered_distinct,train,B:K,7,82,84,226,228,-1
all_ordered_distinct,train,B:K,8,82,91,226,235,-1
all_ordered_distinct,train,B:K,9,91,59,235,203,-1
all_ordered_distinct,train,B:K,10,91,84,235,228,-1
all_ordered_distinct,train,B:K,11,91,82,235,226,-1
all_ordered_distinct,train,B:T,0,69,95,213,239,-1
all_ordered_distinct,train,B:T,1,69,52,213,196,-1
all_ordered_distinct,train,B:T,2,69,60,213,204,-1
all_ordered_distinct,train,B:T,3,95,69,239,213,-1
all_ordered_distinct,train,B:T,4,95,52,239,196,-1
all_ordered_distinct,train,B:T,5,95,60,239,204,-1
all_ordered_distinct,train,B:T,6,52,69,196,213,-1
all_ordered_distinct,train,B:T,7,52,95,196,239,-1
all_ordered_distinct,train,B:T,8,52,60,196,204,-1
all_ordered_distinct,train,B:T,9,60,69,204,213,-1
all_ordered_distinct,train,B:T,10,60,95,204,239,-1
all_ordered_distinct,train,B:T,11,60,52,204,196,-1
all_ordered_distinct,train,B:W,0,87,63,231,207,-1
all_ordered_distinct,train,B:W,1,87,56,231,200,-1
all_ordered_distinct,train,B:W,2,87,77,231,221,-1
all_ordered_distinct,train,B:W,3,63,87,207,231,-1
all_ordered_distinct,train,B:W,4,63,56,207,200,-1
all_ordered_distinct,train,B:W,5,63,77,207,221,-1
all_ordered_distinct,train,B:W,6,56,87,200,231,-1
all_ordered_distinct,train,B:W,7,56,63,200,207,-1
all_ordered_distinct,train,B:W,8,56,77,200,221,-1
all_ordered_distinct,train,B:W,9,77,87,221,231,-1
all_ordered_distinct,train,B:W,10,77,63,221,207,-1
all_ordered_distinct,train,B:W,11,77,56,221,200,-1
all_ordered_distinct,val,A:E,0,32,9,32,9,-1
all_ordered_distinct,val,A:E,1,9,32,9,32,-1
all_ordered_distinct,val,A:H,0,24,14,24,14,-1
all_ordered_distinct,val,A:H,1,14,24,14,24,-1
all_ordered_distinct,val,A:L,0,7,0,7,0,-1
all_ordered_distinct,val,A:L,1,0,7,0,7,-1
all_ordered_distinct,val,A:P,0,11,34,11,34,-1
all_ordered_distinct,val,A:P,1,34,11,34,11,-1
all_ordered_distinct,val,A:R,0,25,5,25,5,-1
all_ordered_distinct,val,A:R,1,5,25,5,25,-1
all_ordered_distinct,val,A:V,0,31,3,31,3,-1
all_ordered_distinct,val,A:V,1,3,31,3,31,-1
all_ordered_distinct,val,B:B,0,66,89,210,233,-1
all_ordered_distinct,val,B:B,1,89,66,233,210,-1
all_ordered_distinct,val,B:C,0,86,71,230,215,-1
all_ordered_distinct,val,B:C,1,71,86,215,230,-1
all_ordered_distinct,val,B:D,0,54,70,198,214,-1
all_ordered_distinct,val,B:D,1,70,54,214,198,-1
all_ordered_distinct,val,B:K,0,57,55,201,199,-1
all_ordered_distinct,val,B:K,1,55,57,199,201,-1
all_ordered_distinct,val,B:T,0,88,74,232,218,-1
all_ordered_distinct,val,B:T,1,74,88,218,232,-1
all_ordered_distinct,val,B:W,0,72,50,216,194,-1
all_ordered_distinct,val,B:W,1,50,72,194,216,-1
all_ordered_distinct,test,A:E,0,26,23,26,23,-1
all_ordered_distinct,test,A:E,1,23,26,23,26,-1
all_ordered_distinct,test,A:H,0,28,21,28,21,-1
all_ordered_distinct,test,A:H,1,21,28,21,28,-1
all_ordered_distinct,test,A:L,0,12,27,12,27,-1
all_ordered_distinct,test,A:L,1,27,12,27,12,-1
all_ordered_distinct,test,A:P,0,16,20,16,20,-1
all_ordered_distinct,test,A:P,1,20,16,20,16,-1
all_ordered_distinct,test,A:R,0,30,22,30,22,-1
all_ordered_distinct,test,A:R,1,22,30,22,30,-1
all_ordered_distinct,test,A:V,0,19,1,19,1,-1
all_ordered_distinct,test,A:V,1,1,19,1,19,-1
all_ordered_distinct,test,B:B,0,85,94,229,238,-1
all_ordered_distinct,test,B:B,1,94,85,238,229,-1
all_ordered_distinct,test,B:C,0,49,73,193,217,-1
all_ordered_distinct,test,B:C,1,73,49,217,193,-1
all_ordered_distinct,test,B:D,0,68,65,212,209,-1
all_ordered_distinct,test,B:D,1,65,68,209,212,-1
all_ordered_distinct,test,B:K,0,78,67,222,211,-1
all_ordered_distinct,test,B:K,1,67,78,211,222,-1
all_ordered_distinct,test,B:T,0,92,80,236,224,-1
all_ordered_distinct,test,B:T,1,80,92,224,236,-1
all_ordered_distinct,test,B:W,0,48,75,192,219,-1
all_ordered_distinct,test,B:W,1,75,48,219,192,-1
