beta_index0,beta_id1,run_name,tsv_trial,state,stim_set,family,condition,identity,cue,framefile,trialonset,roy_inclusion,source_tsv,repeat
0,1,visA,1,vision,A,simple,L,A:L,L,bar_135.0deg_450L_43W_cueL.png,11.9977394189991,True,nsdimagery_subj01_visA.tsv,0
1,2,visA,2,vision,A,simple,V,A:V,V,bar_090.0deg_450L_43W_cueV.png,15.9986126990007,True,nsdimagery_subj01_visA.tsv,0
2,3,visA,3,vision,A,simple,H,A:H,H,bar_000.0deg_450L_43W_cueH.png,19.9983569409997,True,nsdimagery_subj01_visA.tsv,0
3,4,visA,4,vision,A,simple,V,A:V,P,bar_090.0deg_450L_43W_cueP.png,23.9978940069996,True,nsdimagery_subj01_visA.tsv,1
4,5,visA,5,vision,A,simple,L,A:L,R,bar_135.0deg_450L_43W_cueR.png,27.9974614070015,True,nsdimagery_subj01_visA.tsv,1
5,6,visA,6,vision,A,simple,R,A:R,P,bar_045.0deg_450L_43W_cueP.png,31.9982887189981,True,nsdimagery_subj01_visA.tsv,0
6,7,visA,7,vision,A,simple,E,A:E,E,crs_045.0deg_450L_43W_cueE.png,35.9967549139983,True,nsdimagery_subj01_visA.tsv,0
7,8,visA,8,vision,A,simple,L,A:L,R,bar_135.0deg_450L_43W_cueR.png,39.9972766819992,True,nsdimagery_subj01_visA.tsv,2
8,9,visA,9,vision,A,simple,P,A:P,L,crs_000.0deg_450L_43W_cueL.png,47.9974374209996,True,nsdimagery_subj01_visA.tsv,0
9,10,visA,10,vision,A,simple,E,A:E,V,crs_045.0deg_450L_43W_cueV.png,51.9964151409986,True,nsdimagery_subj01_visA.tsv,1
10,11,visA,11,vision,A,simple,H,A:H,H,bar_000.0deg_450L_43W_cueH.png,55.9956253769997,True,nsdimagery_subj01_visA.tsv,1
11,12,visA,12,vision,A,simple,P,A:P,P,crs_000.0deg_450L_43W_cueP.png,59.9964641679981,True,nsdimagery_subj01_visA.tsv,1
