beta,fold,split,identity,denoised_row,beta_index,model_id,n_train_source,n_train_target,self_target
B0,fold_0,test,A:E,6,6,fold_0:FULLTRAIN,144,144,0
B0,fold_0,test,A:E,23,23,fold_0:FULLTRAIN,144,144,0
B0,fold_0,test,A:H,24,24,fold_0:FULLTRAIN,144,144,0
B0,fold_0,test,A:H,35,35,fold_0:FULLTRAIN,144,144,0
B0,fold_0,test,A:L,0,0,fold_0:FULLTRAIN,144,144,0
B0,fold_0,test,A:L,4,4,fold_0:FULLTRAIN,144,144,0
B0,fold_0,test,A:P,16,16,fold_0:FULLTRAIN,144,144,0
B0,fold_0,test,A:P,34,34,fold_0:FULLTRAIN,144,144,0
B0,fold_0,test,A:R,17,17,fold_0:FULLTRAIN,144,144,0
B0,fold_0,test,A:R,46,46,fold_0:FULLTRAIN,144,144,0
B0,fold_0,test,A:V,40,40,fold_0:FULLTRAIN,144,144,0
B0,fold_0,test,A:V,45,45,fold_0:FULLTRAIN,144,144,0
B0,fold_0,test,B:B,76,220,fold_0:FULLTRAIN,144,144,0
B0,fold_0,test,B:B,94,238,fold_0:FULLTRAIN,144,144,0
B0,fold_0,test,B:C,64,208,fold_0:FULLTRAIN,144,144,0
B0,fold_0,test,B:C,86,230,fold_0:FULLTRAIN,144,144,0
B0,fold_0,test,B:D,51,195,fold_0:FULLTRAIN,144,144,0
B0,fold_0,test,B:D,54,198,fold_0:FULLTRAIN,144,144,0
B0,fold_0,test,B:K,55,199,fold_0:FULLTRAIN,144,144,0
B0,fold_0,test,B:K,78,222,fold_0:FULLTRAIN,144,144,0
B0,fold_0,test,B:T,74,218,fold_0:FULLTRAIN,144,144,0
B0,fold_0,test,B:T,88,232,fold_0:FULLTRAIN,144,144,0
B0,fold_0,test,B:W,50,194,fold_0:FULLTRAIN,144,144,0
B0,fold_0,test,B:W,87,231,fold_0:FULLTRAIN,144,144,0
B0,fold_0,train,A:E,26,26,fold_0:LOO_excl_26,138,138,0
B0,fold_0,train,A:E,32,32,fold_0:LOO_excl_32,138,138,0
B0,fold_0,train,A:E,43,43,fold_0:LOO_excl_43,138,138,0
B0,fold_0,train,A:E,47,47,fold_0:LOO_excl_47,138,138,0
B0,fold_0,train,A:H,2,2,fold_0:LOO_excl_2,138,138,0
B0,fold_0,train,A:H,10,10,fold_0:LOO_excl_10,138,138,0
B0,fold_0,train,A:H,14,14,fold_0:LOO_excl_14,138,138,0
B0,fold_0,train,A:H,28,28,fold_0:LOO_excl_28,138,138,0
B0,fold_0,train,A:L,12,12,fold_0:LOO_excl_12,138,138,0
B0,fold_0,train,A:L,27,27,fold_0:LOO_excl_27,138,138,0
B0,fold_0,train,A:L,36,36,fold_0:LOO_excl_36,138,138,0
B0,fold_0,train,A:L,42,42,fold_0:LOO_excl_42,138,138,0
B0,fold_0,train,A:P,8,8,fold_0:LOO_excl_8,138,138,0
B0,fold_0,train,A:P,13,13,fold_0:LOO_excl_13,138,138,0
B0,fold_0,train,A:P,20,20,fold_0:LOO_excl_20,138,138,0
B0,fold_0,train,A:P,41,41,fold_0:LOO_excl_41,138,138,0
B0,fold_0,train,A:R,22,22,fold_0:LOO_excl_22,138,138,0
B0,fold_0,train,A:R,25,25,fold_0:LOO_excl_25,138,138,0
