identity,state,repeat,train,val,test
A:E,imagery,0,0,3,1
A:E,imagery,1,3,0,1
A:E,imagery,2,3,0,1
A:E,imagery,3,3,0,1
A:E,imagery,4,2,1,1
A:E,imagery,5,2,1,1
A:E,imagery,6,0,3,1
A:E,imagery,7,3,0,1
A:E,vision,0,3,0,1
A:E,vision,1,0,3,1
A:E,vision,2,3,0,1
A:E,vision,3,3,0,1
A:E,vision,4,3,0,1
A:E,vision,5,0,3,1
A:E,vision,6,2,1,1
A:E,vision,7,2,1,1
A:H,imagery,0,0,3,1
A:H,imagery,1,3,0,1
A:H,imagery,2,3,0,1
A:H,imagery,3,0,3,1
A:H,imagery,4,3,0,1
A:H,imagery,5,2,1,1
A:H,imagery,6,3,0,1
A:H,imagery,7,2,1,1
A:H,vision,0,2,1,1
A:H,vision,1,3,0,1
A:H,vision,2,3,0,1
A:H,vision,3,0,3,1
A:H,vision,4,0,3,1
A:H,vision,5,3,0,1
A:H,vision,6,2,1,1
A:H,vision,7,3,0,1
A:L,imagery,0,3,0,1
A:L,imagery,1,0,3,1
A:L,imagery,2,3,0,1
A:L,imagery,3,0,3,1
A:L,imagery,4,2,1,1
A:L,imagery,5,3,0,1
A:L,imagery,6,3,0,1
A:L,imagery,7,2,1,1
A:L,vision,0,3,0,1
A:L,vision,1,3,0,1
A:L,vision,2,0,3,1
A:L,vision,3,3,0,1
A:L,vision,4,3,0,1
A:L,vision,5,0,3,1
A:L,vision,6,2,1,1
A:L,vision,7,2,1,1
A:P,imagery,0,3,0,1
A:P,imagery,1,2,1,1
A:P,imagery,2,0,3,1
A:P,imagery,3,3,0,1
A:P,imagery,4,3,0,1
A:P,imagery,5,3,0,1
A:P,imagery,6,0,3,1
A:P,imagery,7,2,1,1
A:P,vision,0,3,0,1
A:P,vision,1,0,3,1
A:P,vision,2,3,0,1
A:P,vision,3,3,0,1
A:P,vision,4,2,1,1
A:P,vision,5,3,0,1
A:P,vision,6,0,3,1
A:P,vision,7,2,1,1
A:R,imagery,0,3,0,1
A:R,imagery,1,0,3,1
A:R,imagery,2,3,0,1
A:R,imagery,3,3,0,1
A:R,imagery,4,3,0,1
A:R,imagery,5,2,1,1
A:R,imagery,6,0,3,1
A:R,imagery,7,2,1,1
A:R,vision,0,0,3,1
A:R,vision,1,3,0,1
A:R,vision,2,3,0,1
A:R,vision,3,2,1,1
A:R,vision,4,3,0,1
A:R,vision,5,2,1,1
A:R,vision,6,0,3,1
A:R,vision,7,3,0,1
A:V,imagery,0,3,0,1
A:V,imagery,1,2,1,1
A:V,imagery,2,3,0,1
A:V,imagery,3,2,1,1
A:V,imagery,4,3,0,1
A:V,imagery,5,0,3,1
A:V,imagery,6,0,3,1
A:V,imagery,7,3,0,1
A:V,vision,0,3,0,1
A:V,vision,1,3,0,1
A:V,vision,2,2,1,1
A:V,vision,3,2,1,1
A:V,vision,4,0,3,1
A:V,vision,5,0,3,1
A:V,vision,6,3,0,1
A:V,vision,7,3,0,1
B:B,imagery,0,3,0,1
B:B,imagery,1,2,1,1
B:B,imagery,2,3,0,1
B:B,imagery,3,3,0,1
B:B,imagery,4,0,3,1
B:B,imagery,5,0,3,1
B:B,imagery,6,2,1,1
B:B,imagery,7,3,0,1
B:B,vision,0,2,1,1
B:B,vision,1,3,0,1
B:B,vision,2,3,0,1
B:B,vision,3,3,0,1
B:B,vision,4,0,3,1
B:B,vision,5,0,3,1
B:B,vision,6,2,1,1
B:B,vision,7,3,0,1
B:C,imagery,0,2,1,1
B:C,imagery,1,2,1,1
B:C,imagery,2,3,0,1
B:C,imagery,3,3,0,1
B:C,imagery,4,0,3,1
B:C,imagery,5,3,0,1
B:C,imagery,6,3,0,1
B:C,imagery,7,0,3,1
B:C,vision,0,0,3,1
B:C,vision,1,3,0,1
B:C,vision,2,2,1,1
B:C,vision,3,3,0,1
B:C,vision,4,3,0,1
B:C,vision,5,0,3,1
B:C,vision,6,3,0,1
B:C,vision,7,2,1,1
B:D,imagery,0,3,0,1
B:D,imagery,1,0,3,1
B:D,imagery,2,3,0,1
B:D,imagery,3,3,0,1
B:D,imagery,4,2,1,1
B:D,imagery,5,0,3,1
B:D,imagery,6,3,0,1
B:D,imagery,7,2,1,1
B:D,vision,0,3,0,1
B:D,vision,1,3,0,1
B:D,vision,2,0,3,1
B:D,vision,3,0,3,1
B:D,vision,4,2,1,1
B:D,vision,5,3,0,1
B:D,vision,6,2,1,1
B:D,vision,7,3,0,1
B:K,imagery,0,2,1,1
B:K,imagery,1,0,3,1
B:K,imagery,2,0,3,1
B:K,imagery,3,3,0,1
B:K,imagery,4,3,0,1
B:K,imagery,5,3,0,1
B:K,imagery,6,3,0,1
B:K,imagery,7,2,1,1
B:K,vision,0,3,0,1
B:K,vision,1,0,3,1
B:K,vision,2,2,1,1
B:K,vision,3,3,0,1
B:K,vision,4,3,0,1
B:K,vision,5,2,1,1
B:K,vision,6,0,3,1
B:K,vision,7,3,0,1
B:T,imagery,0,0,3,1
B:T,imagery,1,2,1,1
B:T,imagery,2,3,0,1
B:T,imagery,3,0,3,1
B:T,imagery,4,2,1,1
B:T,imagery,5,3,0,1
B:T,imagery,6,3,0,1
B:T,imagery,7,3,0,1
B:T,vision,0,3,0,1
B:T,vision,1,2,1,1
B:T,vision,2,0,3,1
B:T,vision,3,3,0,1
B:T,vision,4,0,3,1
B:T,vision,5,3,0,1
B:T,vision,6,3,0,1
B:T,vision,7,2,1,1
B:W,imagery,0,0,3,1
B:W,imagery,1,3,0,1
B:W,imagery,2,2,1,1
B:W,imagery,3,3,0,1
B:W,imagery,4,2,1,1
B:W,imagery,5,3,0,1
B:W,imagery,6,3,0,1
B:W,imagery,7,0,3,1
B:W,vision,0,0,3,1
B:W,vision,1,3,0,1
B:W,vision,2,3,0,1
B:W,vision,3,0,3,1
B:W,vision,4,2,1,1
B:W,vision,5,3,0,1
B:W,vision,6,2,1,1
B:W,vision,7,3,0,1
