fold,identity,state,split,trial_row,beta_index0,repeat,fold_root_seed,derivation_version
fold_0,A:E,imagery,test,114,594,2,1234,s2_folds_v1
fold_0,A:E,imagery,test,138,618,7,1234,s2_folds_v1
fold_0,A:E,imagery,train,111,591,1,1234,s2_folds_v1
fold_0,A:E,imagery,train,116,596,3,1234,s2_folds_v1
fold_0,A:E,imagery,train,118,598,4,1234,s2_folds_v1
fold_0,A:E,imagery,train,120,600,5,1234,s2_folds_v1
fold_0,A:E,imagery,val,107,587,0,1234,s2_folds_v1
fold_0,A:E,imagery,val,123,603,6,1234,s2_folds_v1
fold_0,A:H,imagery,test,113,593,1,1234,s2_folds_v1
fold_0,A:H,imagery,test,119,599,2,1234,s2_folds_v1
fold_0,A:H,imagery,train,125,605,4,1234,s2_folds_v1
fold_0,A:H,imagery,train,129,609,5,1234,s2_folds_v1
fold_0,A:H,imagery,train,134,614,6,1234,s2_folds_v1
fold_0,A:H,imagery,train,140,620,7,1234,s2_folds_v1
fold_0,A:H,imagery,val,104,584,0,1234,s2_folds_v1
fold_0,A:H,imagery,val,121,601,3,1234,s2_folds_v1
fold_0,A:L,imagery,test,110,590,2,1234,s2_folds_v1
fold_0,A:L,imagery,test,131,611,6,1234,s2_folds_v1
fold_0,A:L,imagery,train,96,576,0,1234,s2_folds_v1
fold_0,A:L,imagery,train,117,597,4,1234,s2_folds_v1
fold_0,A:L,imagery,train,126,606,5,1234,s2_folds_v1
fold_0,A:L,imagery,train,135,615,7,1234,s2_folds_v1
fold_0,A:L,imagery,val,99,579,1,1234,s2_folds_v1
fold_0,A:L,imagery,val,115,595,3,1234,s2_folds_v1
fold_0,A:P,imagery,test,101,581,0,1234,s2_folds_v1
fold_0,A:P,imagery,test,139,619,5,1234,s2_folds_v1
fold_0,A:P,imagery,train,112,592,1,1234,s2_folds_v1
fold_0,A:P,imagery,train,127,607,3,1234,s2_folds_v1
fold_0,A:P,imagery,train,130,610,4,1234,s2_folds_v1
fold_0,A:P,imagery,train,143,623,7,1234,s2_folds_v1
fold_0,A:P,imagery,val,122,602,2,1234,s2_folds_v1
fold_0,A:P,imagery,val,141,621,6,1234,s2_folds_v1
