participant,ROI,beta,fold,n_denoised_records,self_target,self_source,val_test_in_training,cross_identity_target,training_row_not_train_split,dependency_hash
subj01,V1,B0,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj01,V1,B0,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj01,V1,B0,fold_2,96,0,0,0,0,0,f2024363f379c342
subj01,V1,B0,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj01,V1,B1,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj01,V1,B1,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj01,V1,B1,fold_2,96,0,0,0,0,0,f2024363f379c342
subj01,V1,B1,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj01,V2,B0,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj01,V2,B0,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj01,V2,B0,fold_2,96,0,0,0,0,0,f2024363f379c342
subj01,V2,B0,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj01,V2,B1,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj01,V2,B1,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj01,V2,B1,fold_2,96,0,0,0,0,0,f2024363f379c342
subj01,V2,B1,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj01,V3,B0,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj01,V3,B0,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj01,V3,B0,fold_2,96,0,0,0,0,0,f2024363f379c342
subj01,V3,B0,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj01,V3,B1,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj01,V3,B1,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj01,V3,B1,fold_2,96,0,0,0,0,0,f2024363f379c342
subj01,V3,B1,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj01,hV4,B0,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj01,hV4,B0,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj01,hV4,B0,fold_2,96,0,0,0,0,0,f2024363f379c342
subj01,hV4,B0,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj01,hV4,B1,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj01,hV4,B1,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj01,hV4,B1,fold_2,96,0,0,0,0,0,f2024363f379c342
subj01,hV4,B1,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj01,ventral,B0,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj01,ventral,B0,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj01,ventral,B0,fold_2,96,0,0,0,0,0,f2024363f379c342
subj01,ventral,B0,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj01,ventral,B1,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj01,ventral,B1,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj01,ventral,B1,fold_2,96,0,0,0,0,0,f2024363f379c342
subj01,ventral,B1,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj01,lateral,B0,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj01,lateral,B0,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj01,lateral,B0,fold_2,96,0,0,0,0,0,f2024363f379c342
subj01,lateral,B0,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj01,lateral,B1,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj01,lateral,B1,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj01,lateral,B1,fold_2,96,0,0,0,0,0,f2024363f379c342
subj01,lateral,B1,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj01,parietal,B0,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj01,parietal,B0,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj01,parietal,B0,fold_2,96,0,0,0,0,0,f2024363f379c342
subj01,parietal,B0,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj01,parietal,B1,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj01,parietal,B1,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj01,parietal,B1,fold_2,96,0,0,0,0,0,f2024363f379c342
subj01,parietal,B1,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj02,V1,B0,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj02,V1,B0,fold_1,96,0,0,0,0,0,f63a3373c8165f17
subj02,V1,B0,fold_2,96,0,0,0,0,0,f2024363f379c342
subj02,V1,B0,fold_3,96,0,0,0,0,0,6b3222dda8145756
subj02,V1,B1,fold_0,96,0,0,0,0,0,b7d36ca0aed4853e
subj02,V1,B1,fold_1,96,0,0,0,0,0,f63a3373c8165f17
