ROI,beta,median_D1_r,mean_D1_r,mad,n_positive
V1,B0,0.1286430215199722,0.12924098445295656,0.19605263277614882,5
V1,B1,0.0027366377975940642,-0.022153950005833957,0.03479944439735335,4
V2,B0,0.06999430962701766,0.10809346583704238,0.1356614632531433,5
V2,B1,-0.000755538192907218,0.009601359318918704,0.0430201919333026,3
V3,B0,0.16000603762073962,0.1442892053586911,0.07458274294410899,6
V3,B1,0.012749171759986726,0.015518658199607125,0.022742160940373946,4
hV4,B0,0.11599227850855573,0.10692504167605843,0.0739641232099672,5
hV4,B1,-0.0016886063662391298,0.018470042543741644,0.008228098887449466,3
ventral,B0,0.13038091620337666,0.13230293715293562,0.039747187851868926,7
ventral,B1,0.017630380091482094,0.023465358640227918,0.0387813611259236,4
lateral,B0,0.08009417147138176,0.11109729007718519,0.08681660754929597,6
lateral,B1,0.005843175609449441,0.0021495885569418395,0.00866034310062411,4
parietal,B0,0.13188779563963368,0.12948513442257803,0.037562075126486044,6
parietal,B1,-0.02185119601203187,-0.03583995596557953,0.03545117212507965,2
