participant,ROI,beta,fold,self_target,self_source,val_test_in_training,cross_identity_target,training_row_not_train_split,n_denoised_records
subj01,V1,B0,0,0,0,0,0,0,96
subj01,V1,B0,1,0,0,0,0,0,96
subj01,V1,B0,2,0,0,0,0,0,96
subj01,V1,B0,3,0,0,0,0,0,96
subj01,V1,B1,0,0,0,0,0,0,96
subj01,V1,B1,1,0,0,0,0,0,96
subj01,V1,B1,2,0,0,0,0,0,96
subj01,V1,B1,3,0,0,0,0,0,96
subj01,V2,B0,0,0,0,0,0,0,96
subj01,V2,B0,1,0,0,0,0,0,96
subj01,V2,B0,2,0,0,0,0,0,96
subj01,V2,B0,3,0,0,0,0,0,96
subj01,V2,B1,0,0,0,0,0,0,96
subj01,V2,B1,1,0,0,0,0,0,96
subj01,V2,B1,2,0,0,0,0,0,96
subj01,V2,B1,3,0,0,0,0,0,96
subj01,V3,B0,0,0,0,0,0,0,96
subj01,V3,B0,1,0,0,0,0,0,96
subj01,V3,B0,2,0,0,0,0,0,96
subj01,V3,B0,3,0,0,0,0,0,96
subj01,V3,B1,0,0,0,0,0,0,96
subj01,V3,B1,1,0,0,0,0,0,96
subj01,V3,B1,2,0,0,0,0,0,96
subj01,V3,B1,3,0,0,0,0,0,96
subj01,hV4,B0,0,0,0,0,0,0,96
subj01,hV4,B0,1,0,0,0,0,0,96
subj01,hV4,B0,2,0,0,0,0,0,96
subj01,hV4,B0,3,0,0,0,0,0,96
subj01,hV4,B1,0,0,0,0,0,0,96
subj01,hV4,B1,1,0,0,0,0,0,96
subj01,hV4,B1,2,0,0,0,0,0,96
subj01,hV4,B1,3,0,0,0,0,0,96
subj01,ventral,B0,0,0,0,0,0,0,96
subj01,ventral,B0,1,0,0,0,0,0,96
subj01,ventral,B0,2,0,0,0,0,0,96
subj01,ventral,B0,3,0,0,0,0,0,96
subj01,ventral,B1,0,0,0,0,0,0,96
subj01,ventral,B1,1,0,0,0,0,0,96
subj01,ventral,B1,2,0,0,0,0,0,96
subj01,ventral,B1,3,0,0,0,0,0,96
subj01,lateral,B0,0,0,0,0,0,0,96
subj01,lateral,B0,1,0,0,0,0,0,96
subj01,lateral,B0,2,0,0,0,0,0,96
subj01,lateral,B0,3,0,0,0,0,0,96
subj01,lateral,B1,0,0,0,0,0,0,96
subj01,lateral,B1,1,0,0,0,0,0,96
subj01,lateral,B1,2,0,0,0,0,0,96
subj01,lateral,B1,3,0,0,0,0,0,96
subj01,parietal,B0,0,0,0,0,0,0,96
subj01,parietal,B0,1,0,0,0,0,0,96
subj01,parietal,B0,2,0,0,0,0,0,96
subj01,parietal,B0,3,0,0,0,0,0,96
subj01,parietal,B1,0,0,0,0,0,0,96
