participant,ROI,beta,fold,n_voxels,v2v_lambda_median,v2v_r_model,v2i_lambda_min,v2i_lambda_median,v2i_lambda_max,v2i_n_unique_lambdas,v2i_r_model,val_score,test_mean_r,test_median_r,finite_frac,target_constant,prediction_constant,null_mean,null_p95_mean,fraction_voxels_above_null_p95
subj01,V1,B0,0,27,40.37017258596558,7,0.001,27.825594022071257,100000.0,17,11,0.2844355476621146,0.2739604524537242,0.2951960506948116,1.0,0,0,0.004223243120146463,0.3446507095845138,0.3333333333333333
subj01,V1,B0,1,27,27.825594022071257,5,0.001,10.974987654930567,100000.0,17,12,0.2322701077445479,0.06950442518360533,0.10147064186035244,1.0,0,0,-0.003980929331318514,0.3332047275049177,0.037037037037037035
subj01,V1,B0,2,27,48.62601580065353,12,0.1261856883066021,178.8649529057435,100000.0,20,7,0.257399478873507,0.2251084532597648,0.23262310195334626,1.0,0,0,0.0059213092806448975,0.3499025892951046,0.3333333333333333
subj01,V1,B0,3,27,9.111627561154895,10,0.001,48.62601580065353,100000.0,19,7,0.2722016932280391,0.19786067391759726,0.2267504539209192,1.0,0,0,-0.0011036519769973346,0.3410615724126218,0.18518518518518517
subj01,V1,B1,0,27,27.825594022071257,3,0.001,215.44346900318865,100000.0,15,8,0.1402306686636691,0.09222134408944328,0.057582036054475934,1.0,0,0,-0.001755320395196255,0.33648378026636466,0.18518518518518517
subj01,V1,B1,1,27,84.97534359086455,3,0.001,2.0565123083486534,100000.0,13,11,0.07099482378743024,0.0992025527330783,0.10078702975320698,1.0,0,0,-0.0015983758490688458,0.3429578627551387,0.07407407407407407
subj01,V1,B1,2,27,19.179102616724887,12,0.001,10.974987654930567,100000.0,17,7,0.1427858824318759,-0.042634519366884685,-0.036438070673756456,1.0,0,0,0.000984252425628834,0.3476743302527738,0.0
subj01,V1,B1,3,27,33.516026509388475,7,0.001,19.179102616724887,100000.0,20,1,0.2785262059087063,0.1280869817129879,0.19396480923360018,1.0,0,0,0.003326995022298376,0.35176796335959826,0.07407407407407407
subj01,V2,B0,0,29,2.9836472402833403,6,0.001,0.013530477745798075,100000.0,19,1,0.4267685488363622,0.044760348006184406,0.05097242554272605,1.0,0,0,-0.0018160326832785778,0.3430610065427416,0.1724137931034483
subj01,V2,B0,1,29,178.8649529057435,12,0.001,13.219411484660315,100000.0,17,8,0.30080151187462156,0.018133637621437063,-0.007946904154627937,1.0,0,0,-1.1953277068493859e-05,0.3432127051486208,0.06896551724137931
subj01,V2,B0,2,29,6.280291441834259,4,0.0030538555088334154,1668.100537200059,100000.0,17,9,0.20284457450115875,0.09754990145978043,0.12520335899527096,1.0,0,0,0.0026391485566621352,0.35168591799100446,0.034482758620689655
subj01,V2,B0,3,29,27.825594022071257,8,0.001,84.97534359086455,100000.0,17,9,0.10466627085251372,0.09883087800052147,0.12070152319562619,1.0,0,0,0.0029104554199569353,0.3468095490670951,0.06896551724137931
