participant,ROI,beta,fold,v2v_lambda_median,v2v_r_model
subj01,V1,B0,0,40.37017258596558,7
subj01,V1,B0,1,27.825594022071257,5
subj01,V1,B0,2,48.62601580065353,12
subj01,V1,B0,3,9.111627561154895,10
subj01,V1,B1,0,27.825594022071257,3
subj01,V1,B1,1,84.97534359086455,3
subj01,V1,B1,2,19.179102616724887,12
subj01,V1,B1,3,33.516026509388475,7
subj01,V2,B0,0,2.9836472402833403,6
subj01,V2,B0,1,178.8649529057435,12
subj01,V2,B0,2,6.280291441834259,4
subj01,V2,B0,3,27.825594022071257,8
subj01,V2,B1,0,0.9770099572992257,7
subj01,V2,B1,1,58.57020818056673,11
subj01,V2,B1,2,1.1768119524349991,5
subj01,V2,B1,3,33.516026509388475,12
subj01,V3,B0,0,86.45056264854458,2
subj01,V3,B0,1,191.3935475420903,6
subj01,V3,B0,2,86.45056264854458,4
subj01,V3,B0,3,203.9996236827102,12
subj01,V3,B1,0,6.922462358690275,5
subj01,V3,B1,1,30.670810265729866,11
subj01,V3,B1,2,19.179102616724887,8
subj01,V3,B1,3,269.23159720186186,9
subj01,hV4,B0,0,100000.0,6
subj01,hV4,B0,1,100000.0,7
subj01,hV4,B0,2,30.670810265729866,1
subj01,hV4,B0,3,34.09788330401842,5
subj01,hV4,B1,0,50226.74392540643,3
subj01,hV4,B1,1,25.463445511451443,1
subj01,hV4,B1,2,5.020854815769001,1
subj01,hV4,B1,3,93.66422289038363,12
subj01,ventral,B0,0,215.44346900318865,6
subj01,ventral,B0,1,148.49682622544665,2
subj01,ventral,B0,2,546.2277217684348,8
subj01,ventral,B0,3,33.516026509388475,5
subj01,ventral,B1,0,954.5484566618347,8
subj01,ventral,B1,1,4229.242874389508,5
subj01,ventral,B1,2,148.49682622544665,11
subj01,ventral,B1,3,123.28467394420684,5
subj01,lateral,B0,0,178.8649529057435,8
subj01,lateral,B0,1,53.598111990610136,5
subj01,lateral,B0,2,58.57020818056673,3
subj01,lateral,B0,3,102.35310218990269,11
subj01,lateral,B1,0,178.8649529057435,9
subj01,lateral,B1,1,163.68088956559507,2
subj01,lateral,B1,2,40.37017258596558,11
subj01,lateral,B1,3,13.219411484660315,12
subj01,parietal,B0,0,15.922827933410938,6
subj01,parietal,B0,1,33.516026509388475,11
subj01,parietal,B0,2,0.001,1
subj01,parietal,B0,3,19.179102616724887,2
subj01,parietal,B1,0,1.7073526474706922,1
subj01,parietal,B1,1,0.1261856883066021,2
subj01,parietal,B1,2,0.001,3
subj01,parietal,B1,3,13.219411484660315,10
subj02,V1,B0,0,2.0565123083486534,2
subj02,V1,B0,1,4.328761281083062,7
subj02,V1,B0,2,1.7073526474706922,4
subj02,V1,B0,3,23.10129700083163,11
subj02,V1,B1,0,15.922827933410938,3
subj02,V1,B1,1,23.10129700083163,12
subj02,V1,B1,2,2.0565123083486534,11
subj02,V1,B1,3,102.35310218990269,8
subj02,V2,B0,0,77.7616833490255,8
subj02,V2,B0,1,48.62601580065353,11
subj02,V2,B0,2,5.747149864916974,8
subj02,V2,B0,3,41.071021155021,6
subj02,V2,B1,0,36.94309954767702,11
subj02,V2,B1,1,77.7616833490255,5
subj02,V2,B1,2,40.37017258596558,11
subj02,V2,B1,3,41.071021155021,6
subj02,V3,B0,0,6.922462358690275,4
subj02,V3,B0,1,5.30452636145866,3
subj02,V3,B0,2,6.922462358690275,6
subj02,V3,B0,3,96.91634852569665,2
subj02,V3,B1,0,6.922462358690275,7
subj02,V3,B1,1,14.571119709035626,11
subj02,V3,B1,2,44.498094193309555,5
subj02,V3,B1,3,380.8355953858117,7
subj02,hV4,B0,0,15.922827933410938,4
subj02,hV4,B0,1,21.140199808778256,6
subj02,hV4,B0,2,0.854176323735346,8
subj02,hV4,B0,3,6.922462358690275,2
subj02,hV4,B1,0,64.5591156438766,3
subj02,hV4,B1,1,100000.0,6
subj02,hV4,B1,2,16.1992570506926,6
subj02,hV4,B1,3,1.0136396806252153,9
subj02,ventral,B0,0,215.44346900318865,5
subj02,ventral,B0,1,178.8649529057435,8
subj02,ventral,B0,2,178.8649529057435,6
subj02,ventral,B0,3,77.7616833490255,10
subj02,ventral,B1,0,376.49358067924715,11
subj02,ventral,B1,1,657.9332246575682,7
subj02,ventral,B1,2,414.9907157460532,3
subj02,ventral,B1,3,27.825594022071257,7
subj02,lateral,B0,0,215.44346900318865,2
subj02,lateral,B0,1,123.28467394420684,5
subj02,lateral,B0,2,123.28467394420684,1
subj02,lateral,B0,3,102.35310218990269,2
subj02,lateral,B1,0,376.49358067924715,6
subj02,lateral,B1,1,376.49358067924715,1
subj02,lateral,B1,2,178.8649529057435,1
subj02,lateral,B1,3,58.57020818056673,9
subj02,parietal,B0,0,25.463445511451443,5
subj02,parietal,B0,1,259.5024211399737,1
subj02,parietal,B0,2,13.219411484660315,1
subj02,parietal,B0,3,48.62601580065353,11
subj02,parietal,B1,0,0.8252125115371542,1
subj02,parietal,B1,1,1481.8907296134423,12
subj02,parietal,B1,2,135.89075008482675,2
subj02,parietal,B1,3,6.922462358690275,12
subj03,V1,B0,0,16.1992570506926,3
subj03,V1,B0,1,40.37017258596558,4
subj03,V1,B0,2,14.571119709035626,4
subj03,V1,B0,3,40.37017258596558,6
subj03,V1,B1,0,4.328761281083062,2
subj03,V1,B1,1,8.338130418350593,3
subj03,V1,B1,2,3.2887304520439846,6
subj03,V1,B1,3,15.922827933410938,2
subj03,V2,B0,0,23.10129700083163,3
subj03,V2,B0,1,10.974987654930567,2
subj03,V2,B0,2,33.516026509388475,4
subj03,V2,B0,3,3.5938136638046294,5
subj03,V2,B1,0,58.57020818056673,4
subj03,V2,B1,1,13.219411484660315,3
subj03,V2,B1,2,3.5938136638046294,2
subj03,V2,B1,3,15.922827933410938,11
subj03,V3,B0,0,312.57158496882414,4
subj03,V3,B0,1,58.57020818056673,7
subj03,V3,B0,2,215.44346900318865,2
subj03,V3,B0,3,0.22051307399030456,1
subj03,V3,B1,0,15.922827933410938,8
subj03,V3,B1,1,19.179102616724887,10
subj03,V3,B1,2,23.10129700083163,10
subj03,V3,B1,3,5.21400828799969,9
subj03,hV4,B0,0,58.57020818056673,2
subj03,hV4,B0,1,13.219411484660315,1
subj03,hV4,B0,2,148.49682622544665,3
subj03,hV4,B0,3,2.9836472402833403,6
subj03,hV4,B1,0,148.49682622544665,4
subj03,hV4,B1,1,48.62601580065353,2
subj03,hV4,B1,2,123.28467394420684,2
subj03,hV4,B1,3,23.10129700083163,5
subj03,ventral,B0,0,453.48785081285916,11
subj03,ventral,B0,1,53.598111990610136,6
subj03,ventral,B0,2,657.9332246575682,11
subj03,ventral,B0,3,64.5591156438766,4
subj03,ventral,B1,0,344.53258282403567,12
subj03,ventral,B1,1,23.10129700083163,12
subj03,ventral,B1,2,36.94309954767702,12
subj03,ventral,B1,3,53.598111990610136,12
subj03,lateral,B0,0,237.4729450715812,5
subj03,lateral,B0,1,312.57158496882414,4
subj03,lateral,B0,2,84.97534359086455,6
subj03,lateral,B0,3,70.54802310718645,8
subj03,lateral,B1,0,954.5484566618347,5
subj03,lateral,B1,1,376.49358067924715,5
subj03,lateral,B1,2,657.9332246575682,12
subj03,lateral,B1,3,954.5484566618347,11
subj03,parietal,B0,0,40.37017258596558,12
subj03,parietal,B0,1,148.49682622544665,5
subj03,parietal,B0,2,286.03700305439895,10
subj03,parietal,B0,3,4.328761281083062,12
subj03,parietal,B1,0,44.498094193309555,12
subj03,parietal,B1,1,453.48785081285916,9
subj03,parietal,B1,2,135.89075008482675,4
subj03,parietal,B1,3,17.550965275067913,7
subj04,V1,B0,0,100000.0,5
subj04,V1,B0,1,50834.05026860003,3
subj04,V1,B0,2,54.038320295848095,1
subj04,V1,B0,3,8.338130418350593,10
subj04,V1,B1,0,109.52242466631655,2
subj04,V1,B1,1,750.3880892151348,3
subj04,V1,B1,2,36.94309954767702,3
subj04,V1,B1,3,17.550965275067913,12
subj04,V2,B0,0,50273.113860884216,10
subj04,V2,B0,1,48.62601580065353,4
subj04,V2,B0,2,21.140199808778256,12
subj04,V2,B0,3,5.747149864916974,3
subj04,V2,B1,0,140.6090275478231,5
subj04,V2,B1,1,140.6090275478231,3
subj04,V2,B1,2,48.62601580065353,6
subj04,V2,B1,3,15.922827933410938,2
subj04,V3,B0,0,70.54802310718645,11
subj04,V3,B0,1,23.10129700083163,5
subj04,V3,B0,2,27.825594022071257,3
subj04,V3,B0,3,27.825594022071257,3
subj04,V3,B1,0,48.62601580065353,4
subj04,V3,B1,1,58.57020818056673,9
subj04,V3,B1,2,70.54802310718645,2
subj04,V3,B1,3,312.57158496882414,5
subj04,hV4,B0,0,1.5167611328239397,8
subj04,hV4,B0,1,3.315741225463248,2
subj04,hV4,B0,2,0.709237081463403,2
subj04,hV4,B0,3,5.747149864916974,5
subj04,hV4,B1,0,0.40606541539484364,1
subj04,hV4,B1,1,1.5353110702725594,3
subj04,hV4,B1,2,0.001,5
subj04,hV4,B1,3,32.425249811200494,9
subj04,ventral,B0,0,546.2277217684348,3
subj04,ventral,B0,1,453.48785081285916,12
subj04,ventral,B0,2,70.54802310718645,1
subj04,ventral,B0,3,178.8649529057435,4
subj04,ventral,B1,0,27.825594022071257,4
subj04,ventral,B1,1,1149.756995397738,7
subj04,ventral,B1,2,376.49358067924715,6
subj04,ventral,B1,3,0.001,12
subj04,lateral,B0,0,100000.0,8
subj04,lateral,B0,1,148.49682622544665,8
subj04,lateral,B0,2,546.2277217684348,4
subj04,lateral,B0,3,178.8649529057435,8
subj04,lateral,B1,0,2.9836472402833403,12
subj04,lateral,B1,1,102.35310218990269,12
subj04,lateral,B1,2,792.4828983539186,9
subj04,lateral,B1,3,123.28467394420684,9
subj04,parietal,B0,0,1.7073526474706922,12
subj04,parietal,B0,1,100000.0,12
subj04,parietal,B0,2,48.62601580065353,12
subj04,parietal,B0,3,58.57020818056673,12
subj04,parietal,B1,0,0.001,9
subj04,parietal,B1,1,215.44346900318865,4
subj04,parietal,B1,2,123.28467394420684,12
subj04,parietal,B1,3,1.1768119524349991,2
subj05,V1,B0,0,23.10129700083163,8
subj05,V1,B0,1,2.4770763559917115,12
subj05,V1,B0,2,657.9332246575682,7
subj05,V1,B0,3,10.974987654930567,3
subj05,V1,B1,0,7.56463327554629,12
subj05,V1,B1,1,10.974987654930567,6
subj05,V1,B1,2,5.21400828799969,9
subj05,V1,B1,3,2.4770763559917115,8
subj05,V2,B0,0,93.66422289038363,5
subj05,V2,B0,1,14.571119709035626,7
subj05,V2,B0,2,12.09719956979544,12
subj05,V2,B0,3,5.21400828799969,11
subj05,V2,B1,0,1.7073526474706922,5
subj05,V2,B1,1,5.21400828799969,6
subj05,V2,B1,2,9.269810465238429,4
subj05,V2,B1,3,9.111627561154895,7
subj05,V3,B0,0,15.922827933410938,6
subj05,V3,B0,1,40.37017258596558,12
subj05,V3,B0,2,546.2277217684348,10
subj05,V3,B0,3,215.44346900318865,5
subj05,V3,B1,0,10.974987654930567,11
subj05,V3,B1,1,23.10129700083163,11
subj05,V3,B1,2,13.219411484660315,10
subj05,V3,B1,3,27.825594022071257,12
subj05,hV4,B0,0,376.49358067924715,4
subj05,hV4,B0,1,100000.0,6
subj05,hV4,B0,2,33.516026509388475,11
subj05,hV4,B0,3,148.49682622544665,1
subj05,hV4,B1,0,657.9332246575682,5
subj05,hV4,B1,1,15.922827933410938,8
subj05,hV4,B1,2,453.48785081285916,5
subj05,hV4,B1,3,100000.0,1
subj05,ventral,B0,0,453.48785081285916,11
subj05,ventral,B0,1,376.49358067924715,11
subj05,ventral,B0,2,546.2277217684348,12
subj05,ventral,B0,3,123.28467394420684,9
subj05,ventral,B1,0,70.54802310718645,12
subj05,ventral,B1,1,102.35310218990269,10
subj05,ventral,B1,2,178.8649529057435,12
subj05,ventral,B1,3,58.57020818056673,10
subj05,lateral,B0,0,100000.0,11
subj05,lateral,B0,1,2009.23300256505,12
subj05,lateral,B0,2,57223.676593502205,8
subj05,lateral,B0,3,58.57020818056673,6
subj05,lateral,B1,0,657.9332246575682,11
subj05,lateral,B1,1,259.5024211399737,2
subj05,lateral,B1,2,123.28467394420684,11
subj05,lateral,B1,3,5.21400828799969,10
subj05,parietal,B0,0,178.8649529057435,11
subj05,parietal,B0,1,312.57158496882414,11
subj05,parietal,B0,2,453.48785081285916,10
subj05,parietal,B0,3,1384.8863713938745,11
subj05,parietal,B1,0,0.9770099572992257,12
subj05,parietal,B1,1,4.328761281083062,12
subj05,parietal,B1,2,7.56463327554629,3
subj05,parietal,B1,3,102.35310218990269,12
subj06,V1,B0,0,3511.1917342151346,4
subj06,V1,B0,1,312.57158496882414,3
subj06,V1,B0,2,10.974987654930567,6
subj06,V1,B0,3,9.111627561154895,5
subj06,V1,B1,0,123.28467394420684,4
subj06,V1,B1,1,48.62601580065353,3
subj06,V1,B1,2,10.974987654930567,4
subj06,V1,B1,3,23.10129700083163,11
subj06,V2,B0,0,1169.7174140278546,9
subj06,V2,B0,1,151.07481342497516,2
subj06,V2,B0,2,112.81888806705476,11
subj06,V2,B0,3,0.42475587136616566,11
subj06,V2,B1,0,453.48785081285916,10
subj06,V2,B1,1,44.498094193309555,5
subj06,V2,B1,2,40.37017258596558,4
subj06,V2,B1,3,0.43950386601548064,5
subj06,V3,B0,0,109.52242466631655,1
subj06,V3,B0,1,51210.064132397194,10
subj06,V3,B0,2,77.7616833490255,4
