participant,ROI,beta,fold,v2i_lambda_min,v2i_lambda_median,v2i_lambda_max,v2i_n_unique_lambdas
subj01,V1,B0,0,0.001,27.825594022071257,100000.0,17
subj01,V1,B0,1,0.001,10.974987654930567,100000.0,17
subj01,V1,B0,2,0.1261856883066021,178.8649529057435,100000.0,20
subj01,V1,B0,3,0.001,48.62601580065353,100000.0,19
subj01,V1,B1,0,0.001,215.44346900318865,100000.0,15
subj01,V1,B1,1,0.001,2.0565123083486534,100000.0,13
subj01,V1,B1,2,0.001,10.974987654930567,100000.0,17
subj01,V1,B1,3,0.001,19.179102616724887,100000.0,20
subj01,V2,B0,0,0.001,0.013530477745798075,100000.0,19
subj01,V2,B0,1,0.001,13.219411484660315,100000.0,17
subj01,V2,B0,2,0.0030538555088334154,1668.100537200059,100000.0,17
subj01,V2,B0,3,0.001,84.97534359086455,100000.0,17
subj01,V2,B1,0,0.001,0.001,100000.0,10
subj01,V2,B1,1,0.001,7390.722033525791,100000.0,11
subj01,V2,B1,2,0.001,7.56463327554629,100000.0,15
subj01,V2,B1,3,0.001,1.7073526474706922,100000.0,15
subj01,V3,B0,0,0.001,21.140199808778256,100000.0,16
subj01,V3,B0,1,0.001,215.44346900318865,100000.0,13
subj01,V3,B0,2,0.001,0.8679464853431109,100000.0,21
subj01,V3,B0,3,0.001,264.0075269860064,100000.0,8
subj01,V3,B1,0,0.001,4.3786838989129855,100000.0,15
subj01,V3,B1,1,0.001,525.9926597469462,100000.0,10
subj01,V3,B1,2,0.001,148.49682622544665,100000.0,12
subj01,V3,B1,3,0.001,1384.8863713938745,100000.0,8
subj01,hV4,B0,0,0.001,163.68088956559507,100000.0,9
subj01,hV4,B0,1,0.8111308307896873,100000.0,100000.0,7
subj01,hV4,B0,2,0.001,0.2008251838586298,100000.0,12
subj01,hV4,B0,3,0.001,51210.064132397194,100000.0,7
subj01,hV4,B1,0,0.001,50020.185086292986,100000.0,8
subj01,hV4,B1,1,0.0012045035402587824,0.17334938114845333,148.49682622544665,12
subj01,hV4,B1,2,0.001,0.0019262162722598515,2009.23300256505,10
subj01,hV4,B1,3,0.001,51.88528817641475,100000.0,8
subj01,ventral,B0,0,0.001,84.97534359086455,100000.0,53
subj01,ventral,B0,1,0.001,40.37017258596558,100000.0,61
subj01,ventral,B0,2,0.001,546.2277217684348,100000.0,57
subj01,ventral,B0,3,0.001,84.97534359086455,100000.0,50
subj01,ventral,B1,0,0.001,13.219411484660315,100000.0,52
subj01,ventral,B1,1,0.001,15.922827933410938,100000.0,46
subj01,ventral,B1,2,0.001,27.825594022071257,100000.0,45
subj01,ventral,B1,3,0.001,33.516026509388475,100000.0,55
subj01,lateral,B0,0,0.001,104.1300087675357,100000.0,47
subj01,lateral,B0,1,0.001,102.35310218990269,100000.0,57
subj01,lateral,B0,2,0.001,178.8649529057435,100000.0,59
subj01,lateral,B0,3,0.001,102.35310218990269,100000.0,48
subj01,lateral,B1,0,0.001,48.62601580065353,100000.0,45
subj01,lateral,B1,1,0.001,5.21400828799969,100000.0,54
subj01,lateral,B1,2,0.001,11.165519522907605,100000.0,46
subj01,lateral,B1,3,0.001,30.670810265729866,100000.0,39
subj01,parietal,B0,0,0.001,33.516026509388475,100000.0,41
subj01,parietal,B0,1,0.001,0.31992671377973847,100000.0,40
subj01,parietal,B0,2,0.001,0.005336699231206312,100000.0,39
subj01,parietal,B0,3,0.001,0.03430469286314919,100000.0,30
subj01,parietal,B1,0,0.001,0.03430469286314919,100000.0,36
subj01,parietal,B1,1,0.001,0.1261856883066021,100000.0,41
subj01,parietal,B1,2,0.001,0.1261856883066021,100000.0,37
subj01,parietal,B1,3,0.001,15.922827933410938,100000.0,41
subj02,V1,B0,0,0.03430469286314919,58.57020818056673,100000.0,14
subj02,V1,B0,1,0.0014508287784959402,148.49682622544665,100000.0,17
