participant,ROI,beta,test_r,test_median,r_model,frac_above_null,n_unique_lambda,n_voxels
subj01,V1,B0,0.1916085012036729,0.21148456358868103,9.0,0.2222222222222222,18.0,27
subj01,V1,B1,0.0692190897921562,0.0957119484112608,7.5,0.08333333333333333,16.0,27
subj01,V2,B0,0.06481869127198084,0.07115512473298241,8.5,0.08620689655172414,17.0,29
subj01,V2,B1,0.03154988306253028,0.031137211346466,6.5,0.0603448275862069,13.0,29
subj01,V3,B0,0.07433628507822312,0.085030202729654,9.0,0.09375,14.5,24
subj01,V3,B1,0.011492660139826723,-0.011660759992304825,8.5,0.020833333333333332,11.0,24
subj01,hV4,B0,0.05819458936304105,0.05400740443806642,10.5,0.07142857142857142,8.0,14
subj01,hV4,B1,-0.00871404310750029,-0.03640065872556648,7.5,0.10714285714285714,9.0,14
subj01,lateral,B0,0.09831870710125912,0.12168896793334845,10.0,0.15224358974358976,52.5,156
subj01,lateral,B1,-0.03346148068417849,-0.06219954945286783,12.0,0.05448717948717949,45.5,156
subj01,parietal,B0,0.0755255706950793,0.07223727832144788,2.0,0.19014084507042253,39.5,71
subj01,parietal,B1,-0.022809488362412006,-0.002198833552100663,11.5,0.04225352112676056,39.0,71
subj01,ventral,B0,0.09319311193993783,0.10003989026165458,7.0,0.14052287581699346,55.0,153
subj01,ventral,B1,-0.028425448634794258,-0.0013468296742432107,8.5,0.058823529411764705,49.0,153
subj02,V1,B0,0.17664261819756494,0.17187142633070518,9.5,0.2391304347826087,16.0,23
subj02,V1,B1,0.07762372767462439,0.08257006711468493,5.0,0.06521739130434782,15.0,23
subj02,V2,B0,0.08666701996454677,0.07537088649007079,11.5,0.18181818181818182,15.0,22
subj02,V2,B1,-0.05747298280078265,-0.0521103730587812,6.5,0.056818181818181816,15.5,22
subj02,V3,B0,0.13667398508162007,0.12742572505893646,10.0,0.20454545454545453,14.5,22
subj02,V3,B1,0.03011670404981742,0.007403279264879461,11.0,0.125,17.0,22
subj02,hV4,B0,0.06562953136034133,0.08614596364378382,7.0,0.07500000000000001,5.5,10
subj02,hV4,B1,-0.017098331134755923,-0.007847222723988648,8.0,0.07500000000000001,8.0,10
subj02,lateral,B0,0.06586171159083971,0.06717706281454348,5.5,0.12683823529411764,45.0,136
subj02,lateral,B1,-0.05729630376475121,-0.041705863772955806,2.0,0.02389705882352941,50.5,136
