participant,fold,split,identity,model,source_trial_row,source_beta_index,target_trial_row,target_beta_index,pairing_policy,root_seed_digest,child_seed_digest,derivation_version
subj01,fold_0,train,A:E,vis2img,26,26,111,591,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,ec265d3920a6fd45,PAIRING_V1
subj01,fold_0,train,A:E,vis2img,32,32,118,598,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,ec265d3920a6fd45,PAIRING_V1
subj01,fold_0,train,A:E,vis2img,43,43,120,600,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,ec265d3920a6fd45,PAIRING_V1
subj01,fold_0,train,A:E,vis2img,47,47,116,596,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,ec265d3920a6fd45,PAIRING_V1
subj01,fold_0,train,A:H,vis2img,2,2,125,605,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,8da047cabb4c0eea,PAIRING_V1
subj01,fold_0,train,A:H,vis2img,10,10,140,620,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,8da047cabb4c0eea,PAIRING_V1
subj01,fold_0,train,A:H,vis2img,14,14,134,614,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,8da047cabb4c0eea,PAIRING_V1
subj01,fold_0,train,A:H,vis2img,28,28,129,609,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,8da047cabb4c0eea,PAIRING_V1
subj01,fold_0,train,A:L,vis2img,12,12,117,597,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,0092241ea09d8cf7,PAIRING_V1
subj01,fold_0,train,A:L,vis2img,27,27,126,606,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,0092241ea09d8cf7,PAIRING_V1
subj01,fold_0,train,A:L,vis2img,36,36,96,576,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,0092241ea09d8cf7,PAIRING_V1
subj01,fold_0,train,A:L,vis2img,42,42,135,615,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,0092241ea09d8cf7,PAIRING_V1
subj01,fold_0,train,A:P,vis2img,8,8,112,592,V2I_ROY_RANDOM_WITHIN_IDENTITY_V1,908ce1f927ae651f,e1ba44278996d958,PAIRING_V1
