participant,fold,split,identity,model,source_trial_row,source_beta_index,target_trial_row,target_beta_index,pairing_policy,root_seed_digest,child_seed_digest,derivation_version
subj01,fold_0,train,A:E,vis2vis,26,26,32,32,V2V_ROY_WITHIN_SPLIT_DERANGEMENT_V1,908ce1f927ae651f,b60a8d9643a7c9f2,PAIRING_V1
subj01,fold_0,train,A:E,vis2vis,32,32,47,47,V2V_ROY_WITHIN_SPLIT_DERANGEMENT_V1,908ce1f927ae651f,b60a8d9643a7c9f2,PAIRING_V1
subj01,fold_0,train,A:E,vis2vis,43,43,26,26,V2V_ROY_WITHIN_SPLIT_DERANGEMENT_V1,908ce1f927ae651f,b60a8d9643a7c9f2,PAIRING_V1
subj01,fold_0,train,A:E,vis2vis,47,47,43,43,V2V_ROY_WITHIN_SPLIT_DERANGEMENT_V1,908ce1f927ae651f,b60a8d9643a7c9f2,PAIRING_V1
subj01,fold_0,train,A:H,vis2vis,2,2,10,10,V2V_ROY_WITHIN_SPLIT_DERANGEMENT_V1,908ce1f927ae651f,3c99ab2bd1639756,PAIRING_V1
subj01,fold_0,train,A:H,vis2vis,10,10,28,28,V2V_ROY_WITHIN_SPLIT_DERANGEMENT_V1,908ce1f927ae651f,3c99ab2bd1639756,PAIRING_V1
subj01,fold_0,train,A:H,vis2vis,14,14,2,2,V2V_ROY_WITHIN_SPLIT_DERANGEMENT_V1,908ce1f927ae651f,3c99ab2bd1639756,PAIRING_V1
subj01,fold_0,train,A:H,vis2vis,28,28,14,14,V2V_ROY_WITHIN_SPLIT_DERANGEMENT_V1,908ce1f927ae651f,3c99ab2bd1639756,PAIRING_V1
subj01,fold_0,train,A:L,vis2vis,12,12,27,27,V2V_ROY_WITHIN_SPLIT_DERANGEMENT_V1,908ce1f927ae651f,564ef9f3f19ce0f2,PAIRING_V1
subj01,fold_0,train,A:L,vis2vis,27,27,42,42,V2V_ROY_WITHIN_SPLIT_DERANGEMENT_V1,908ce1f927ae651f,564ef9f3f19ce0f2,PAIRING_V1
subj01,fold_0,train,A:L,vis2vis,36,36,12,12,V2V_ROY_WITHIN_SPLIT_DERANGEMENT_V1,908ce1f927ae651f,564ef9f3f19ce0f2,PAIRING_V1
subj01,fold_0,train,A:L,vis2vis,42,42,36,36,V2V_ROY_WITHIN_SPLIT_DERANGEMENT_V1,908ce1f927ae651f,564ef9f3f19ce0f2,PAIRING_V1
subj01,fold_0,train,A:P,vis2vis,8,8,20,20,V2V_ROY_WITHIN_SPLIT_DERANGEMENT_V1,908ce1f927ae651f,bca2906f2efee30f,PAIRING_V1
