participant,ROI,fold,model,rank,test_r,val_r
subj01,V1,fold_0,vis2vis,1,0.4981070551314001,0.5242399509925818
subj01,V1,fold_0,vis2vis,2,0.5121842513970456,0.5540788800155286
subj01,V1,fold_0,vis2vis,3,0.5670906725206272,0.609257628414749
subj01,V1,fold_0,vis2vis,4,0.5602065732478427,0.6160789733950189
subj01,V1,fold_0,vis2vis,5,0.5590050870140028,0.617597846298319
subj01,V1,fold_0,vis2vis,6,0.5621683594974621,0.6198507369329759
subj01,V1,fold_0,vis2vis,7,0.5628387079847718,0.6203345373257199
subj01,V1,fold_0,vis2vis,8,0.5599795305214114,0.615466647146877
subj01,V1,fold_0,vis2vis,9,0.5620367244227518,0.6161719996186412
subj01,V1,fold_0,vis2vis,10,0.5631967734625855,0.6159096690982051
subj01,V1,fold_0,vis2vis,11,0.562028645465679,0.6168308322814219
subj01,V1,fold_0,vis2vis,12,0.5618005186968811,0.6163461950274469
subj01,V1,fold_1,vis2vis,1,0.6555714439737507,0.5327798807210686
subj01,V1,fold_1,vis2vis,2,0.6900010574863571,0.608478255448309
subj01,V1,fold_1,vis2vis,3,0.715973250997306,0.6187134503932721
subj01,V1,fold_1,vis2vis,4,0.7050120329492678,0.6262068087848457
subj01,V1,fold_1,vis2vis,5,0.7038290100202226,0.6276925707909656
subj01,V1,fold_1,vis2vis,6,0.7027241894319638,0.6224677206464968
subj01,V1,fold_1,vis2vis,7,0.6998691612320472,0.6244128575796438
subj01,V1,fold_1,vis2vis,8,0.7005237811337923,0.6232654288457645
subj01,V1,fold_1,vis2vis,9,0.7006764098970919,0.6235368995232443
subj01,V1,fold_1,vis2vis,10,0.7007346893683056,0.6244381436877967
subj01,V1,fold_1,vis2vis,11,0.7025180715363278,0.6251385598184537
subj01,V1,fold_1,vis2vis,12,0.7015165439813413,0.6268012867940284
subj01,V1,fold_2,vis2vis,1,0.48208266873137506,0.5458919385354014
subj01,V1,fold_2,vis2vis,2,0.5432882789246236,0.6030046907289124
subj01,V1,fold_2,vis2vis,3,0.5690020609920216,0.6175289561199359
subj01,V1,fold_2,vis2vis,4,0.5664338449471198,0.6165938474088798
subj01,V1,fold_2,vis2vis,5,0.5691754664631505,0.6168581217118662
subj01,V1,fold_2,vis2vis,6,0.568168780158388,0.6158001382332119
subj01,V1,fold_2,vis2vis,7,0.5711794926989037,0.6161682398230945
subj01,V1,fold_2,vis2vis,8,0.5727253537322513,0.6176726564635416
subj01,V1,fold_2,vis2vis,9,0.5747597860148917,0.6186426093088598
subj01,V1,fold_2,vis2vis,10,0.5755043285443677,0.6199259026626321
subj01,V1,fold_2,vis2vis,11,0.5762117451333912,0.6200693710082559
subj01,V1,fold_2,vis2vis,12,0.5742896575555664,0.6200953356428954
subj01,V1,fold_3,vis2vis,1,0.504187411410059,0.5064428055672127
subj01,V1,fold_3,vis2vis,2,0.5565730934368592,0.5822835486088085
subj01,V1,fold_3,vis2vis,3,0.5750767629688156,0.6235560301068875
subj01,V1,fold_3,vis2vis,4,0.5766444724743357,0.6244781536900772
subj01,V1,fold_3,vis2vis,5,0.5814070789227044,0.628200940207798
subj01,V1,fold_3,vis2vis,6,0.5760567533284395,0.6378727074308145
subj01,V1,fold_3,vis2vis,7,0.5752505250055718,0.6330190234968627
subj01,V1,fold_3,vis2vis,8,0.5718561995747599,0.6350051959578012
subj01,V1,fold_3,vis2vis,9,0.5675244730099467,0.6379272570637778
