participant,ROI,d_vis,d_img
subj01,V1,4.25,3.75
subj01,V2,5.0,4.5
subj01,V3,3.75,7.75
subj01,hV4,2.5,4.5
subj01,lateral,3.0,7.75
subj01,parietal,4.0,2.6666666666666665
subj01,ventral,3.0,2.25
subj02,V1,2.75,6.25
subj02,V2,4.25,6.25
subj02,V3,3.25,6.75
subj02,hV4,2.25,1.3333333333333333
subj02,lateral,3.5,5.0
subj02,parietal,5.25,5.0
subj02,ventral,4.25,5.25
subj03,V1,2.0,3.0
subj03,V2,2.5,5.5
subj03,V3,2.25,5.75
subj03,hV4,2.0,4.25
subj03,lateral,5.5,5.75
subj03,parietal,6.5,8.25
subj03,ventral,1.5,8.5
subj04,V1,3.75,4.0
subj04,V2,2.0,3.75
subj04,V3,1.75,2.0
subj04,hV4,2.0,1.5
subj04,lateral,3.25,6.75
subj04,parietal,8.666666666666666,2.25
subj04,ventral,2.25,5.0
subj05,V1,3.75,4.25
subj05,V2,4.5,4.25
subj05,V3,4.0,6.75
subj05,hV4,3.75,4.666666666666667
subj05,lateral,4.75,8.666666666666666
subj05,parietal,9.666666666666666,4.5
subj05,ventral,4.25,7.0
subj06,V1,4.75,3.75
subj06,V2,7.75,3.75
subj06,V3,3.25,6.75
subj06,hV4,3.0,4.0
subj06,lateral,5.0,4.0
subj06,parietal,6.5,8.0
subj06,ventral,3.75,4.5
subj07,V1,4.0,7.333333333333333
subj07,V2,4.25,8.0
subj07,V3,3.5,1.6666666666666667
subj07,hV4,3.5,5.0
subj07,lateral,4.5,5.0
subj07,parietal,8.0,5.666666666666667
subj07,ventral,3.25,3.75
subj08,V1,3.0,3.5
subj08,V2,4.5,6.5
subj08,V3,2.5,3.6666666666666665
subj08,hV4,1.5,2.5
subj08,lateral,5.25,5.0
subj08,parietal,3.0,7.25
subj08,ventral,4.0,9.0
