participant,ROI,alignment_ratio,alignment_fold_sd,alignment_min,alignment_max,null_median,n_alignment_folds_evaluable,public_alignment_reference
subj01,V1,0.40679445009703535,0.12938996290235588,0.3153215825397354,0.5978302365128152,0.08051664723484388,4,0.25-0.30
subj01,V2,0.7542346726651497,0.3161085827305302,0.4423704201186987,1.1087245878957344,0.17823412734568495,4,
subj01,V3,0.8554806288208366,0.09587398709326314,0.7118190443850914,0.9090313776077277,0.5013318837110353,4,
subj01,hV4,0.7054210718034046,0.14051758726286265,0.5230388397438956,0.8400234190125918,0.41144631164775775,4,~0.50
subj01,lateral,0.6545487331014516,0.11413185762296549,0.5102240652455642,0.7710775945934712,0.1310691891461018,4,
subj01,parietal,0.7629929246101347,0.09546359882760429,0.655790878246732,0.8388220750800698,0.03532494849137615,3,~1.0
subj01,ventral,0.4856867720359429,0.03218073719707321,0.45001516567466765,0.5152324114802201,0.039719378176597896,4,
subj02,V1,0.6212248086000172,0.217358343726557,0.418751973558353,0.9175549187251579,0.15098227258018673,4,0.25-0.30
subj02,V2,0.5660813480596599,0.12648221710380164,0.4104595895967186,0.7107819927103466,0.3025167387138321,4,
subj02,V3,0.6467074209338977,0.16968261547450847,0.5204441951434319,0.8963749773202081,0.24053149767254442,4,
subj02,hV4,0.9326004078651321,0.27427519321520616,0.7567642905630236,1.2486371341046325,0.05895620192051851,3,~0.50
subj02,lateral,0.6037628775786607,0.12231882806461053,0.46943563291834284,0.747370183941351,0.050081093880990114,4,
subj02,parietal,0.8473802728269804,0.21145951256669612,0.6676976888128807,1.1289621575761764,0.05992770337135629,4,~1.0
subj02,ventral,0.5676633236828794,0.14563655187014848,0.41482618757156825,0.7600755410689037,0.08427261809868472,4,
subj03,V1,0.8631829115161995,0.2771966614730494,0.5646508559500736,1.1662044969084746,0.04042751080633998,4,0.25-0.30
subj03,V2,0.722190984071257,0.11582274740141706,0.6207692150452641,0.8882265703834668,0.10867333470864023,4,
subj03,V3,0.7100585800181552,0.28808909370886987,0.3196355337753799,0.9329067992747136,0.24853038012240944,4,
subj03,hV4,0.9442532407374936,0.07552624294855094,0.8366322593516027,0.999999999999999,0.5323757727899696,4,~0.50
subj03,lateral,0.8047802417615612,0.2635091858650092,0.6019648634078059,1.1584397985861714,0.08272058855813777,4,
subj03,parietal,0.847522349831695,0.11754797366629857,0.698434179398695,0.9858872685071772,0.16827384222952074,4,~1.0
subj03,ventral,0.755048437076216,0.1592975627858733,0.6284309409075445,0.98829183787146,0.11486816496402857,4,
subj04,V1,1.06793467322295,0.27033271190438024,0.6684789206939077,1.2544429676489122,0.3766230337558548,4,0.25-0.30
subj04,V2,0.7036232228329787,0.11487724210647497,0.5611000118023804,0.8199285248905137,0.1578592639742297,4,
subj04,V3,0.6248924956837029,0.23959910216804345,0.2656205245346354,0.751937121818533,0.08834053713541021,4,
subj04,hV4,0.802394487250329,0.05430690760159237,0.7639937046199717,0.8407952698806862,0.0952696930978146,2,~0.50
subj04,lateral,0.9895065801228893,0.7044149679656654,0.43851442649051964,1.9826551249088709,0.119622112410198,4,
subj04,parietal,1.0544441832711056,0.3585049683107146,0.8190528878779052,1.5887193584465262,0.10766158386005466,4,~1.0
subj04,ventral,0.7005212344287863,0.129798236025509,0.5708738619111416,0.8429141965101686,0.06844469913948246,4,
subj05,V1,0.5974364324525234,0.1983786505302631,0.30208799658411495,0.7145516202606286,0.1619883812317384,4,0.25-0.30
subj05,V2,0.4446635739750977,0.23350518440662862,0.25303582276870584,0.7680293818720287,0.10554757660756373,4,
subj05,V3,0.9204561403758015,0.18539277020636002,0.7249810307484814,1.131347819731235,0.4575727914213581,4,
subj05,hV4,0.7402704739833222,0.4562499818699433,0.32328304338075803,1.227610308131411,0.6088474818384061,3,~0.50
subj05,lateral,1.2832144042708467,0.7766714754881318,0.6770317410338137,2.158691545400793,0.20266808289891106,3,
subj05,parietal,1.122493217987578,0.492010079539832,0.6413049622435123,1.6093883722267088,0.19691602241172737,4,~1.0
subj05,ventral,0.7171397820798845,0.21267906545021192,0.49252626671200084,0.9025693752294758,0.16435362410581927,4,
subj06,V1,0.9654003128987854,0.5379424400739705,0.3076613040014136,1.5545582399193112,0.2542753027883391,4,0.25-0.30
subj06,V2,1.0542415965987852,0.532490240319652,0.6004772514596699,1.7500453356345829,0.22099672560915298,4,
subj06,V3,1.5190902631560992,1.4405877115992,0.5932297560128236,3.6546975002190663,0.49675819544789945,4,
subj06,hV4,0.6457720662214099,0.166852768217198,0.5396739120697135,0.8913238496663116,0.6686981951378251,4,~0.50
subj06,lateral,1.2894039593856292,0.534256792402812,0.9068659287797738,2.0796637996274647,0.06368563411630482,4,
subj06,parietal,1.2000485654567967,0.9833557482421378,0.5932226977609043,2.666726322506627,0.17964819707832957,4,~1.0
subj06,ventral,1.3326318867513782,1.2636420568079012,0.5788716659128865,3.2235397831443486,0.10611209656287535,4,
subj07,V1,0.6495406878850303,0.03763452208021122,0.60612711041617,0.6729217587708178,0.387682491551731,3,0.25-0.30
subj07,V2,0.7806628090801725,0.14483516167466542,0.6883606972397263,0.9475924399616519,0.5897659615582929,3,
