participant,ROI,fold,n_voxels,d_vis,d_vis_reason,vis_peak_test_r,d_img,d_img_reason,img_peak_test_r,TV_vis,TV_img,alignment_ratio,alignment_evaluable,alignment_reason,align_d,null_mean,null_p05,null_p95,alignment_empirical_percentile,vis_projector_hash,img_projector_hash,v2v_r_model,v2i_r_model,dimension_ratio_fold
subj01,V1,fold_0,27,3.0,OK,0.5670906725206272,3.0,OK,0.3009183798421726,19.913906992381794,6.279284667386929,0.3153215825397354,True,OK,3.0,0.18741211424865312,0.02194324315408556,0.7313186988873769,0.82,721ff54975b87325,7b1a5dcf8182a4a7,7,11,1.0
subj01,V1,fold_1,27,3.0,OK,0.715973250997306,6.0,OK,0.08901698123219576,24.86073054426182,14.862496421157411,0.5978302365128152,True,OK,6.0,0.29746747747668795,0.062010214554900765,0.9097149586084375,0.77,e56cac7086ccaa08,2075ca0f988a9569,5,12,2.0
subj01,V1,fold_2,27,7.0,OK,0.5762117451333912,2.0,OK,0.2354957923442127,14.630236029913785,5.014493629515068,0.34274864870683963,True,OK,2.0,0.15616395328765698,0.018952855196071986,0.7985372363142063,0.89,7a592366a3f5959a,b9217054078910a6,12,7,0.2857142857142857
subj01,V1,fold_3,27,4.0,OK,0.5814070789227044,4.0,OK,0.21628932137571885,23.88240373243299,8.866995154540648,0.371277332628751,True,OK,4.0,0.13951464788742932,0.02847773967671537,0.7738402818913251,0.92,ebfa78447ad58fca,d98fda63ba8f6393,10,7,1.0
subj01,V2,fold_0,29,2.0,OK,0.39303973908803647,7.0,OK,0.1620686047302755,18.130098536738018,16.82082699140947,0.9277846426109875,True,OK,7.0,0.40379085712661916,0.10017891088967233,0.8557551564168151,0.98,778733948bcefd93,1e5b096832124d09,6,1,3.5
subj01,V2,fold_1,29,8.0,OK,0.5613511659133841,1.0,OK,0.07995621184484814,11.232059584761581,12.453260634335118,1.1087245878957344,True,OK,1.0,0.11933615472666129,0.017517429995069413,0.4200789067399568,1.0,46d7906a3dc36762,c2345471e2659f2b,12,8,0.125
subj01,V2,fold_2,29,9.0,OK,0.3109930516178705,7.0,OK,0.11278810458701438,20.895345382672478,9.243482715458136,0.4423704201186987,True,OK,7.0,0.3551217603833809,0.11952378280381712,0.8634506585171922,0.62,440cde152cea5b8e,7e8fc267d77f42f8,4,9,0.7777777777777778
subj01,V2,fold_3,29,1.0,OK,0.3819036501209709,3.0,OK,0.10476585056721693,22.48494745856144,12.098229244794977,0.5380590400351777,True,OK,3.0,0.13784422275087205,0.03218873470156838,0.6903905783942352,0.94,63021e7c6e203c63,64ebcf96bb75911b,8,9,3.0
subj01,V3,fold_0,24,2.0,OK,0.3531113888838255,8.0,OK,0.14872510688018212,13.14307632143926,11.86392499236901,0.9026748914952528,True,OK,8.0,0.5874072736980845,0.2732888739844851,0.9938194405528861,0.85,09fe4488b87a78ac,205cceda5b21436b,2,8,4.0
subj01,V3,fold_1,24,9.0,OK,0.4492716880344732,9.0,OK,0.07603420142945476,18.704690195091924,17.00315029577017,0.9090313776077277,True,OK,9.0,0.5964609305842372,0.2850704186748254,0.9322164323483648,0.93,ebf7cfdd97afc266,5beea0ed07b712b4,6,10,1.0
subj01,V3,fold_2,24,1.0,OK,0.3296081861934075,3.0,OK,0.11360695431407199,12.138321175543709,8.640288179614842,0.7118190443850914,True,OK,3.0,0.19741036089878367,0.053228439243956926,0.6077233440097211,0.99,0e72da5225fb111e,656011208449fc6b,4,10,3.0
subj01,V3,fold_3,24,3.0,OK,0.4158093206810108,11.0,OK,0.033404187337847224,16.711292714143262,15.013378612768072,0.8983972017952749,True,OK,11.0,0.8289020069190449,0.39865995429854145,1.2754295755084226,0.6,9675b072609aeeda,6cde5bdce88fb6ef,12,7,3.6666666666666665
subj01,hV4,fold_0,14,2.0,OK,0.5755457774812992,6.0,OK,0.11656964637858036,10.22773236417991,5.349501268971752,0.5230388397438956,True,OK,6.0,0.5379523128967403,0.16863561136793076,0.9655951963627373,0.56,3d682556deeda92c,6f6511d910514201,6,12,3.0
subj01,hV4,fold_1,14,4.0,OK,0.6539775995530517,1.0,OK,0.15098933759505773,5.585115148636321,4.6916275227365025,0.8400234190125918,True,OK,1.0,0.24929860630592074,0.03692837062076029,1.4865511761100376,0.86,7cb2a386e1408ee4,70f705763d5bce70,7,7,0.25
subj01,hV4,fold_2,14,3.0,OK,0.5078472262760151,3.0,OK,0.13017726401558044,7.891551696059096,6.212596684670418,0.7872465294465321,True,OK,3.0,0.37233649400403207,0.06887689123164985,0.9226588069841346,0.75,a4ed956fe70f20bd,477f1996af9c8713,1,11,1.0
subj01,hV4,fold_3,14,1.0,OK,0.5512928813195951,8.0,OK,0.02171184593109365,13.537998739569199,9.089080659383129,0.6713754990105988,True,OK,8.0,0.7268424502312467,0.18367118723086637,1.0932065371106108,0.38,49d65bc283fec86e,81b46022acd63d2d,5,10,8.0
subj01,ventral,fold_0,153,2.0,OK,0.35828933769621807,2.0,OK,0.18611386752850836,38.370256741767776,19.586462725550827,0.510459517051656,True,OK,2.0,0.1263928086904876,0.022249696891272767,0.646146076807099,0.93,34bb3ff23af4adbf,fbcbb6b7be54fd41,6,5,1.0
subj01,ventral,fold_1,153,4.0,OK,0.3147803151697265,2.0,OK,0.06449461210176377,59.1975365374047,26.639789212412367,0.45001516567466765,True,OK,2.0,0.07679603032146681,0.01305807861556785,0.3560112662917836,0.95,1254083173c26c38,14cf01c2b3e02cdc,2,2,0.5
subj01,ventral,fold_2,153,5.0,OK,0.13541879730478334,4.0,OK,0.14387416330633793,51.56154890493866,24.081305487956616,0.46703999393722756,True,OK,4.0,0.11647561014108737,0.04524929347872931,0.3733380963442294,0.97,c355109efe3c9f30,f51f8c1ea838935f,8,9,0.8
