participant,ROI,d_vis,d_img,d_img_over_d_vis,d_vis_minus_d_img,n_dim_folds_evaluable,fold_support
subj01,V1,4.25,3.75,0.8823529411764706,0.5,4,primary
subj01,V2,5.0,4.5,0.9,0.5,4,primary
subj01,V3,3.75,7.75,2.066666666666667,-4.0,4,primary
subj01,hV4,2.5,4.5,1.8,-2.0,4,primary
subj01,lateral,3.0,7.75,2.5833333333333335,-4.75,4,primary
subj01,parietal,4.0,2.6666666666666665,0.6666666666666666,1.3333333333333335,3,PARTIAL_FOLD_SUPPORT
subj01,ventral,3.0,2.25,0.75,0.75,4,primary
subj02,V1,2.75,6.25,2.272727272727273,-3.5,4,primary
subj02,V2,4.25,6.25,1.4705882352941178,-2.0,4,primary
subj02,V3,3.25,6.75,2.076923076923077,-3.5,4,primary
subj02,hV4,2.25,1.3333333333333333,0.5925925925925926,0.9166666666666667,3,PARTIAL_FOLD_SUPPORT
subj02,lateral,3.5,5.0,1.4285714285714286,-1.5,4,primary
subj02,parietal,5.25,5.0,0.9523809523809523,0.25,4,primary
subj02,ventral,4.25,5.25,1.2352941176470589,-1.0,4,primary
subj03,V1,2.0,3.0,1.5,-1.0,4,primary
subj03,V2,2.5,5.5,2.2,-3.0,4,primary
subj03,V3,2.25,5.75,2.5555555555555554,-3.5,4,primary
subj03,hV4,2.0,4.25,2.125,-2.25,4,primary
subj03,lateral,5.5,5.75,1.0454545454545454,-0.25,4,primary
subj03,parietal,6.5,8.25,1.2692307692307692,-1.75,4,primary
subj03,ventral,1.5,8.5,5.666666666666667,-7.0,4,primary
subj04,V1,3.75,4.0,1.0666666666666667,-0.25,4,primary
subj04,V2,2.0,3.75,1.875,-1.75,4,primary
subj04,V3,1.75,2.0,1.1428571428571428,-0.25,4,primary
subj04,hV4,2.0,1.5,0.75,0.5,2,DIMENSIONALITY_NOT_RELIABLY_EVALUABLE
subj04,lateral,3.25,6.75,2.076923076923077,-3.5,4,primary
subj04,parietal,8.666666666666666,2.25,0.25961538461538464,6.416666666666666,3,PARTIAL_FOLD_SUPPORT
subj04,ventral,2.25,5.0,2.2222222222222223,-2.75,4,primary
subj05,V1,3.75,4.25,1.1333333333333333,-0.5,4,primary
subj05,V2,4.5,4.25,0.9444444444444444,0.25,4,primary
subj05,V3,4.0,6.75,1.6875,-2.75,4,primary
subj05,hV4,3.75,4.666666666666667,1.2444444444444445,-0.916666666666667,3,PARTIAL_FOLD_SUPPORT
subj05,lateral,4.75,8.666666666666666,1.8245614035087718,-3.916666666666666,3,PARTIAL_FOLD_SUPPORT
subj05,parietal,9.666666666666666,4.5,0.4655172413793104,5.166666666666666,3,PARTIAL_FOLD_SUPPORT
subj05,ventral,4.25,7.0,1.6470588235294117,-2.75,4,primary
subj06,V1,4.75,3.75,0.7894736842105263,1.0,4,primary
subj06,V2,7.75,3.75,0.4838709677419355,4.0,4,primary
subj06,V3,3.25,6.75,2.076923076923077,-3.5,4,primary
subj06,hV4,3.0,4.0,1.3333333333333333,-1.0,4,primary
subj06,lateral,5.0,4.0,0.8,1.0,3,PARTIAL_FOLD_SUPPORT
subj06,parietal,6.5,8.0,1.2307692307692308,-1.5,2,DIMENSIONALITY_NOT_RELIABLY_EVALUABLE
subj06,ventral,3.75,4.5,1.2,-0.75,4,primary
subj07,V1,4.0,7.333333333333333,1.8333333333333333,-3.333333333333333,3,PARTIAL_FOLD_SUPPORT
subj07,V2,4.25,8.0,1.8823529411764706,-3.75,3,PARTIAL_FOLD_SUPPORT
subj07,V3,3.5,1.6666666666666667,0.4761904761904762,1.8333333333333333,3,PARTIAL_FOLD_SUPPORT
subj07,hV4,3.5,5.0,1.4285714285714286,-1.5,1,DIMENSIONALITY_NOT_RELIABLY_EVALUABLE
subj07,lateral,4.5,5.0,1.1111111111111112,-0.5,3,PARTIAL_FOLD_SUPPORT
subj07,parietal,8.0,5.666666666666667,0.7083333333333334,2.333333333333333,1,DIMENSIONALITY_NOT_RELIABLY_EVALUABLE
subj07,ventral,3.25,3.75,1.1538461538461537,-0.5,4,primary
subj08,V1,3.0,3.5,1.1666666666666667,-0.5,4,primary
subj08,V2,4.5,6.5,1.4444444444444444,-2.0,4,primary
subj08,V3,2.5,3.6666666666666665,1.4666666666666666,-1.1666666666666665,3,PARTIAL_FOLD_SUPPORT
subj08,hV4,1.5,2.5,1.6666666666666667,-1.0,4,primary
subj08,lateral,5.25,5.0,0.9523809523809523,0.25,4,primary
subj08,parietal,3.0,7.25,2.4166666666666665,-4.25,4,primary
subj08,ventral,4.0,9.0,2.25,-5.0,4,primary
