subject,roi,within_subject_fold_self_consistency,cross_subject_note
subj01,ventral,0.770674,cross_subject_native_comparison_undefined_different_voxel_spaces
subj02,ventral,0.754986,cross_subject_native_comparison_undefined_different_voxel_spaces
subj03,ventral,0.759429,cross_subject_native_comparison_undefined_different_voxel_spaces
subj04,ventral,0.779963,cross_subject_native_comparison_undefined_different_voxel_spaces
subj05,ventral,0.733178,cross_subject_native_comparison_undefined_different_voxel_spaces
subj06,ventral,0.709025,cross_subject_native_comparison_undefined_different_voxel_spaces
subj07,ventral,0.691455,cross_subject_native_comparison_undefined_different_voxel_spaces
subj08,ventral,0.844767,cross_subject_native_comparison_undefined_different_voxel_spaces
subj01,lateral,0.829562,cross_subject_native_comparison_undefined_different_voxel_spaces
subj02,lateral,0.952796,cross_subject_native_comparison_undefined_different_voxel_spaces
subj03,lateral,0.969152,cross_subject_native_comparison_undefined_different_voxel_spaces
subj04,lateral,0.88614,cross_subject_native_comparison_undefined_different_voxel_spaces
subj05,lateral,0.870885,cross_subject_native_comparison_undefined_different_voxel_spaces
subj06,lateral,0.824248,cross_subject_native_comparison_undefined_different_voxel_spaces
subj07,lateral,0.878183,cross_subject_native_comparison_undefined_different_voxel_spaces
subj08,lateral,0.775091,cross_subject_native_comparison_undefined_different_voxel_spaces
