subject,roi,DELTA_LL,DELTA_LL_null,E_STATE
subj01,ventral,-0.14360141137350974,-0.2718236135445817,0.5282889499589326
subj02,ventral,-0.05137184016244974,-0.1346142996402562,0.38162245987043025
subj03,ventral,-0.1376801580415933,-0.16119461907831886,0.8541237842108074
subj04,ventral,-0.14130367656795778,-0.3552008076859791,0.3978135001677123
subj05,ventral,-0.055392622221144876,-0.06760193386314238,0.8193940477100137
subj06,ventral,-0.007392597144610757,-0.19819268432522555,0.03730005055322742
subj07,ventral,-0.1502921502558019,-0.29962442140123347,0.5016018038614498
subj08,ventral,-0.08831825845833084,-0.14453889738739703,0.6110345384856359
subj01,lateral,-0.09722838694516153,-0.14565768696046616,0.6675129131464986
subj02,lateral,-0.07330234313402725,-0.0939616204500138,0.7801306829635087
subj03,lateral,-0.06700961689101273,-0.2014165122032101,0.33269177466148553
subj04,lateral,-0.10815329731195716,-0.3355691534477458,0.3222980902766398
subj05,lateral,-0.05019035937220151,-0.06355315734609526,0.7897382516949841
subj06,lateral,-0.15849913523829207,-0.3106206622900672,0.5102659110625444
subj07,lateral,-0.10315284241303753,-0.1005378551095786,1.0260099770440576
subj08,lateral,-0.10701275147880739,-0.1705402032654016,0.6274928106674635
