subject,roi,min_state_occupancy_med,degenerate_folds,n_fits
subj01,ventral,0.06944444444444445,47,60
subj02,ventral,0.2361111111111111,25,60
subj03,ventral,0.32638888888888884,17,60
subj04,ventral,0.14583333333333331,37,60
subj05,ventral,0.11805555555555558,41,60
subj06,ventral,0.3333333333333333,6,60
subj07,ventral,0.35416666666666663,20,60
subj08,ventral,0.2777777777777778,9,60
subj01,lateral,0.13888888888888887,49,60
subj02,lateral,0.18055555555555555,36,60
subj03,lateral,0.24305555555555558,19,60
subj04,lateral,0.09722222222222221,44,60
subj05,lateral,0.10416666666666666,50,60
subj06,lateral,0.1736111111111111,36,60
subj07,lateral,0.09722222222222221,56,60
subj08,lateral,0.125,42,60
