subject,roi,median_max_posterior,ambiguous_fraction_lt0.7
subj01,ventral,0.9998452092080204,0.09722222222222222
subj02,ventral,0.9711876044220968,0.15833333333333333
subj03,ventral,0.9908679392433424,0.08842592592592594
subj04,ventral,0.998809337913316,0.0925925925925926
subj05,ventral,1.0,0.11990740740740741
subj06,ventral,0.9990710574668368,0.06527777777777778
subj07,ventral,0.9919178965845111,0.07916666666666665
subj08,ventral,0.9997378230400455,0.0840277777777778
subj01,lateral,0.9998268158255892,0.1472222222222222
subj02,lateral,0.9999996524920798,0.07685185185185188
subj03,lateral,0.9982051483661141,0.06435185185185185
subj04,lateral,0.999871468077957,0.12731481481481483
subj05,lateral,0.999999999959114,0.060648148148148145
subj06,lateral,0.9999999998691438,0.07986111111111112
subj07,lateral,1.0,0.044444444444444446
subj08,lateral,0.9999999835409997,0.06435185185185184
