subject,roi,state_separation_mahalanobis_med
subj01,ventral,2.1150364979809915
subj02,ventral,1.9896388879343103
subj03,ventral,2.5709206215307217
subj04,ventral,2.642736999528923
subj05,ventral,1.7534426642821082
subj06,ventral,2.3591886760664016
subj07,ventral,2.744333020002143
subj08,ventral,2.399314866768192
subj01,lateral,0.7215082723732573
subj02,lateral,2.2899862356777536
subj03,lateral,3.115300874378514
subj04,lateral,1.3585697645852877
subj05,lateral,2.7140904164361017
subj06,lateral,2.6091958738925465
subj07,lateral,1.5301145976146022
subj08,lateral,2.225323443153433
