subject,roi,median_k2_minus_t_gain,k2_gt_t_frac
subj01,ventral,-0.09015422311598309,0.23333333333333334
subj02,ventral,-0.025130553205003014,0.45
subj03,ventral,-0.09915008669224612,0.2
subj04,ventral,-0.10264714426051391,0.23333333333333334
subj05,ventral,-0.06535607758453876,0.23333333333333334
subj06,ventral,0.010035816727975266,0.5166666666666667
subj07,ventral,-0.11215963185287992,0.2
subj08,ventral,-0.09124925402291861,0.31666666666666665
subj01,lateral,-0.06058941318564237,0.3
subj02,lateral,-0.07990597938468058,0.38333333333333336
subj03,lateral,-0.04049188388119296,0.36666666666666664
subj04,lateral,-0.06917073801371343,0.25
subj05,lateral,-0.016343924281058353,0.4666666666666667
subj06,lateral,-0.060150959468093124,0.2833333333333333
subj07,lateral,-0.08270189921759741,0.26666666666666666
subj08,lateral,-0.07951603774460558,0.13333333333333333
