subject,roi,E_ANGLE,d_real_med,d_null_med,pipeline_constrained
subj01,ventral,0.7648957528111369,0.08005907922477234,0.061236849672998694,1
subj02,ventral,0.5199886452292125,0.10170832237384449,0.0528871727597114,1
subj03,ventral,0.6515762614693812,0.07718768156707526,0.05029366098696396,1
subj04,ventral,0.5634414771882716,0.10341711281472656,0.058269490810875665,1
subj05,ventral,0.7530436045984207,0.08736134590528516,0.06578690282308541,1
subj06,ventral,0.7262546579107548,0.08850282467290022,0.06427558865695265,1
subj07,ventral,0.805312247608271,0.10939914062323441,0.08810046782171022,1
subj08,ventral,0.5504871863104869,0.09689114853583329,0.05333733573588231,1
subj01,lateral,0.4582827001460551,0.09026733810036315,0.0413679594396313,1
subj02,lateral,0.44848547220615465,0.11107313778902875,0.04981468865073184,1
subj03,lateral,0.3310088310621239,0.10711229715705974,0.0354551162743372,1
subj04,lateral,0.5395825563673101,0.07736001428376324,0.04174211426784459,1
subj05,lateral,0.4224440458770046,0.11096593049340103,0.046876896632138815,1
subj06,lateral,0.4515549230255128,0.08027309046848091,0.03624770918751492,1
subj07,lateral,0.49529597510527523,0.10018124422950161,0.04961936704791073,1
subj08,lateral,0.7393805147040478,0.07227395200309958,0.05343795183174741,1
